year,rlut
1850,242.3721296754602
1851,241.96586211740154
1852,242.46751341101242
1853,242.37684923981968
1854,242.6512723321784
1855,242.26282787584276
1856,242.0117784892043
1857,242.20516662597655
1858,242.0953188125401
1859,242.36911968074432
1860,242.40616990180865
1861,241.5715273922437
1862,241.68184128852738
1863,241.59650406510866
1864,241.97760519785422
1865,241.75910184677332
1866,241.57149344666362
1867,242.11778731672732
1868,241.62762020581388
1869,241.675509936189
1870,241.98101112679257
1871,241.92996855435305
1872,242.4059647233519
1873,241.79624533457297
1874,242.21742240174174
1875,242.07921594071064
1876,241.8982534330185
1877,242.02339619675726
1878,242.0075269725225
1879,241.8529410584332
1880,241.66857237097338
1881,241.53584067984798
1882,241.82299750341127
1883,241.41238315530018
1884,239.90583466830319
1885,240.64989343930597
1886,240.89051501130407
1887,240.99311448188675
1888,241.59073172791364
1889,241.4958443837623
1890,241.47929975953818
1891,241.59709995217517
1892,241.07696345081067
1893,241.49743643982768
1894,241.89133973840165
1895,241.79506881922893
1896,241.72656630424606
1897,242.2146024521083
1898,242.0162787450503
1899,242.02855333302116
1900,241.8043379692182
1901,241.73763498802708
1902,241.5911420430223
1903,240.93118332118203
1904,241.13745995090432
1905,241.68010149393996
1906,241.69821589221695
1907,241.1130024531116
1908,241.547488946784
1909,241.14391659253263
1910,241.94926515344065
1911,241.40559834519476
1912,241.01824926088935
1913,240.7128857338265
1914,240.79624240822986
1915,241.04579396705105
1916,241.79640645066354
1917,240.9163067125294
1918,241.41835807904803
1919,241.39812312714042
1920,241.00511992990153
1921,241.2548911734803
1922,240.95984609943545
1923,241.1474941305918
1924,241.29210439185573
1925,241.4984075676905
1926,241.11009580011236
1927,241.66569268213559
1928,241.52516119970034
1929,241.59573903541042
1930,241.53467252548424
1931,241.07854058252622
1932,241.446749752515
1933,241.70780869575395
1934,241.94726131909513
1935,241.82229045711154
1936,242.1289260655233
1937,241.56726057496792
1938,241.52645163340108
1939,241.953400118057
1940,241.76791394377406
1941,242.17043402684877
1942,242.03987681767717
1943,241.67032830225276
1944,241.95966947372645
1945,242.12051838914007
1946,241.9264247946543
1947,241.37868898992667
1948,241.4721137895976
1949,242.16744092131316
1950,241.2076365431694
1951,241.7563621625508
1952,241.59638713679902
1953,241.5377443078446
1954,241.52991399895657
1955,241.69929638170217
1956,241.20561845335243
1957,241.5085696703767
1958,241.60618047844878
1959,241.78886610057256
1960,241.47788621040237
1961,241.67604846693064
1962,241.43216301904965
1963,240.26110480321594
1964,240.34871755103543
1965,240.31057271042914
1966,240.3076737913367
1967,240.62150260193704
1968,240.91495708308804
1969,241.16884978829995
1970,240.946140028026
1971,240.61557587924068
1972,240.5376923861569
1973,241.43852330037993
1974,240.68892132484746
1975,240.26428113963507
1976,240.51584384865953
1977,240.97488047978646
1978,240.6333112324754
1979,241.08115890711954
1980,240.9337871812794
1981,240.79752907948952
1982,240.5901860903387
1983,239.8429028654752
1984,240.70425139126706
1985,240.83330500354504
1986,241.18877705613227
1987,240.3562447743873
1988,240.49537449666892
1989,240.84078143394154
1990,241.01968826921018
1991,240.84634194570046
1992,238.9504876123716
1993,239.69503387033126
1994,240.26155725766532
1995,240.38952093255034
1996,240.71387596652932
1997,240.66701852458797
1998,240.74497739190923
1999,240.93079875789277
2000,241.4578134197078
2001,240.95481860017125
2002,240.99841655574434
2003,241.19625645467679
2004,241.11554151561162
2005,241.20369296139233
2006,241.4247524313731
2007,240.5166290283203
2008,240.86755316747377
2009,240.98169735425142
2010,241.2596890802253
2011,241.34284028353756
2012,241.97916234682685
2013,241.14610729478807
2014,241.4841052747752
