year,rlut
1850,236.01906023417433
1851,237.60607019711847
1852,238.09214536065926
1853,238.88394449312392
1854,239.4329887494649
1855,239.56081869046983
1856,239.56667898517762
1857,239.74606503003267
1858,240.03489463492613
1859,240.6529579476134
1860,240.30798281316885
1861,240.18912207198474
1862,240.37100738107338
1863,240.38182419032267
1864,240.738961457553
1865,240.98278135534838
1866,240.800618628933
1867,241.02767049711048
1868,241.2436855368418
1869,241.23600927901597
1870,241.21151198295695
1871,240.8493718395494
1872,241.12563062693977
1873,241.09917071616815
1874,241.52384258949593
1875,241.34298940162137
1876,240.94772572974637
1877,241.26205745331228
1878,241.36353914443757
1879,241.44376258327537
1880,241.34620185747536
1881,241.08148465091236
1882,241.47623592010913
1883,241.498126262508
1884,241.97523076305652
1885,241.48735539684552
1886,241.6196404862077
1887,241.64214448275632
1888,241.55964861308058
1889,241.4480557376391
1890,241.78736020440923
1891,241.32674384966288
1892,241.7031938108679
1893,241.59946443740637
1894,241.63924472756582
1895,241.69351990582192
1896,241.591317916243
1897,241.58767762902667
1898,241.63555072105095
1899,242.3345165513966
1900,242.34496936536812
1901,241.60414470515835
1902,241.70776463338774
1903,242.0966793948657
1904,241.91297511270602
1905,241.90217456556348
1906,241.8087953332352
1907,241.8147209690042
1908,242.26476812493308
1909,241.9993033631207
1910,241.61717495852957
1911,241.77091064453126
1912,241.91870685734162
1913,242.154907853636
1914,241.7756128598566
1915,242.1122714944082
1916,241.82839982542274
1917,241.99512304018623
1918,242.17060977465488
1919,241.95289599274935
1920,242.1789006899481
1921,242.2465168156036
1922,242.11581680088824
1923,242.1480627608626
1924,242.4107094124572
1925,242.52315130364403
1926,242.1453138795617
1927,242.33713374725758
1928,242.40490864792915
1929,242.82054288681235
1930,242.34831450997967
1931,242.16997948215433
1932,242.44882089275202
1933,242.37986621595405
1934,242.55812762534785
1935,242.61251985732824
1936,242.28625693125264
1937,242.23622231679417
1938,242.25557322044895
1939,242.56626344445635
1940,242.6733679366438
1941,242.7357587004361
1942,242.28417400203338
1943,242.11937414718
1944,242.53423574787297
1945,242.70965893889127
1946,242.26141098231486
1947,242.50526273544523
1948,242.39917121782693
1949,242.65667841663102
1950,242.59265174343162
1951,242.3610457328901
1952,242.42599838465858
1953,242.72992361408387
1954,242.7620956629923
1955,242.64147092218266
1956,242.81771290400255
1957,242.87924913380243
1958,242.57009373495023
1959,242.43143883274024
1960,242.45582626551794
1961,242.4847963097977
1962,242.76735994521883
1963,242.50734315637038
1964,242.80626454810576
1965,242.77057189941408
1966,242.37307296125857
1967,242.62215597074325
1968,242.7705239073871
1969,242.7253632845944
1970,242.59770273705053
1971,242.28438607829887
1972,242.5072211696677
1973,242.59873490006953
1974,242.40161040841713
1975,242.9641119970034
1976,242.87874776761825
1977,242.6305478030688
1978,242.14354720442262
1979,242.4092233318172
1980,242.71012681934934
1981,242.6616188362853
1982,242.6006868545323
1983,242.3224801259498
1984,242.70055190831013
1985,243.09408882872697
1986,242.78432918182793
1987,242.77050889942745
1988,242.95629422958584
1989,242.98053672476993
1990,242.8625391293878
1991,242.87929077148436
1992,242.8431719636264
1993,242.760813506662
1994,243.00337252682203
1995,243.24688486595676
1996,242.96365159962275
1997,242.8109288881903
1998,242.86087738455154
1999,242.83846719820204
2000,242.92668469572718
