year,rlut
2015,240.97247719960666
2016,240.97545676035423
2017,241.25966984997055
2018,241.27328980328286
2019,240.97224451352474
2020,240.78432295289758
2021,240.91065172169306
2022,241.162242690831
2023,241.22791467954036
2024,241.51758456295482
2025,241.4604087098004
2026,241.24504440516642
2027,241.19839101294946
2028,241.2631517802199
2029,241.244083728529
2030,241.3042965405608
2031,240.97511115923322
2032,241.4118388136772
2033,241.24716148899023
2034,241.43444531584439
2035,240.94795256314214
2036,240.80743136471267
2037,241.19882156163044
2038,241.33552948416096
2039,240.74040832519532
2040,241.12312881260704
2041,240.9540525253505
2042,240.87059184035212
2043,240.7687347412109
2044,241.1811306470061
2045,241.0003803827991
2046,240.9820540754762
2047,241.0617978448737
2048,241.2723637411039
2049,241.43696610960245
2050,241.06941218964045
2051,241.36432975873555
2052,240.99534565128693
2053,241.23965738374892
2054,241.31667927781197
2055,241.40620079563087
2056,240.90583140752082
2057,240.86390719479073
2058,241.54821806607183
2059,241.49964808633882
2060,241.44136720422196
2061,241.43163004835986
2062,241.64720249959868
2063,241.31940825997967
2064,241.34859150925732
2065,241.10132454650042
2066,241.4858912637789
2067,241.31117089676528
2068,241.06121094586098
2069,241.34298965245074
2070,241.23152177366492
2071,241.4513671456951
2072,241.05306889782213
2073,241.37690270828875
2074,241.19193111053886
2075,241.01744159019154
2076,241.1074970820179
2077,241.23862956843962
2078,241.33142742000211
2079,241.3582877799256
2080,241.59805352197932
2081,241.51025733425192
2082,241.22203766287188
2083,241.47242975104342
2084,241.42360894190125
2085,241.22250838606325
2086,241.46835302065494
2087,241.48833685051906
2088,241.34795093275096
2089,241.29563577730363
2090,241.80464544426903
2091,241.54431992622273
2092,241.45115197586685
2093,241.5228712526086
2094,241.407198971265
2095,241.6082329736997
2096,241.44336689988225
2097,241.64469052667488
2098,241.22008967987477
2099,241.84294596632867
2100,241.88978058279375
