year,rlut
1850,240.09833287741782
1851,239.7615827566555
1852,239.70410736747664
1853,239.85073770412401
1854,239.50531035413206
1855,239.72364691634903
1856,239.69066472659455
1857,239.93602749925697
1858,240.08029369017126
1859,239.8333834112736
1860,240.04120995414567
1861,239.87204439107833
1862,239.6799325725462
1863,239.45126971857152
1864,239.45975542070892
1865,239.39429673446645
1866,239.74595527759817
1867,239.4522734223106
1868,239.394152937233
1869,239.8457087160271
1870,239.47212197905816
1871,239.71547177574246
1872,239.4859672011228
1873,239.77562270028378
1874,239.64107548837882
1875,239.99091067698797
1876,240.20018108911265
1877,240.0646429313827
1878,240.18893243088104
1879,239.81367076113537
1880,239.96773486786628
1881,239.93300836731618
1882,240.20260065674836
1883,239.73660836543314
1884,239.79446288060413
1885,239.58265442461035
1886,239.77739913401288
1887,239.9903306599766
1888,239.7795899143466
1889,240.16640148200352
1890,239.94734247804436
1891,239.89749261329473
1892,239.75382679915649
1893,239.97255672441554
1894,240.18260899506814
1895,240.11709569133754
1896,239.85143055737205
1897,240.02352552966966
1898,239.94785720309858
1899,239.6929131581322
1900,239.33064311140487
1901,239.87032502789344
1902,239.73093231659624
1903,239.68054706650588
1904,239.5158932146775
1905,239.91533867675213
1906,239.27086118237094
1907,239.93576994811323
1908,239.96546050139258
1909,239.79394495304047
1910,239.61655738384994
1911,239.76873158059638
1912,239.9698120202803
1913,239.75956639711902
1914,239.9618552315062
1915,239.3860254608464
1916,239.6925102820912
1917,239.664644398241
1918,239.94972667876235
1919,239.98723141429303
1920,239.98266682617555
1921,239.86533904562978
1922,240.20017195030783
1923,239.78255180689732
1924,240.0132136404191
1925,239.98642211256183
1926,240.0888415881659
1927,239.98590185181078
1928,240.22531405712152
1929,240.19414068761958
1930,240.2491650763408
1931,240.00952570024174
1932,240.061000443272
1933,240.17677489903667
1934,240.0215024345833
1935,240.17673223459823
1936,240.3393376278929
1937,240.07160032319868
1938,240.43250245184086
1939,240.27357313059568
1940,240.22959346654042
1941,239.98879955057703
1942,240.41269252761575
1943,240.17424234194306
1944,240.31061457015704
1945,240.40441841852913
1946,240.22955267557887
1947,240.41828236279167
1948,240.18532180140866
1949,240.26211213597873
1950,240.27631461289303
1951,240.21020201685116
1952,240.30126424560672
1953,240.38764635042787
1954,240.48292998260322
1955,240.50483816756753
1956,240.28170312042099
1957,240.38880253528288
1958,240.5375180959128
1959,240.21119861844937
1960,240.38292506603622
1961,240.08260265292876
1962,240.47533869647606
1963,240.19755756050634
1964,240.31720352233566
1965,240.4497036704785
1966,240.40415169348566
1967,240.62671268959977
1968,240.51898104353
1969,240.40948661475525
1970,240.74061048734842
1971,240.7193483505616
1972,240.74023955611986
1973,240.5939190321905
1974,240.59171955928014
1975,240.90791450151082
1976,240.34426938141365
1977,240.61230074340483
1978,240.76896915206282
1979,240.46054972207702
1980,240.85451790050905
1981,240.739102096142
1982,240.62372914097637
1983,240.6419608552457
1984,240.71472998287223
1985,240.61884444810505
1986,240.766861243049
1987,240.77388757528342
1988,240.85587247567426
1989,240.8964343170935
1990,240.79515643469696
1991,240.78080553676327
1992,240.93175192345205
1993,240.70108218919216
1994,240.96457951483245
1995,241.26069782424995
1996,240.92849085627756
1997,240.93998032011314
1998,241.0254095814891
1999,241.15011535565668
2000,240.8769724260685
