year,rlut
1850,239.59588604289485
1851,239.68517417748416
1852,239.44822832270512
1853,239.52621410715636
1854,239.73508145014617
1855,239.41563186960414
1856,239.38060438685974
1857,239.57450058044986
1858,239.3734482332589
1859,239.40517815650367
1860,239.39749163261945
1861,239.59453544910988
1862,239.32867097712284
1863,239.57961524337563
1864,239.1539779935849
1865,239.6585022911934
1866,239.5012712869141
1867,239.4010503135375
1868,239.68273505680145
1869,239.5256669394698
1870,239.50670978048487
1871,239.49034191759068
1872,239.89037533217763
1873,239.3046487850873
1874,239.72960481063683
1875,239.70619947645753
1876,239.41995450901155
1877,239.56773354094173
1878,239.67442543761803
1879,239.71632425121035
1880,239.39633072309056
1881,239.71066724092958
1882,239.84290732679736
1883,239.70620123020362
1884,239.99680405876245
1885,240.0709229369535
1886,239.82649638967246
1887,239.98981887881652
1888,240.18432304376373
1889,239.8704766507372
1890,240.11216563054964
1891,240.17994480455064
1892,239.9236537239247
1893,240.12725750317202
1894,240.09824897626132
1895,240.46847924573268
1896,239.95037352733925
1897,240.067227035477
1898,240.17472237672166
1899,240.04615135707957
1900,240.34250863475364
1901,240.47881570133958
1902,240.46538088818323
1903,240.13804031234957
1904,240.26404101198136
1905,240.0495598611025
1906,239.9994066060534
1907,240.4157972102326
1908,240.1510932728528
1909,240.29514845899865
1910,240.3192823764786
1911,239.87058027657056
1912,240.24248641824695
1913,240.0208092650046
1914,240.27710008130492
1915,239.8178160349745
1916,240.08886588074034
1917,240.33300332171797
1918,239.87970796700617
1919,240.1259096626412
1920,240.09740363663425
1921,240.1444862752328
1922,240.21628747241706
1923,240.002558092287
1924,240.11986051368328
1925,239.95741139029
1926,240.0768846934935
1927,239.94266953593655
1928,239.7152135226697
1929,240.0888698549785
1930,239.772688813741
1931,239.80720870239833
1932,239.741965387956
1933,239.809722706118
1934,239.93686472174988
1935,239.68458355624293
1936,239.70526562546178
1937,239.61834089834787
1938,239.46825572151147
1939,239.7203948049377
1940,239.79409561697446
1941,239.59290945735881
1942,239.4470916086392
1943,239.9294696609748
1944,239.76034685653457
1945,239.88053199779534
1946,240.0233210443174
1947,239.45979129627185
1948,239.4256087069445
1949,239.6812389599931
1950,239.65809348318066
1951,239.49354747686567
1952,239.78594034464732
1953,239.53658639166377
1954,239.31964014788585
1955,239.83398103767297
1956,239.61134154229111
1957,239.851494882085
1958,239.87517888412708
1959,240.0116651391018
1960,239.8592047285006
1961,239.9494335689248
1962,239.7515356465385
1963,239.92258730320688
1964,240.20372637816067
1965,240.24481634182746
1966,239.95353152927993
1967,240.10545982528885
1968,239.95818403165765
1969,239.96236867055774
1970,240.0436385304506
1971,240.13125617774887
1972,239.99948997772756
1973,240.01312161005293
1974,239.92804283910993
1975,240.0335100058935
1976,239.35294185890092
1977,239.87634642835525
1978,239.5863800538086
1979,239.83197139897226
1980,239.8486491970453
1981,239.94719243102207
1982,239.769923324289
1983,239.74124663469436
1984,239.78871409524913
1985,239.4465005644365
1986,239.89041847245574
1987,239.712782083186
1988,239.67679982781118
1989,239.88215834375544
1990,239.26305996816842
1991,239.5539777747198
1992,239.61765144349204
1993,239.4194599821398
1994,239.46816309439103
1995,239.62346458659064
1996,239.41587981030548
1997,239.3051966891673
1998,239.9823357209555
1999,239.36089644514774
2000,239.67903461937811
2001,240.01685762021242
2002,239.67812183590493
2003,239.98383847184968
2004,239.71990756985207
2005,240.07156474970404
2006,240.05406839759152
2007,239.6074709945791
2008,239.53787224727773
2009,239.8566495350014
2010,239.72005801210534
2011,239.83128902077402
2012,239.8309859599057
2013,239.71509426411265
2014,240.16583129687632
2015,240.27017022239457
2016,239.77239283044776
2017,239.82119154957587
2018,239.60762008824142
2019,239.67478854267674
2020,239.88616843293
2021,239.59610549970722
2022,239.72059273992062
2023,239.49519303534728
2024,239.63204294397298
2025,239.69321055113667
2026,239.49927693552925
2027,239.91195886371779
2028,239.5853528278172
2029,239.97278018281833
2030,239.90706133905334
2031,239.60308799918874
2032,239.7869731699648
2033,239.7312172231815
2034,239.84235229763362
2035,239.8953996526587
2036,239.7628592146512
2037,239.80888069960253
2038,239.71710991840024
2039,239.56429372514853
2040,239.77503500740158
2041,239.58202286835382
2042,239.38525357813504
2043,239.66839780769914
