year,rlut
1850,229.41698844032015
1851,230.58310978150803
1852,231.55627099357145
1853,232.00988450633585
1854,232.24835279464747
1855,232.56421477507706
1856,233.0668903251921
1857,233.0544444318584
1858,233.32977086499386
1859,233.61146779115393
1860,234.03344252386555
1861,233.65960446513586
1862,233.63916977987694
1863,233.99959064570245
1864,233.95522146012775
1865,233.8113684753932
1866,233.76579338304168
1867,234.35604719990147
1868,234.20831111116215
1869,234.17361195002096
1870,233.9364409392952
1871,234.21828775515954
1872,234.56494773712743
1873,234.19853502318261
1874,234.23987942700805
1875,234.47728505751283
1876,234.5259728983461
1877,234.7326467392973
1878,234.50405507931146
1879,234.62979015183436
1880,234.54255757684902
1881,234.42369350891656
1882,234.81938126947114
1883,234.79029223113008
1884,234.8608543047173
1885,234.95876170717878
1886,235.1303305118677
1887,234.85164920217275
1888,235.04259331048655
1889,234.89731233333615
1890,235.10317667307837
1891,235.10056612611848
1892,234.92459832589344
1893,235.20997186811428
1894,235.18149369116261
1895,235.05198027367598
1896,235.03837698110001
1897,235.0887702751176
1898,235.144786300997
1899,235.28888580019614
1900,235.262073385445
1901,235.1015981165744
1902,235.27611998627688
1903,235.18301429458072
1904,235.40351347225138
1905,235.1472814548512
1906,235.3410995718821
1907,235.351711689386
1908,235.45266134195208
1909,235.2226830112177
1910,235.4281043342794
1911,235.2527190800817
1912,235.1250086391827
1913,235.3413965622135
1914,235.60597821175458
1915,235.47631134943873
1916,235.34210594569493
1917,235.64920389195683
1918,235.39312868661574
1919,235.45432804233312
1920,235.5860459225831
1921,235.60430978050022
1922,235.63372716627043
1923,235.55205682414967
1924,235.74803632378905
1925,235.58320198641576
1926,235.62169477726314
1927,235.6855288915122
1928,235.57975845122948
1929,235.76979801070178
1930,235.9154053352409
1931,235.98873929332365
1932,235.63647938168774
1933,235.44354884033743
1934,235.77211334842323
1935,235.51292778619936
1936,235.7526743203903
1937,236.08435240239248
1938,235.52118836641736
1939,235.62980870446592
1940,235.8900252188835
1941,235.6930575305976
1942,235.71023853202547
1943,235.87463055647657
1944,236.03964009247622
1945,235.85551520397152
1946,235.65496676726582
1947,235.7501652989977
1948,235.76705265798063
1949,235.88699759871065
1950,236.0276820128351
1951,235.9053356632
1952,235.62494050674684
1953,235.80754570735192
1954,235.80155521135666
1955,235.8052845523262
1956,235.87800930047453
1957,236.05889612716464
1958,235.81359972082464
1959,235.97103876430094
1960,236.0510742695882
1961,235.8892879930685
1962,235.48537151417
1963,236.1692037548753
1964,236.24331816695428
1965,236.30808161057465
1966,235.94302767390928
1967,236.11966502639712
1968,236.22475931925237
1969,235.90393545836815
1970,236.11808258393117
1971,235.84307255036333
1972,236.02861808153529
1973,236.1953469328513
1974,235.90482456968647
1975,236.11422417563512
1976,236.04262204486992
1977,236.380849509539
1978,236.0685479818731
1979,236.25292102735065
1980,236.0104185069373
1981,236.29323035352184
1982,236.51747335834628
1983,236.44252710384944
1984,236.18967036516085
1985,236.17470659985108
1986,236.19607483078352
1987,236.03429060984803
1988,236.4090330631529
1989,236.38847534934123
1990,236.34599090680058
1991,236.1125642120804
1992,236.2882838400604
1993,236.57388363008056
1994,236.59336594916184
1995,236.1177056208297
1996,236.07466904992899
1997,236.63534519939373
1998,236.37071316733883
1999,236.43888877964744
2000,236.36242386716634
