year,rlut
2015,232.65055515878026
2016,232.9847982060096
2017,232.5746229380498
2018,232.71427374135317
2019,232.754858290565
2020,232.70853791763736
2021,232.73665473084188
2022,233.00393251029624
2023,233.07371181515632
2024,233.09136218532552
2025,232.6867450442997
2026,232.9260898617499
2027,233.07513970133542
2028,232.6771626994223
2029,232.9054526650962
2030,232.4796956814298
2031,232.8918214911142
2032,233.1281183646382
2033,233.017466158595
2034,233.0926472656856
2035,232.91968808669648
2036,232.90885042399321
2037,233.31994479111125
2038,232.85912708082384
2039,232.6163820036704
2040,233.09232898348614
2041,232.97358163036708
2042,233.01904361191058
2043,232.9194004753854
2044,232.79566441011298
2045,232.866906127322
2046,232.7469712489404
2047,232.8240962023141
2048,232.71320087377458
2049,232.82730440090597
2050,232.7120834355962
2051,232.84501827672986
2052,232.9779191094987
2053,232.61938741322442
2054,232.88883206572547
2055,233.06228021490807
