year,rlut
2015,236.3871406338297
2016,236.35678338269472
2017,236.9392489841352
2018,236.20484827758358
2019,237.12422594520137
2020,236.32479833810493
2021,236.3632434712562
2022,236.6081171213283
2023,236.5801137059394
2024,237.64521735603188
2025,236.16951937386872
2026,236.49710306180137
2027,236.80684531497485
2028,236.69857127616518
2029,236.69136249305205
2030,236.76330832125234
2031,236.85720787907124
2032,236.6215069801306
2033,236.1608839841911
2034,236.4608890125432
2035,236.75250674114506
2036,236.4926873427465
2037,236.64584756361788
2038,237.00522985086582
2039,237.60008099210094
2040,236.4134534799976
2041,236.55380675256356
2042,236.96913285803342
2043,236.69765074515888
2044,236.7604156890642
2045,236.92271257108465
2046,236.99475665454966
2047,236.8796857244647
2048,236.67817139860594
2049,237.13674372156794
2050,236.49898774665442
2051,236.90357046838253
2052,236.72688267025842
2053,237.8327617339817
2054,237.43198427819576
2055,236.43486708497431
2056,236.7256746364673
2057,236.73796668868772
2058,237.24540063421642
2059,237.66256613349398
2060,236.30559709622335
2061,236.98682374937036
2062,236.6306474389133
2063,237.00689907005997
2064,236.85388394345742
2065,237.50797043555278
2066,237.11229483491013
2067,237.12610315918502
2068,237.5542436018142
2069,237.71289745071167
2070,236.07646415312706
2071,236.5493577881208
2072,237.35775214775035
2073,237.51190782513228
2074,236.95646686011466
2075,236.9925303900525
2076,236.45493411420162
2077,236.92628746052225
2078,237.11551542335977
2079,237.77307902082265
2080,236.96967386164073
2081,236.86467261083158
2082,237.34672581928103
2083,237.3341294977169
2084,237.86625584582063
2085,236.91395093056605
2086,236.7715957930145
2087,237.379441198924
2088,237.53667399898336
2089,237.37994800927407
2090,236.87243717765895
2091,237.0918410474392
2092,237.1508400490736
2093,237.722632076482
2094,237.50160720264972
2095,236.61763464736995
2096,237.1487554926822
2097,237.1451390392614
2098,237.70190314859013
2099,237.42216762555125
