year,rlut
1,230.15371834030844
2,231.49597859637782
3,232.05908153987562
4,232.95225780442914
5,233.39425353290997
6,233.19310389863676
7,233.16180453440845
8,233.89671933763603
9,234.52028117457664
10,234.36349846195702
11,234.45536900163418
12,235.03084833642666
13,234.83791214788894
14,234.64181381544728
15,235.26395346530202
16,235.3080375081298
17,234.97114991098545
18,235.4579293252243
19,235.62450408066138
20,235.15021658079027
21,235.80648024478546
22,236.02059299843572
23,236.01485087501516
24,235.71797581351146
25,235.89466826053297
26,235.72623949980317
27,235.61577554261217
28,236.08755114125623
29,236.55663166659252
30,236.44174320541524
31,236.33625899244493
32,235.84830956098597
33,236.3067828215024
34,236.662161070315
35,236.0750115180053
36,236.7292641783447
37,236.4593408220749
38,236.52724739917193
39,236.5097907363384
40,236.87558171345285
41,236.3591042210431
42,236.92787016574536
43,236.651981054643
44,236.5734030651577
45,236.70664562993628
46,237.11966031150942
47,236.87837468678242
48,236.21779364300414
49,237.1237780029462
50,236.7259415970129
51,237.2633412665323
52,236.84880972171447
53,237.1936180288069
54,236.91503641405583
55,236.765269611367
56,237.1288607831292
57,237.19515244244732
58,236.52746928600632
59,236.86806376386087
60,237.53140094368302
61,237.44432655853836
62,237.5537209470923
63,237.12020917440557
64,236.97621119788235
65,237.5035910097373
66,237.11292500869686
67,237.41953843527725
68,237.28489442487003
69,237.5850075315552
70,237.45028756298808
71,237.18951932385102
72,237.56326959667777
73,237.15974604081924
74,237.65691767042117
75,237.43261857116312
76,237.5290325531492
77,237.40116552287276
78,237.48366906449587
79,237.029333061856
80,237.66153036107323
81,237.81616277912906
82,237.59686282956574
83,237.26845957888128
84,237.92536759259988
85,237.84689239046068
86,237.67487718390103
87,237.8209515683636
88,237.73724266012948
89,237.64116455096575
90,237.8298078299244
91,238.05958186103436
92,237.12217453216547
93,237.8839591563143
94,237.94058215577877
95,238.16692791525355
96,237.67550224301843
97,237.90592312985794
98,237.43885390885296
99,237.66578873625684
100,237.9725017146508
101,238.1612508225273
102,237.8299844298258
103,238.04553469627746
104,238.00178788407885
105,237.7407004289163
106,237.9791040748597
107,238.17706342344303
108,237.95563414649166
109,238.1593361725576
110,238.1099457347508
111,237.80461090305153
112,238.19421660501663
113,237.89505184321348
114,238.00917172846928
115,238.16546630313485
116,238.36570995835285
117,237.85505274224954
118,237.7872755698136
119,238.16703859369358
120,238.15058824756014
121,237.97693286248597
122,238.12479819052948
123,238.44355142783735
124,238.14992187756224
125,238.10397474261188
126,238.25481508844015
127,238.2068908568973
128,237.98774761640846
129,238.5530839487607
130,238.32310119017063
131,238.28613797888983
132,238.7380064998462
133,238.5178937444109
134,237.84187733908811
135,238.51997887767942
136,238.26687493276143
137,238.25238132160928
138,238.54178181752187
139,238.23394950781446
140,238.13924650944426
141,238.34958676141048
142,238.12435507387707
143,238.19049493404708
144,238.12872164378152
145,238.4632130485999
146,238.1877121835895
147,238.22173286410194
148,238.06314265567877
149,237.9467632036576
150,238.39437243023968
