year,rlut
2015,233.43696782691677
2016,233.29377473212074
2017,233.74499279537778
2018,233.954289700097
2019,233.7647802072896
2020,233.95705724042284
2021,233.96157987382327
2022,234.2333212524251
2023,233.0092327803171
2024,234.18075034868713
2025,234.10797716880612
2026,233.66554546736293
2027,234.34884162341953
2028,234.24015358721823
2029,233.9909598140488
2030,234.62459476422862
2031,234.6057494915615
2032,234.19995043094912
2033,233.5099568250683
2034,231.8909345689053
2035,233.59421473449223
2036,234.10834670746743
2037,233.84096566882897
2038,233.6631291046765
2039,234.40686069414284
2040,233.81180301634456
2041,232.98064159573846
2042,233.6127333287404
2043,234.66332126150434
2044,234.10440650700835
2045,234.7850926871601
2046,234.26687855414613
2047,234.02296520764543
2048,234.8999175478639
2049,235.00707955474073
2050,234.3445144505754
2051,234.59065350603424
2052,234.47599932461148
2053,232.55383791629157
2054,233.5799281641148
2055,234.68701261966024
2056,233.90840892729304
2057,234.88439743598232
2058,235.03339478259156
2059,235.11084475803565
2060,234.71678783149238
2061,234.88170222704176
2062,234.71273349897012
2063,234.07413589521835
2064,234.63900170012792
2065,234.94227819594332
2066,235.0602336737545
2067,235.01939881560878
2068,234.8400854941151
2069,235.09013235984764
2070,235.1422000267736
2071,235.60219924138656
2072,235.00355260090882
2073,235.56498465712602
2074,235.3268291251237
2075,235.25326937469075
2076,235.61714313479945
2077,235.50141515891974
2078,235.0758184869592
2079,235.60110159673468
2080,235.4371278333671
2081,235.8416691566276
2082,235.737091952104
2083,235.3447442480436
2084,235.48342247235422
2085,235.93890522608507
2086,235.78265596595563
2087,235.71873345817798
2088,236.11360625204586
2089,236.01623854748496
2090,235.6678083612416
2091,236.0747792239853
2092,236.28444018761428
2093,236.54346122697865
2094,236.34716921696457
2095,236.31575562401505
2096,236.69194271277792
2097,236.09700699907273
2098,236.51568307886814
2099,236.90038267299315
2100,236.3572330091947
