year,rlut
1850,240.03627412820964
1851,239.91914657174917
1852,239.38194700086052
1853,239.52594421201854
1854,239.44464497747305
1855,239.8047334403849
1856,239.8216893346546
1857,240.04217960545225
1858,239.89134074359146
1859,239.80131384449047
1860,240.49094415281013
1861,239.86693780582317
1862,239.21107012556993
1863,239.59052428609604
1864,239.82564107465478
1865,240.23117353851234
1866,240.22028954134595
1867,240.2278589466478
1868,239.69971329176101
1869,239.85364110150596
1870,239.97119013876062
1871,239.8096473140089
1872,239.8612834998062
1873,239.99400345897257
1874,239.58265149419083
1875,239.81791045555119
1876,239.90961438817504
1877,240.11867135720163
1878,239.470845160364
1879,239.37730246324077
1880,239.80293899399325
1881,239.90449011889922
1882,239.91491161339874
1883,239.4020916423565
1884,237.84511954381435
1885,238.5530114609671
1886,238.95170193277986
1887,239.17373505301128
1888,239.9270907660839
1889,239.751783552923
1890,238.95978537609872
1891,239.18848435337668
1892,239.79525469516966
1893,239.48321633335422
1894,239.68078941776434
1895,240.3869224625668
1896,239.92778669692356
1897,239.58902511664965
1898,239.7142423001965
1899,239.99267763174078
1900,239.68219499508146
1901,239.30885373978748
1902,239.28455777958922
1903,239.1461313937953
1904,239.70408158290635
1905,239.2986070394905
1906,239.37799605313654
1907,239.79732118553378
1908,239.8211899268523
1909,239.8234540004913
1910,239.64017783109045
1911,239.99709838017742
1912,239.31535426491786
1913,239.77107190217006
1914,239.7592845587517
1915,239.69670833965745
1916,239.4602667962499
1917,239.703087991438
1918,240.18751244387863
1919,240.2939340287612
1920,239.71525969685024
1921,240.078980564623
1922,239.94752980413028
1923,240.1512879243004
1924,239.89829580926906
1925,240.26832636890302
1926,239.99493021113773
1927,239.68795342927632
1928,240.1463992355291
1929,240.1811062706961
1930,239.7285907363201
1931,239.77132543852687
1932,239.72601880899822
1933,240.03524773966632
1934,240.37349174690402
1935,240.06375557810796
1936,239.96638507740482
1937,240.37102523423601
1938,240.79313164671487
1939,240.32917590884665
1940,239.66964471827916
1941,239.9942443904079
1942,240.13649519867982
1943,240.51043878373474
1944,240.15741341348075
1945,240.18602351771727
1946,240.46349109102653
1947,240.09952173720325
1948,239.9863401930607
1949,240.81666927081068
1950,240.55026314038747
1951,240.2967042280219
1952,240.10373405790435
1953,240.05272304212562
1954,240.3526427006723
1955,240.48734590439398
1956,240.51552132844554
1957,240.61322883192182
1958,240.44909392329384
1959,240.24896010803494
1960,240.48583800091313
1961,240.9118995073446
1962,240.27641533604935
1963,238.99419484136132
1964,239.34901417099366
1965,239.891251929469
1966,239.86648599512384
1967,240.19192773052237
1968,240.31718837106536
1969,240.02055826207675
1970,240.0952551264032
1971,240.32966432557217
1972,240.28016949736633
1973,240.10130410724318
1974,239.87400805811933
1975,239.68088863679745
1976,239.76902391451222
1977,240.52553649252138
1978,239.80439232358992
1979,239.78660996646167
1980,240.17506267435766
1981,240.25777323578154
1982,239.61445437081525
1983,239.08502809161706
1984,239.8331947767344
1985,240.230676321261
1986,239.67726204139382
1987,239.84240985010467
1988,240.05064101983703
1989,240.1371087189671
1990,240.41912299156854
1991,240.2058234394939
1992,238.35034887697844
1993,238.93952917265102
1994,239.6550749898459
1995,240.34056525208717
1996,239.77128420238915
1997,240.04017243180317
1998,240.39626669385376
1999,240.35019271785805
2000,240.23583599916893
2001,240.2271737959847
2002,240.77129787302525
2003,240.17429597008126
2004,240.270732855041
2005,240.39770459312743
2006,241.0524794097954
2007,240.15367792755072
2008,240.1287497300822
2009,240.29355369357683
2010,240.5987953002481
2011,240.10244756362306
2012,240.14908321740882
2013,240.68562033320276
2014,240.9275498368718
