year,rlut
1850,241.14332363180918
1851,241.4942061332807
1852,240.538636633468
1853,240.51514282226563
1854,240.7371402270173
1855,240.76764183566996
1856,241.11934421487052
1857,241.68779167279803
1858,241.19054799537136
1859,240.93590602090907
1860,240.83150187453182
1861,240.77637057369702
1862,240.45455911714737
1863,240.7442902865475
1864,240.98320776534408
1865,240.91376376217357
1866,240.463845114512
1867,240.74552821329195
1868,240.80718567730628
1869,240.91618919895123
1870,240.68110343201516
1871,240.59113907487423
1872,240.7306481348325
1873,240.73915890210293
1874,240.71755805864726
1875,240.7790986779618
1876,240.95679208415828
1877,241.05432542774778
1878,241.0441551313008
1879,240.73243349676258
1880,240.49585378986518
1881,240.28419716194878
1882,240.24160825128425
1883,240.06177715144747
1884,241.00894595629546
1885,240.79406462368897
1886,240.36498413085934
1887,240.39772096398755
1888,240.53714357140944
1889,240.8380967231646
1890,240.6611759969633
1891,240.70605339154804
1892,240.21894756996468
1893,239.93789033236567
1894,239.90032963164865
1895,240.03731706175088
1896,240.27171894230253
1897,240.1755503197238
1898,240.44830422597389
1899,240.70834576332405
1900,240.3367839238415
1901,240.0675481090807
1902,240.30995709144904
1903,240.68959070493094
1904,240.52458935045215
1905,240.17437476589254
1906,240.12295519685085
1907,240.32440444737267
1908,240.1659473157909
1909,240.2532532574379
1910,240.22472400403998
1911,240.20744432423209
1912,240.7092877531705
1913,240.51893134966286
1914,240.68983994575393
1915,240.7520573864244
1916,240.13245849609373
1917,240.2125620802788
1918,240.03290271497755
1919,239.94070350960507
1920,240.54559313630406
1921,240.39727779022633
1922,240.51715631354347
1923,240.32144098151218
1924,240.53481382605145
1925,240.46095234074005
1926,240.4158389156812
1927,241.14776285249894
1928,240.81833186737478
1929,240.62346563469873
1930,240.94888456161706
1931,240.78640099094338
1932,240.71224590980844
1933,240.94686342004226
1934,240.73246698248877
1935,240.21107708656623
1936,239.9697832499465
1937,239.94207985237853
1938,240.20136254715595
1939,240.4667696600091
1940,240.34320833389074
1941,240.65538706322238
1942,241.1360076904297
1943,240.78105644330583
1944,240.4219160524133
1945,240.51801494441617
1946,240.947548853208
1947,240.54693352686218
1948,240.23804559577002
1949,239.99789926189263
1950,240.49891043885114
1951,240.29053704248716
1952,240.3721305533631
1953,240.6282344870371
1954,240.34782581068066
1955,240.50116543704513
1956,240.44158020019532
1957,240.6321099268247
1958,240.93123541008936
1959,240.72430821248926
1960,240.40093375428083
1961,240.97772271143245
1962,240.95084408276705
1963,240.59378394558004
1964,240.81461286152881
1965,240.778934259284
1966,241.01938627060142
1967,240.78394553824648
1968,240.4063594034273
1969,240.63411585141534
1970,240.9299199770575
1971,241.23522363950133
1972,241.16587549497004
1973,240.8451663918691
1974,240.66879134504762
1975,240.68536393675086
1976,240.51421023852203
1977,240.46089205807203
1978,240.86577206964364
1979,241.63894933413152
1980,241.5402860458583
1981,240.75573291517287
1982,240.16230000535103
1983,240.2840793975412
1984,240.6317949686965
1985,241.34728410276645
1986,241.658189956456
1987,241.04347751565177
1988,240.36532734910102
1989,240.71835866431664
1990,240.5490141986167
1991,240.70478824981274
1992,240.69741695874356
1993,240.5629556734268
1994,240.69817948014764
1995,240.29552838051154
1996,240.5447358013832
1997,240.7235783407133
1998,241.09234259618475
1999,240.91085439185576
2000,241.55476220535905
2001,241.3195970927199
2002,240.9130001120371
2003,240.88314447272313
2004,241.24483450275577
2005,240.90100599315065
2006,240.83695340091236
2007,241.01667275624732
2008,241.19385401059503
2009,240.98875999973245
2010,240.40175722723134
2011,240.46642380805866
2012,240.75774874752517
2013,240.8896050440122
2014,240.70074178617293
2015,240.76280124612055
2016,241.01735885829143
2017,240.68513626725706
2018,240.39458965144743
2019,240.35749536801688
2020,240.5700043978756
2021,240.62180827937715
2022,240.53042648524453
2023,240.92723907052658
2024,240.63157265023008
2025,240.5060196967974
2026,240.4839403126338
2027,240.5644938429741
2028,240.59859443560038
2029,240.59140453599906
2030,240.2630397012789
2031,240.54333880698843
2032,240.73436601194618
2033,240.8669570295778
2034,240.74119801978543
2035,240.7968080703526
2036,240.91396078867456
2037,240.63664279049388
2038,240.27100621053617
2039,240.37438362853166
2040,240.66245154811912
2041,241.35085608077375
2042,240.80772044560675
2043,240.87203791370132
2044,240.9028322820794
2045,240.56562445653626
2046,240.78500215713288
2047,240.86174391655072
2048,241.11155550185947
2049,240.8536783714817
2050,241.42109621648922
2051,241.2192902447426
2052,241.38674680108892
2053,241.0766218629602
2054,241.06676823864242
2055,240.95579867428296
2056,240.92454553891534
2057,241.05419821543234
2058,240.88945780714894
2059,240.89147134023173
2060,241.09885525638109
2061,240.85334297075661
2062,240.9559724154538
2063,241.18582947613442
2064,240.92172517123288
2065,240.77869956656673
2066,240.63116317121947
2067,240.60020827201947
2068,240.1918067827617
2069,240.38890949406033
2070,240.14038683747592
2071,240.53215440723991
2072,239.92314553456762
2073,240.3366942105228
2074,241.13696477184558
2075,241.29339415667806
2076,240.43296132544947
2077,240.11149935787668
2078,240.2201505896163
2079,240.48630542493845
2080,240.92154900537776
2081,240.38583829696864
2082,240.78613565523332
2083,240.8829365769478
2084,240.13422579830637
2085,240.32002070178726
2086,239.85161722261614
2087,239.97124311891318
2088,240.19987763705316
2089,240.54032463178243
2090,240.18313201486248
2091,240.52147329670112
2092,240.8771571747244
2093,240.6128552162484
2094,240.75964769337276
2095,240.79386809884681
2096,240.20978155266747
2097,240.20707823870933
2098,240.15711690824324
2099,240.2781577750428
2100,240.25471839382223
2101,240.01484379180494
2102,240.28092843669737
2103,240.20290970475705
2104,240.3808055720917
2105,240.38217949018087
2106,240.62180297015462
2107,240.28867501036763
2108,240.05050613194294
2109,240.24032542607557
2110,240.3280435222469
2111,240.66280028460778
2112,240.9029947777317
2113,241.34513545624196
2114,240.93195821683702
2115,240.92813231585774
2116,241.26162916209597
2117,241.0496075355843
2118,241.3265563964844
2119,240.8690649999331
2120,240.7802446339228
2121,241.06469546801424
2122,241.401846104452
2123,241.43886137661872
2124,240.66776858813142
2125,240.5083443837623
2126,240.5634625160531
2127,240.78225239792914
2128,241.077061399695
2129,240.8584198834145
2130,241.03727705446008
2131,241.1483543082459
2132,241.29532880391162
2133,241.30021040406947
2134,241.10402623006746
2135,240.7676619856325
2136,241.47046542232985
2137,241.47903768461043
2138,240.51616039537404
2139,240.54989084740208
2140,240.90995061168934
2141,241.3040113893274
2142,241.39628922971957
2143,240.7228444138618
2144,240.57246173179314
2145,240.76616110605733
2146,240.93594473224795
2147,241.15952587388966
2148,240.91895777036063
2149,240.68970019196814
2150,240.78540791550728
2151,241.04050635768942
2152,240.99492684978327
2153,240.59230802353113
2154,240.34979641012947
2155,240.40587191647046
2156,240.47425629080155
2157,240.42459470147958
2158,240.42820986395012
2159,241.02630435473296
2160,240.8609176844767
2161,240.87444855154376
2162,240.35867192516588
2163,240.53056013551478
2164,240.35910953887517
2165,240.73481102512304
2166,240.80707163353486
2167,240.85768996983353
2168,240.50386511397687
2169,240.34476656979075
2170,240.44221346084382
2171,240.64900671553937
2172,240.6544882578392
2173,240.27088217539333
2174,240.1412560449888
2175,240.6964296523839
2176,240.96928125668876
2177,240.19483981197826
2178,240.4169928981833
2179,240.58834040393566
2180,240.47054334666632
2181,240.64223164597604
2182,240.6773597194724
2183,241.20125389621683
2184,240.61227667821595
2185,240.43511816573468
2186,240.59223745685733
2187,240.95262041483844
2188,241.1949181961687
2189,241.0593373755886
2190,241.00279808566998
2191,241.28861832292114
2192,241.15281844465702
2193,241.05265523832134
2194,241.217891494542
2195,241.30495893922568
2196,241.45069910336846
2197,241.6271441315951
2198,241.28119230923585
2199,241.1103695804126
2200,240.79729894350655
2201,240.87433170684398
2202,241.30572722970624
2203,241.52994409848566
2204,241.51201364177547
2205,241.29155390491223
2206,241.63433599602686
2207,241.05531887942797
2208,241.17340643895818
2209,241.4464462489298
2210,241.6555750598646
2211,241.31240489384896
2212,240.87136013083258
2213,240.88516043049015
2214,241.1872208268675
2215,241.28410071804095
2216,241.7810825713693
2217,241.46409113635755
2218,240.9433063245799
2219,240.68839278547728
2220,240.47382766514608
2221,240.85797261277293
2222,240.71586847174655
2223,240.70464151460828
2224,240.6506511949513
2225,240.51615019497805
2226,241.12537260708746
2227,240.97013357502138
2228,240.63880598512415
2229,240.59331940951415
2230,240.393147925808
2231,240.95173498702377
2232,240.71326097462273
2233,240.81650821215487
2234,240.58336131474744
2235,240.6807650631421
2236,240.51149597167966
2237,240.37294265538046
2238,240.52652546085721
2239,240.32619520213504
2240,240.32209083870663
2241,240.18022335522798
2242,239.98712174925086
2243,240.6917245525203
2244,240.70456405012573
2245,240.73774368077108
2246,240.75713638932737
2247,240.7550551323041
2248,240.91822016467788
2249,240.94438376230735
2250,241.3070169527237
2251,240.73423357401808
2252,240.348194613522
2253,241.0342928951734
2254,240.5838574553189
2255,240.14205665065816
2256,240.48881936269262
2257,241.11016841522633
2258,241.4384979666096
2259,240.2767607388431
2260,240.46434447406085
2261,240.65564190590217
2262,241.0791965850412
2263,240.84020849776593
2264,241.2269047985338
2265,241.4272983916818
2266,241.49919818198842
2267,241.46533378705587
2268,241.480680199192
2269,241.58007034928832
2270,240.93007917012253
2271,241.12136234649242
2272,241.19803813777557
2273,241.53773047042222
2274,241.75319439613656
2275,241.5818241067129
2276,241.9606320315844
2277,241.91966189031734
2278,241.01708415828338
2279,241.66490089730044
2280,242.235282751632
2281,241.10260323302387
2282,241.00381645307147
2283,241.01847897882328
2284,241.1697513946115
2285,241.63281103682846
2286,241.57727556620557
2287,240.88632151982557
2288,241.2020570101803
2289,241.19128806754333
2290,241.25670964489245
2291,241.44584492722603
2292,241.4925680918236
2293,241.12985689346104
2294,240.6963908156303
2295,240.4958903273491
2296,240.370150296982
2297,240.9300085198389
2298,240.89601774868902
2299,240.8197973381983
2300,240.88351373541846
2301,241.10754001565178
2302,240.9028133026541
2303,240.39174319750643
2304,240.68705331462706
2305,240.59989268681773
2306,241.21025825395972
2307,240.94932961659887
2308,240.3300402079543
2309,240.58495445774028
2310,240.42482099141156
2311,240.59162317563408
2312,241.3710991428323
2313,241.72317730629283
2314,240.6535120715834
2315,240.49622184021834
2316,240.74070589248447
2317,241.2235135431159
2318,240.89120926530393
2319,240.30482583241923
2320,240.22569187112043
2321,240.6672312697319
2322,241.03749331121574
2323,241.11795290594233
2324,240.70309510949537
2325,240.29493441647043
2326,240.82456577248766
2327,240.6568899912377
2328,240.71696547416792
2329,241.127126782561
2330,241.10702568994807
2331,240.70088020220192
2332,241.06318204696862
2333,241.50715862953496
2334,241.49952233719497
2335,241.02674008722173
2336,240.9296382956309
2337,241.24952526353812
2338,241.28690528347067
2339,241.16313263357503
2340,240.49901298627464
2341,240.67109951907642
2342,240.78531862023758
2343,240.89374736629117
2344,240.74477635213773
2345,241.33415577509632
2346,241.14259501418022
2347,241.60760949539815
2348,241.7840745481726
2349,241.36951875033446
