year,rlut
2015,241.55171889213665
2016,241.93825771384047
2017,241.30457592271776
2018,240.80950856666044
2019,241.0313340278521
2020,240.63820073375965
2021,241.24185122137197
2022,241.5321659871977
2023,241.04415500588613
2024,240.97360676804632
2025,240.86948568265728
2026,241.4927470168022
2027,240.83257270708475
2028,241.2988600639448
2029,241.49166188697293
2030,241.50535123642177
2031,241.48443047510432
2032,240.87177253618628
2033,240.8104129320955
2034,241.00197039042436
2035,241.15160764929365
2036,242.07025898972603
2037,242.21962694141962
2038,242.0160886999679
2039,241.75278454088183
2040,241.27910770782051
2041,241.98689290921982
2042,242.46798940162134
2043,242.65083041256418
2044,241.38204943513216
2045,241.47059765123345
2046,241.38504086847172
2047,242.40781931419895
2048,243.21440935526806
2049,242.73757182082085
2050,241.66384235538848
2051,241.58658994909837
2052,241.94556625575237
2053,241.97246566145384
2054,242.7183008481378
2055,242.94486063081925
2056,242.937936484977
2057,242.54901290266483
2058,242.40081766206922
2059,242.1704023387334
2060,242.10793339977528
2061,242.8238791269799
2062,242.86384958763648
2063,243.2930552861462
2064,242.90906530928936
2065,242.51663220549284
2066,242.90982745444938
2067,243.9379446369328
2068,243.53735184342892
2069,243.3698590004281
2070,242.28390707773698
2071,242.80583755284138
2072,243.63264862478596
2073,243.5119939516668
2074,243.0834644056346
2075,242.73949120926528
2076,243.1575975810012
2077,243.27492278634685
2078,243.61112098171284
2079,244.02444784086043
2080,243.43282466522638
2081,243.11195733057306
2082,243.0016544707834
2083,243.7037165811617
2084,244.33965901414007
2085,244.02701206991117
2086,243.50450481258025
2087,243.59238164196276
2088,244.5498973689667
2089,244.99074113401645
2090,244.12607944436266
2091,243.72927944235605
2092,244.37870755130297
2093,244.63185408082722
2094,244.6423008330881
2095,244.0827504615261
2096,244.68339873013431
2097,244.99135307416523
2098,244.42788102659458
2099,244.954062516722
2100,245.12390696904427
