year,rlut
1850,238.52148149046178
1851,238.33404812747483
1852,238.23362589796926
1853,238.34210606405176
1854,238.1709968880431
1855,238.18999943145334
1856,238.35830767905873
1857,238.13258926182573
1858,238.45580578111623
1859,238.09501413841772
1860,238.21508396096425
1861,238.10573592512577
1862,238.54599312560194
1863,238.0964084572988
1864,238.28871204951034
1865,238.52006434610445
1866,238.3541695372699
1867,238.33027318667058
1868,237.9924648755217
1869,238.25527799423423
1870,238.19492467592838
1871,238.04974921239562
1872,238.29702428530337
1873,238.2404863749465
1874,237.9462435787671
1875,238.32120645601455
1876,238.19026514340757
1877,238.22959996053615
1878,238.0764614157481
1879,238.32862494481753
1880,238.06734247077
1881,238.4081183864646
1882,238.14128681339628
1883,238.13792130979772
1884,238.11821021511128
1885,237.83930689145444
1886,238.11452757952966
1887,237.95471956435946
1888,238.10786918744648
1889,237.87650924055544
1890,237.95714362157534
1891,238.04062541804905
1892,238.14776586245185
1893,237.79906804332998
1894,238.0016794701145
1895,237.91763155166413
1896,238.04372587857176
1897,237.66570196282373
1898,237.9283664233064
1899,237.89716592030982
1900,237.97761928610603
1901,237.79851483906788
1902,238.04757000648812
1903,237.84070794092466
1904,237.85360596539226
1905,238.03331616545375
1906,237.80083145768674
1907,237.93437286795
1908,238.26496172343212
1909,237.842718673079
1910,237.8893693061724
1911,238.02209205104884
1912,237.6606720388752
1913,237.69805435807737
1914,237.9818275347148
1915,238.10626772527823
1916,237.906136207058
1917,238.19226086760222
1918,237.95957445118523
1919,237.911527241746
1920,238.46032305155714
1921,237.7783771253612
1922,237.66189976522367
1923,237.97835793691135
1924,237.78258253123659
1925,237.92877991558757
1926,238.02404413092626
1927,238.0814181811189
1928,237.8668737960188
1929,238.11554975117724
1930,237.8309329098218
1931,237.95062807684076
1932,237.89118777758455
1933,238.06771144083103
1934,238.01976276554473
1935,237.95625422229506
1936,237.84040623495022
1937,237.7322483846586
1938,238.45358903440712
1939,237.87160050901647
1940,237.81806519390787
1941,238.0940365307952
1942,237.61723850197987
1943,237.79915290728002
1944,238.13817753203926
1945,238.26141390865794
1946,237.86273950028095
1947,237.73004982308166
1948,237.84650782754977
1949,238.47606916035687
1950,237.88125250829407
1951,237.91303326332405
1952,238.3216819031598
1953,238.17683694917866
1954,237.9635560336178
1955,237.9448669015545
1956,238.4630700516374
1957,238.23957026233407
1958,238.2286713482582
1959,238.51989712649828
1960,238.27159139554792
1961,238.50418914376874
1962,238.20945355141
1963,238.4085835077991
1964,238.3698088763511
1965,238.35187453178509
1966,238.38241409928833
1967,238.4310609164303
1968,238.1123078228676
1969,238.22892213586258
1970,238.21717190677174
1971,238.57185794360015
1972,238.283423478636
1973,238.23408441412937
1974,238.3655191499893
1975,238.5123111254548
1976,238.7923955211901
1977,238.22211483472014
1978,238.39113129916257
1979,238.16884945386073
1980,238.23552609796394
1981,238.34039758133562
1982,238.31042421941885
1983,238.74780189827695
1984,238.3168506361034
1985,238.37045689412992
1986,238.21413707994435
1987,238.34966204917592
1988,238.487110629147
1989,238.51807125561857
1990,238.2650251832727
1991,238.3072034861943
1992,238.23411384478007
1993,238.4363944275739
1994,238.3782443529939
1995,238.4230644330586
1996,238.60222882832568
1997,238.23601145287086
1998,238.4258689148785
1999,238.34157196462974
2000,238.51837438295965
2001,238.26029847027505
2002,238.2250160948871
2003,238.34306573737157
2004,238.0046260467947
2005,238.21456888277237
2006,238.2733889645093
2007,238.2894609007117
2008,238.15241749384626
2009,238.47916569121892
2010,238.08575941111943
2011,238.53617081315548
2012,238.34172183520175
2013,238.09531927239405
2014,238.53774727599261
2015,238.11620709144907
2016,238.1299152531036
2017,238.0212083372351
2018,238.20437149674925
2019,238.21001762494646
2020,238.13783301784568
2021,238.3069144471051
2022,238.00672732836583
2023,238.00782111180973
2024,237.91759158617828
2025,237.9113330997833
2026,238.15246703265464
2027,238.02051721860283
2028,238.36808977518993
2029,238.162108956951
2030,238.01517300540453
2031,238.04628375327752
2032,238.1548524203366
2033,237.99428915781516
2034,237.80035952215326
2035,238.0124250438115
2036,238.075513322386
2037,238.05524843816892
2038,237.42173599870242
2039,237.7597227749759
2040,237.86437591134683
2041,237.85017746180708
2042,237.70333799597333
2043,237.67316756575073
2044,237.92649866391537
2045,237.7096926336419
2046,237.70985383334224
2047,237.95533873675618
2048,237.71275325409354
2049,238.01894456001176
2050,237.66412474749836
2051,237.63281567717252
2052,237.7571829181828
2053,237.94160473967253
2054,238.02542804038688
2055,237.63516578151754
2056,237.8840445740582
2057,237.85594122899718
2058,237.68898039517336
2059,237.53116070473027
2060,238.10098693011554
2061,237.92739174202694
2062,238.03769894952643
2063,238.16848642009575
2064,237.7456902490903
2065,238.0255961797009
2066,237.86662714709973
2067,237.73491298727794
2068,237.9453762106699
2069,237.9249974080961
2070,237.96574803182523
2071,237.76615822151913
2072,237.99310691519958
2073,237.70263262186967
2074,237.9166317874438
2075,237.58772445051642
2076,238.1121902674845
2077,237.70689312660528
2078,237.73603519805488
2079,237.8113498635488
2080,237.97824376772527
2081,238.55688188108675
2082,237.8709134454597
2083,237.86316553403256
2084,238.07497441540025
2085,237.89119588773542
2086,238.05744047818115
2087,238.183522848887
2088,237.80885858405125
2089,238.02753111956872
2090,238.03418340813622
2091,237.6544300236114
2092,237.97086177460133
2093,238.40533635387683
2094,238.21782565182204
2095,238.18767123287668
2096,238.1257436673935
2097,238.12831199332456
2098,238.0624197763939
2099,238.05220023377302
2100,238.3677981023919
2101,238.21280275109694
2102,238.38097379501556
2103,238.1337242230977
2104,238.30123893006206
2105,238.22741335516108
2106,238.54698085001073
2107,238.13473247371306
2108,238.45589649775258
2109,238.40032561837805
2110,238.19446703767125
2111,238.07980852518995
2112,238.297653699901
2113,238.7925973552547
2114,238.52623370444937
2115,238.38287671232877
2116,238.56980699513056
2117,238.64897109776328
2118,238.3591127160477
2119,238.37066637849156
2120,238.54796155119595
2121,238.46252533377032
2122,238.70317065095244
2123,238.21130939640415
2124,238.6388316951386
2125,238.25989379882813
2126,238.3098546276354
2127,238.2950873388003
2128,238.44977412811696
2129,238.41516456081442
2130,238.35085026989245
2131,238.34908681373074
2132,238.51242826278894
2133,238.14258815817638
2134,238.40168745485073
2135,238.4099946322507
2136,238.29401893093157
2137,238.3766157176397
2138,238.11453067309236
2139,238.31593071924493
2140,238.60821792393514
2141,238.4346448506394
2142,238.0250390875829
2143,238.40937115394905
2144,238.17531997471642
2145,238.30600669547303
2146,238.3771383207138
2147,238.11881747311108
2148,238.29386981284776
2149,238.4434894300487
2150,237.92874216576143
2151,238.05965684864617
2152,238.63242329636668
2153,238.1285697205426
2154,238.21560903052765
2155,238.42373515089895
2156,238.42410123642176
2157,238.28176783731536
2158,237.9639135073309
2159,238.57130473933805
2160,238.2558835382331
2161,238.14832713506
2162,238.3515239558808
2163,238.3295825696971
2164,237.8798104064105
2165,238.10613679232662
2166,238.04658571008133
2167,238.34778555256045
2168,238.15901660657906
2169,238.06812773404056
2170,238.20978661106057
2171,237.99131657848616
2172,238.2665958352285
2173,238.08774940804258
2174,237.70173435995025
2175,238.10153867120616
2176,238.34090066152078
2177,237.95227778186535
2178,238.0179843014234
2179,238.342101298293
2180,238.0250750397983
2181,237.9175754494863
2182,238.23472398731803
2183,238.2665875996629
2184,238.32346634538206
2185,238.24808663146132
2186,238.41789191259093
2187,238.1725306262709
2188,238.27735085683327
2189,238.34294278915613
2190,238.0421902591235
2191,238.37425587275254
2192,238.21776633066668
2193,238.1286136574941
2194,238.3068764046447
2195,238.4237259956255
2196,238.331649529444
2197,238.29543440309288
2198,238.39909897895708
2199,238.32760448717093
2200,238.35874395501122
2201,238.2558671089068
2202,238.20764147614778
2203,238.3630428366465
2204,238.3775961679955
2205,238.0665929506903
2206,238.29529811911388
2207,237.9985629983144
2208,238.34537474749837
2209,238.0865321747244
2210,238.36259694556668
2211,237.97633445426206
2212,238.03356193646994
2213,238.25141869113872
2214,238.32050856498824
2215,238.00174991137362
2216,238.5467199874251
2217,238.3512880926263
2218,238.253442591837
2219,238.38717459064642
2220,238.36358529704893
2221,238.56244134772317
2222,238.5684490047089
2223,238.6375904658069
2224,237.8156572315791
2225,238.5827778437366
2226,238.2289147781999
2227,238.20772529497538
2228,238.30304736829783
2229,238.1942846846907
2230,238.5830314740743
2231,238.19117164089252
2232,237.81694829235335
2233,238.2708994408176
2234,238.42933763477902
2235,238.06924400852148
2236,237.9097569295805
2237,238.35158030888803
2238,238.35068877755776
2239,238.18698329141696
2240,238.47641196054957
2241,238.07144081429257
2242,238.54335983485393
2243,238.3023602211312
2244,238.30500718208208
2245,238.55312048507062
2246,238.19390371662297
2247,238.309819553323
2248,237.96913176236086
2249,238.32539526534407
2250,238.57212511872592
2251,238.24520071369327
2252,238.67162726415347
2253,237.92288375227417
2254,238.24885195379383
2255,238.18330111568918
2256,238.51406433941568
2257,238.3177310055249
2258,238.24815230696166
2259,238.61750877066834
2260,238.4058508468001
2261,238.21628020822186
2262,238.6746401016026
2263,238.48732437760867
