year,rlut
2015,238.8721899749561
2016,239.14329843890755
2017,238.67025163175694
2018,238.90391845065193
2019,239.23354394147262
2020,238.53803621834317
2021,238.55019586210506
2022,238.7550605661461
2023,239.02684646991185
2024,238.62614188705692
2025,239.10108954288225
2026,238.7053911122473
2027,238.5774267704363
2028,239.0797500131835
2029,238.72395405751627
2030,238.91147931361374
2031,238.73446140924807
2032,239.2341347424553
2033,238.560829075402
2034,238.84636481375236
2035,238.78108791991366
2036,239.03627799078018
2037,238.93961778086882
2038,238.8272382551857
2039,239.04627279785865
2040,239.21635258568116
2041,239.00146322325372
2042,239.0030417328514
2043,238.7745179849856
2044,239.01378960700967
2045,239.10604403619215
2046,238.8750306714854
2047,239.48154440535978
2048,238.8083230259817
2049,239.1622480792294
2050,238.96323294758693
2051,239.17283958892926
2052,239.29568391903584
2053,238.64392961720063
2054,239.10296032350584
2055,238.72823551740458
2056,239.1859291679479
2057,239.0178920789921
2058,239.35827931735253
2059,238.66214220306466
2060,239.07881570366177
2061,239.26857640269844
2062,239.1689134023381
2063,239.38852768514218
2064,239.31080057349982
2065,239.05329404992722
2066,239.23393823882918
2067,239.49198783506932
2068,238.97846303605178
2069,239.4804013455658
2070,239.19261073968497
2071,238.95593771138843
2072,239.45039700218203
2073,239.237688689152
2074,239.62957590583596
2075,239.35445767237394
2076,239.77967705848047
2077,239.51504419525088
2078,239.66193981907193
2079,239.6308540264708
2080,239.8363390415645
2081,240.12975771808917
2082,239.57650770160464
2083,239.87477146050247
2084,239.89910031580365
2085,239.5868675867033
2086,240.32555057434658
2087,239.64312981910177
2088,240.1800285399703
2089,239.86525548642982
2090,240.25256220147406
2091,240.0888285325149
2092,240.2432686887934
2093,240.0641811792771
2094,240.2999063466827
2095,240.52923693108337
2096,240.71810322349154
2097,240.38363987570202
2098,240.38894796591933
2099,240.6535833805946
2100,240.84910778231983
