year,rlut
1850,239.8087146494441
1851,239.83375426044006
1852,240.0009921447239
1853,239.7333810520893
1854,239.95585684538779
1855,239.20347002861115
1856,239.44145209755555
1857,239.68682711589824
1858,239.52970142848727
1859,239.7936202098864
1860,239.80075329406614
1861,239.66052309205014
1862,239.52556683503158
1863,239.66400794685478
1864,240.0156512462664
1865,239.41578637275273
1866,239.51735886110063
1867,239.94860217587342
1868,239.4654348506802
1869,239.90742110304876
1870,239.6015586539749
1871,239.88311464081758
1872,239.603094705779
1873,239.858109857823
1874,239.60495962161747
1875,239.63600296754802
1876,239.46235472222406
1877,239.54548457263596
1878,239.93764192308993
1879,239.53727407345897
1880,239.38030854599498
1881,240.063258260981
1882,239.46972999473832
1883,239.68013834018907
1884,238.8024018716325
1885,239.21512932072363
1886,239.3264034812984
1887,239.22106998237007
1888,239.4087057867321
1889,238.98576697846107
1890,239.11858061565553
1891,239.3082216037418
1892,238.9197971156613
1893,239.14269357058814
1894,239.67667117044425
1895,239.50485144994138
1896,239.06115805830476
1897,239.18104047062275
1898,239.4309353663084
1899,239.25933276192123
1900,238.93033572020025
1901,239.61492225554986
1902,239.05630686458673
1903,238.84725563554701
1904,239.42147929208937
1905,238.9523641622756
1906,238.92366172937082
1907,239.56639584089834
1908,239.2921129791245
1909,239.42911307628938
1910,238.91531022219365
1911,239.13471554033617
1912,239.2563809012798
1913,238.78669327101852
1914,238.9854553330406
1915,239.23697733265686
1916,238.82035089063228
1917,238.9062913669171
1918,238.73774804240853
1919,239.09012473541156
1920,239.0705674521128
1921,239.11316144170576
1922,239.10117367367147
1923,239.234917221395
1924,239.1008969275662
1925,238.99055412792666
1926,238.91437202968075
1927,239.1524948043808
1928,239.30322838401548
1929,239.13080538618752
1930,239.22842624386783
1931,239.2422029562501
1932,239.1440878470206
1933,238.97412698298007
1934,238.90355094653773
1935,239.11948888274173
1936,238.9814054156971
1937,238.709994098215
1938,239.43373972294395
1939,238.62160088315824
1940,239.27748102681494
1941,238.67577321765796
1942,239.09964760560771
1943,238.70717465386014
1944,238.95688269213258
1945,238.9643218858341
1946,239.10414041098045
1947,239.07965652992294
1948,239.14734059626934
1949,238.8076206397705
1950,238.99478667015944
1951,238.78751094265576
1952,239.04221538377809
1953,238.9288328270509
1954,238.97972478097554
1955,239.39975850423764
1956,238.6789131034151
1957,239.06799985167336
1958,239.41694261418596
1959,238.97805547810225
1960,239.1079492081604
1961,239.22002820711157
1962,239.1120926052263
1963,238.37523354006478
1964,238.8328428112188
1965,238.37513684202096
1966,238.76947225793862
1967,239.38998074436572
1968,238.7346852259571
1969,239.19548512427718
1970,238.67431598553236
1971,239.04995198359475
1972,238.87386700089377
1973,239.04877415289826
1974,238.871041392503
1975,238.53600963754187
1976,238.5705411696829
1977,238.3906763563196
1978,238.63677174859015
1979,238.7036671955484
1980,238.4841860624706
1981,238.86134831907822
1982,238.4507778422632
1983,238.2334131752647
1984,238.36744830999717
1985,238.47665542602317
1986,238.855081691851
1987,238.48541912111824
1988,238.70732050052519
1989,238.78143750334172
1990,239.01610470227217
1991,238.62501399417945
1992,237.88892159755238
1993,238.35472711589676
1994,238.26706650383966
1995,238.36743099321546
1996,238.2729349425195
1997,238.70537746448113
1998,238.62267310937756
1999,238.81894012963002
2000,238.67469897540187
2001,238.9623471750234
2002,238.72832994569214
2003,238.69817776211144
2004,238.98579733730193
2005,238.72468100995496
2006,238.65443538692003
2007,238.75667065988273
2008,238.916558395362
2009,238.95946470636278
2010,238.74099700813974
2011,238.93453403964878
2012,238.59772853559866
2013,238.84804819388336
2014,238.61365288370553
