year,rlut
1850,239.80237305523596
1851,239.9711708382384
1852,240.22587589629703
1853,240.15095783390407
1854,240.1348387417728
1855,239.91639613321382
1856,239.71695610986995
1857,240.05111021277023
1858,239.9322965021003
1859,239.98632494782746
1860,240.07894170055647
1861,239.73384717131313
1862,239.53351682898113
1863,239.43450191968108
1864,239.79824289818333
1865,239.94525008528197
1866,239.5543647661601
1867,239.91665758106805
1868,239.53092881294143
1869,240.0012501755806
1870,239.8972266628318
1871,239.9576857475385
1872,239.7961019855656
1873,239.86615985191028
1874,240.00515709445904
1875,239.63053183359642
1876,239.8076582817182
1877,240.04426211004383
1878,240.04682650631423
1879,239.66163108512146
1880,239.67128680503527
1881,239.7620229224636
1882,239.8767881628585
1883,239.52865901581228
1884,238.65521662463883
1885,239.4167046115823
1886,239.5248811486649
1887,239.9084010712088
1888,239.80098463084602
1889,239.52192738154162
1890,239.3951918510541
1891,239.25817904537672
1892,239.41361681794467
1893,239.55472437192313
1894,239.49398611408395
1895,239.8390517143354
1896,239.86649399848832
1897,239.74515815630355
1898,239.75628440543397
1899,239.37527043590805
1900,239.62545166015627
1901,239.712994635595
1902,239.83266543035637
1903,239.27990304607232
1904,239.43142018775416
1905,239.47125582760324
1906,239.96655014247108
1907,239.62405094512522
1908,239.47189686396354
1909,239.58745414002297
1910,239.86180219258347
1911,239.7230554031999
1912,239.45821319998126
1913,239.25860390859106
1914,239.5164697934503
1915,239.4420327800594
1916,239.64706450161867
1917,240.00750744963347
1918,239.92965184041898
1919,239.6113692610231
1920,239.82036036661225
1921,239.93475885260597
1922,239.71398453385865
1923,239.7254960151568
1924,239.81817923767926
1925,239.90682092954034
1926,239.64855965392232
1927,239.56328940195579
1928,239.72032458161652
1929,239.41331899982606
1930,239.68759071663635
1931,239.61467745010165
1932,239.5591607498796
1933,239.87778082024562
1934,239.70774749337806
1935,239.93409457272043
1936,239.7124080292166
1937,239.85678652410638
1938,239.989346982355
1939,239.72816835168288
1940,239.61922176831388
1941,239.79323379307576
1942,239.39310440690548
1943,239.47522227666147
1944,239.68614936724097
1945,239.910194877729
1946,239.5072330422597
1947,240.19856287289969
1948,239.86529294366704
1949,239.94581365715968
1950,239.87721076860817
1951,239.8175780413902
1952,240.13871932356327
1953,239.51817334318815
1954,239.4425733592412
1955,239.73069871876334
1956,239.49691425480256
1957,239.5134551165855
1958,239.6572140628344
1959,239.84850208857287
1960,239.60565039229715
1961,239.45756635273972
1962,239.4860040952082
1963,238.93886371769318
1964,238.5808047777986
1965,238.73825842452376
1966,239.00022282012517
1967,238.96183735050565
1968,239.23377861127466
1969,239.18871443238976
1970,238.8512860441861
1971,238.94837529430652
1972,239.2311686894665
1973,239.10095490756098
1974,239.2067996926504
1975,239.19621669821544
1976,239.14426411667915
1977,239.0980107973699
1978,238.80157663005673
1979,238.88387003859432
1980,239.04837399835458
1981,239.41742704208585
1982,239.2059862528762
1983,238.72357800627407
1984,238.74179428309608
1985,238.96248478301584
1986,238.8815250344472
1987,239.04226245618847
1988,239.20127818486458
1989,239.41636778949058
1990,239.35315263303988
1991,239.05924356538955
1992,237.99606983759637
1993,238.4412084710108
1994,238.9449414814988
1995,238.77822219639606
1996,239.19845877869486
1997,239.26413206335616
1998,239.40969451486248
1999,239.82592263417698
2000,239.479113017043
2001,239.6994813265866
2002,239.82631484776326
2003,239.9086000207352
2004,239.67746042748018
2005,239.59897072151912
2006,239.9171954429313
2007,239.7863343957352
2008,239.67305439988226
2009,239.5722399985954
2010,239.77543552346424
2011,239.9247847047571
2012,239.7351646109803
2013,239.79916273143192
2014,239.78194901975863
