year,rlut
6000,239.77032211512736
6001,239.71873666423642
6002,239.8846746993391
6003,240.0876896688383
6004,239.80169895119863
6005,239.49407252481538
6006,239.68457491103916
6007,239.9835511508053
6008,239.77880529116277
6009,240.01095447279005
6010,239.6560570703794
6011,239.7771587633107
6012,239.97481104184502
6013,239.93042999685625
6014,239.68689123702376
6015,239.84923643347332
6016,239.58424109890038
6017,239.52464411487315
6018,239.49695355141
6019,239.46584752749087
6020,239.61126968174764
6021,239.67999447339201
6022,239.73450931914866
6023,239.84610474468911
6024,240.0532743271083
6025,239.6685841181507
6026,239.71770475204676
6027,239.8855112990288
6028,239.63625872886342
6029,239.66249176443435
6030,239.74813449807365
6031,239.7068368154029
6032,239.75083488568865
6033,239.88771922490366
6034,239.79397507758992
6035,239.68623678129015
6036,239.963975044146
6037,240.00689642919255
6038,239.73208158310143
6039,239.9614068018247
6040,240.034393686791
6041,239.67876662162882
6042,240.05196729686165
6043,239.30929816259092
6044,239.69022919119217
6045,239.8331305516909
6046,239.89278330345675
6047,239.91628982334925
6048,239.90316446382707
6049,239.86963279410583
6050,239.73985558078712
6051,240.06027008474686
6052,240.10798996180705
6053,239.78695289925355
6054,239.88484726997268
6055,239.81312728254764
6056,239.84492296192744
6057,240.0434194068386
6058,239.9177561720757
6059,240.08104607569027
6060,239.66669892611563
6061,239.49563489940067
6062,240.0830011655206
6063,239.95577388397635
6064,239.92905712388966
6065,239.78542702034727
6066,239.7652230040668
6067,240.17365588880565
6068,239.84008391915935
6069,239.53168966214952
6070,239.32631534942206
6071,239.84039093435624
6072,240.00516365782855
6073,240.15044120893083
6074,239.89876754969768
6075,239.77154348713077
6076,239.60254938831068
6077,239.68884795724526
6078,239.6510445372699
6079,239.87031638785584
6080,239.36869761845836
6081,239.5248584486034
6082,239.8576987488629
6083,239.6113934660611
6084,239.62343265063137
6085,239.6464298196035
6086,239.76066267457728
6087,239.47066892859056
6088,239.6482339101295
6089,239.71178083027877
6090,239.45709504427973
6091,239.82229204569776
6092,239.73402258468002
6093,239.82191580158388
6094,239.76429777798586
6095,239.6862885357582
6096,239.6897484766294
6097,239.67561122946543
6098,239.78248629635323
6099,240.04237905005886
6100,240.05679095542592
6101,240.05465965793556
6102,239.84693423754544
6103,239.71842433981698
6104,239.47577267999517
6105,239.78513706155024
6106,239.51674323931135
6107,239.48576898444188
6108,239.51743853843377
6109,239.57438387936108
