year,rlut
2015,240.42170351629386
2016,240.30079262093327
2017,240.442934344566
2018,240.60254976455477
2019,240.47586862224423
2020,240.48635061603702
2021,240.59693837623075
2022,240.73067346860284
2023,240.86225932918182
2024,240.99075472060946
2025,240.64319432924873
2026,240.71800018728598
2027,240.73053672476988
2028,240.60945518180114
2029,240.928946173681
2030,240.79045054814586
2031,240.90965170664327
2032,240.9519668788126
2033,240.92188323556562
2034,241.04788525725067
2035,241.334509151929
2036,240.99035782487422
2037,241.248262546487
2038,241.4048856970382
2039,241.36161264915987
2040,241.23019555496845
2041,241.4561828195232
2042,241.76338526059502
2043,240.8419459930838
2044,241.1476106826573
2045,241.44174474428777
2046,241.26701781390463
2047,241.56688721539223
2048,241.48866384845888
2049,241.93052777852097
2050,241.88629698034836
2051,241.8081749903013
2052,241.4269505330961
2053,241.82933918156033
2054,242.04092465753425
2055,241.80217113756152
2056,241.81928518634953
2057,241.77071942891158
2058,242.22994259350918
2059,242.08288498969924
2060,242.1019881993124
2061,242.0384302008642
2062,242.08351473873603
2063,241.92073882638593
2064,241.92577631702162
2065,242.07991608920162
2066,242.11497773470944
2067,242.49670527209975
2068,242.33190106953657
2069,242.21281888778896
2070,242.58811068600173
2071,242.40991474308376
2072,242.52260094211525
2073,242.41529574459548
2074,242.6274605528949
2075,242.57590235879977
2076,242.9415665299925
2077,242.64366701727042
2078,242.689280303537
2079,242.80155572760594
2080,243.1964727950423
2081,242.74419952810624
2082,242.61813831068068
2083,242.6740771986034
2084,243.02890545570685
2085,242.86960357247966
2086,243.02538422885004
2087,243.31927540400258
2088,243.06709996053615
2089,242.99111027129706
2090,243.44666150236782
2091,243.39426139936054
2092,243.35132337596318
2093,243.4313206920885
2094,243.5940244909835
2095,243.58767545517176
2096,243.57897297062289
2097,243.58283879528304
2098,243.5971137477927
2099,243.47694978060787
2100,244.25924548841502
