year,rlut
1,236.2876845686403
2,237.5640400925728
3,237.96701271370662
4,239.60075717037668
5,240.39318609368306
6,240.16538566693868
7,240.43589648939158
8,241.29107716181505
9,240.82277535216448
10,242.06795671018835
11,241.3730367164089
12,241.92213707492778
13,242.0799611130806
14,242.67346534206445
15,243.00147650731753
16,242.7650729662751
17,242.72025138123394
18,242.9591027664812
19,243.6858619585429
20,243.41553913273222
21,243.95048506227258
22,243.93434272661602
23,243.7125818958021
24,244.09787008207132
25,244.79066985665935
26,244.06079473626122
27,243.95829342358735
28,244.0437914286574
29,244.08392672604077
30,244.60670329054736
31,244.26145955961042
32,244.1130414988897
33,245.003036248194
34,244.5415558697426
35,245.3807232582406
36,244.47673147541198
37,244.715329063102
38,244.66248014267177
39,245.0820041186189
40,245.04082344786758
41,245.2634197496388
42,244.83582450135108
43,245.22767012086635
44,245.15645459318813
45,245.2278758009819
46,245.60458549604022
47,245.38773991832994
48,245.6392685981646
49,245.1460103074165
50,246.14791761424445
51,245.6021668316567
52,245.85784999899667
53,246.29896093917216
54,245.59623178978492
55,246.12326898444192
56,245.3155012156865
57,246.25989317175458
58,246.0019563439774
59,245.7999544326573
60,246.2913641106592
61,246.2482774708369
62,245.77003173828126
63,246.32707243618898
64,245.52028879662083
65,246.7647086365582
66,245.98914343428933
67,246.18358756287452
68,246.44214837061213
69,246.21578929326301
70,246.64719405500858
71,246.0409292560734
72,246.5074648504388
73,245.98177314653788
74,245.9449440734027
75,246.57007019879063
76,246.6097447643541
77,246.24385743859693
78,246.7944784922142
79,246.52777730863386
80,246.51742394852315
81,246.63178945044947
82,246.29970732388435
83,246.52156351167866
84,246.9540583362318
85,245.88924832278735
86,246.26047777149773
87,246.36910826800622
88,246.38731396818815
89,246.84208967653038
90,246.9603762691968
91,246.06552755277454
92,247.140086176624
93,246.31724983110817
94,246.55196733866651
95,246.8496887207031
96,247.2816434677333
97,246.82787793303186
98,246.91848177975174
99,246.9807391022983
100,246.8609581516213
101,247.84420216181508
102,246.77711984294734
103,247.32740449252194
104,247.0309566550059
105,247.4911643668397
106,247.07713083763645
107,246.78727935372964
108,247.69108251284243
109,246.98382860993684
110,247.80452726181238
111,246.7411784132866
112,247.30714136411066
113,246.70889081563033
114,247.66884928664115
115,247.19845802620668
116,247.25870482562343
117,247.20771425848136
118,247.4467808553617
119,247.5105202034728
120,247.09429383996414
121,247.03788786587648
122,247.29606235451894
123,247.60665049095675
124,246.56459580512896
125,246.86226760655234
126,247.16144756160372
127,247.17225500655496
128,247.74720099462218
129,247.2337345489084
130,246.9282778805249
131,247.27772668289813
132,247.29007083422516
133,247.11132097636184
134,246.9981225000669
135,247.72650832084759
136,247.64981133447932
137,247.2536418339978
138,247.26872194891106
139,247.63870318687128
140,247.72737142484482
141,247.3384585445874
142,247.64968934777662
143,247.80865896564643
144,246.75719562687286
145,247.3208425861515
146,247.7864353545724
147,247.60691214783554
148,247.7946458372351
149,247.4007890257117
150,248.29572515618312
