year,rlut
2015,241.50432629687987
2016,241.49143631410888
2017,241.506507122816
2018,241.48403082956634
2019,241.59211240154713
2020,241.33977962955652
2021,241.32138645806344
2022,241.75427491317677
2023,241.67968160002124
2024,241.50618077125534
2025,242.04685868914981
2026,241.83111332697138
2027,241.81685168910457
2028,241.76477023023895
2029,241.57303487246344
2030,241.65597083383932
2031,241.84327472619847
2032,241.81978947503606
2033,241.85200074619152
2034,242.19151880211854
2035,242.1592835147753
2036,242.0332071697839
2037,242.07683466599585
2038,242.2070212905056
2039,242.38886291313588
2040,242.087970725903
2041,242.03909774903588
2042,242.30812243542545
2043,242.0837381788568
2044,242.0001564115438
2045,242.11864023462064
2046,242.58725302774687
2047,242.60478292957364
2048,242.4128654626966
2049,242.14398590330092
2050,242.25117770240035
2051,242.4653976667541
2052,242.33025755376175
2053,242.2717185083464
2054,242.73309783025425
2055,242.44204179040773
2056,242.1732148119928
2057,242.29233960559753
2058,242.27881546055443
2059,242.55928384303328
2060,242.62545253614527
2061,242.2960775986727
2062,242.40387333766154
2063,242.65824477330955
2064,242.7296950888628
2065,242.71080901608877
2066,242.7435539277013
2067,242.97599875525322
2068,242.86447761914275
2069,242.8488743991943
2070,243.09692732754925
2071,242.8604840822089
2072,242.77773883863952
2073,242.99106721015212
2074,243.16684849397234
2075,242.7451581492046
2076,243.01119967258984
2077,242.95087697437876
2078,242.84880093996466
2079,243.2454653016983
2080,242.93982153614053
2081,243.499265633304
2082,242.69497681047415
2083,242.80735590483118
2084,243.11283788311496
2085,242.6987867857683
2086,242.5468831795147
2087,242.9222394247103
2088,242.78199413765523
2089,242.6542765470121
2090,242.6886111227548
2091,242.74285062452515
2092,242.77196260366446
2093,242.8705663088572
2094,243.1837856621667
2095,242.55366949290126
2096,242.7815513049855
2097,242.979348902163
2098,242.8129088840666
2099,242.7344556062425
2100,242.68280130188072
