year,rlut
1850,241.85309578185453
1851,242.0584399733676
1852,242.64273918420622
1853,241.61485212035154
1854,242.25982940943322
1855,242.0844011672442
1856,241.67065010643347
1857,241.7459089899679
1858,241.49646520292808
1859,241.46411407555894
1860,242.23778366135494
1861,241.82474172886305
1862,241.8808728568598
1863,241.43121232541162
1864,241.53196408936552
1865,242.00310012277018
1866,242.21486805690398
1867,241.5063762329068
1868,241.79760962523406
1869,242.43203362417478
1870,241.38522851785666
1871,241.5727923434125
1872,242.48384268046917
1873,241.9067922141437
1874,241.95397252138656
1875,242.05697296653076
1876,241.84628080277858
1877,242.17263234512322
1878,241.94210060354618
1879,241.93936325082188
1880,242.2462712898196
1881,241.96253377120746
1882,241.57812207918707
1883,241.4676840663646
1884,240.3947047950125
1885,240.40453776756914
1886,241.15561451391181
1887,241.73693404653574
1888,241.55524914579772
1889,242.03334223684647
1890,240.7923656577162
1891,240.8996466728553
1892,241.6549669506219
1893,241.1054061712859
1894,241.37443671625908
1895,242.15182498220818
1896,241.27679281867015
1897,241.47222098241969
1898,241.9479102872141
1899,241.22508328680502
1900,241.74887176633843
1901,242.24919492431323
1902,241.45251958838801
1903,239.945444769987
1904,241.09064873987464
1905,241.59583453805146
1906,241.76187708214417
1907,241.29142063565521
1908,241.4988437679609
1909,241.71764482427392
1910,241.91148831062293
1911,241.45191296442317
1912,241.63318721638677
1913,241.60392993965715
1914,241.72572009733457
1915,241.7551460190256
1916,241.70237653265465
1917,241.8047716484665
1918,241.9493994385253
1919,241.87101719860397
1920,241.2630402248542
1921,241.4369518339312
1922,241.72097976552325
1923,241.599212876657
1924,241.0665361031601
1925,241.21000173894987
1926,242.07342644045903
1927,241.22096851645023
1928,241.26290425128985
1929,241.7237816024461
1930,241.16717874533472
1931,241.6206246431807
1932,241.84295662164772
1933,241.9216953370012
1934,241.3996602226467
1935,241.44201187457784
1936,241.7999491058668
1937,242.38206829489906
1938,241.34048393154487
1939,241.6539179065433
1940,242.32913468649087
1941,241.31746265054068
1942,241.79007004547657
1943,241.886742575766
1944,241.51432012138156
1945,241.38177678519267
1946,241.87351728207472
1947,241.7983773776915
1948,241.25444268101495
1949,241.57486316600674
1950,242.05425820978766
1951,241.23472496378233
1952,241.7240166636055
1953,241.95726433853548
1954,241.02009091121784
1955,241.12453147671954
1956,242.061545807369
1957,241.4070352292404
1958,241.39732758872805
1959,241.6209256182166
1960,241.71924692892804
1961,241.51401422919602
1962,242.07810920306582
1963,240.45161110856114
1964,240.4114047029907
1965,241.42178910057004
1966,240.85930437095334
1967,240.83533851922198
1968,241.2586451989178
1969,240.7539329458706
1970,241.20783954991177
1971,241.63572711572485
1972,240.75215532003236
1973,241.0199917124854
1974,241.5493101743895
1975,241.2404849567198
1976,240.53451689811817
1977,241.54513082603236
1978,241.4395866029231
1979,240.97304232349438
1980,241.0698512746852
1981,241.39276275285164
1982,240.60127708136312
1983,240.44295813689746
1984,241.23874906177556
1985,240.38466831012633
1986,240.88378874922557
1987,241.20027069215752
1988,240.82701679254146
1989,240.97027509235792
1990,241.54428547619176
1991,240.59576737472122
1992,239.62577740794066
1993,240.884556623203
1994,241.18627822371172
1995,240.82096197825666
1996,241.20596564269914
1997,241.25485990669213
1998,241.30375562454358
1999,241.0229019858607
2000,241.03822100609622
2001,241.20866388432682
2002,241.58925449978364
2003,240.99207227864215
2004,241.32410848563165
2005,241.77802501023348
2006,240.7714240622464
2007,240.96196915123767
2008,241.79841373871324
2009,240.89708089679138
2010,241.00041889184374
2011,241.194554674144
2012,241.17242404488454
2013,241.09554544615392
2014,241.51863793002542
