year,rlut
1850,235.7081084787029
1851,235.44474069255665
1852,235.60255649514394
1853,235.53094908831875
1854,235.59620169025573
1855,235.44618266902555
1856,235.51863662510704
1857,235.3971738214362
1858,235.18692426289596
1859,235.53220068526596
1860,235.57271611461903
1861,235.57015021337222
1862,235.50915619314532
1863,235.14278581175083
1864,235.49519201827377
1865,235.76282440603595
1866,235.50660128658762
1867,235.39279613756156
1868,235.4460529484161
1869,235.5034561366251
1870,235.53234796393406
1871,235.52269596465644
1872,235.49114020360653
1873,235.5010905644665
1874,235.08712772735177
1875,235.07096306787776
1876,235.08829659239888
1877,235.32645121535208
1878,235.16383850933755
1879,234.9999918062393
1880,235.39372997545212
1881,235.11646469325234
1882,235.28946708783712
1883,235.55330731117564
1884,235.53538889427708
1885,235.0837405688142
1886,235.18104022300403
1887,235.23586011912724
1888,235.21657522541204
1889,235.31694687098673
1890,235.22701838245132
1891,235.12713309510113
1892,235.26578649233466
1893,235.18875272567956
1894,235.25419809001767
1895,235.15588190784194
1896,234.97409203934345
1897,235.25112342311908
1898,235.23655186483302
1899,235.26669043972066
1900,235.38118068747326
1901,234.6813739097282
1902,235.34646217659724
1903,235.33595004147048
1904,235.20959460114773
1905,235.01111730288153
1906,234.95701607482073
1907,234.95791747210774
1908,235.00150405674765
1909,235.0289905286815
1910,234.99846492401542
1911,235.2250494133936
1912,235.24270236916738
1913,234.8813014200289
1914,234.89344248314427
1915,235.02896101442104
1916,235.22242753538367
1917,235.02241440864458
1918,235.40205078125004
1919,235.34440165480524
1920,235.27790427011988
1921,235.02256235619114
1922,235.4333417082486
1923,234.6518017912564
1924,235.06891788848458
1925,235.06833261986299
1926,234.82164682884735
1927,234.96575672724475
1928,235.2076619605495
1929,235.09216258427864
1930,234.9219739522019
1931,235.09336347188037
1932,234.86824424430114
1933,234.83306015223675
1934,235.2052412059209
1935,234.72467998347872
1936,235.2112542139341
1937,234.89736767076462
1938,235.06101638584923
1939,235.20359965285206
1940,235.12833348104402
1941,235.22922166798213
1942,235.38876221539223
1943,234.92275006019904
1944,235.246937832767
1945,235.15334991037025
1946,235.07003863609003
1947,235.2232854137682
1948,235.21106571563303
1949,235.2302845576038
1950,235.2930310393033
1951,235.42661956369062
1952,235.3636037330105
1953,234.95101857642607
1954,235.13629455566405
1955,234.96830607375054
1956,235.33376644604826
1957,235.27586088833746
1958,235.0362038390277
1959,235.3510815764126
1960,235.16002071850917
1961,235.0855476274882
1962,235.11781528420642
1963,235.4862120327884
1964,234.72937074426102
1965,234.61692826780552
1966,235.02512336626444
1967,234.6901992588827
1968,234.44265048928452
1969,234.80748132157
1970,234.69620093776754
1971,234.68436885467946
1972,234.7320883973004
1973,234.63424607368364
1974,234.87520024547837
1975,234.66280467412244
1976,234.50275030266747
1977,234.5856065723994
1978,234.55083476027394
1979,234.24632267364083
1980,234.74311745003476
1981,234.67562489966826
1982,234.4980278537698
1983,234.50974468074432
1984,233.9393419657668
1985,234.19705764561482
1986,233.8977295339924
1987,233.97917802366493
1988,234.17315749076948
1989,234.1881225585937
1990,234.21978195399453
1991,234.61948095870343
1992,234.29037701332405
1993,234.00743495993416
1994,234.2460188356164
1995,234.1373701539758
1996,233.97758475525742
1997,234.39376977371845
1998,234.28358973672943
1999,234.14148308740903
2000,234.4974065493231
2001,234.23383763979558
2002,234.5008175366545
2003,234.4788477649427
2004,234.57958896584708
2005,234.5122160611087
2006,234.4142152551102
2007,234.6981037296661
2008,234.20294720375372
2009,234.50187181446648
2010,234.52317325121734
2011,234.541385891013
2012,234.58256886103382
2013,234.11403950730414
2014,234.36902156464046
2010,234.52317325121734
2011,234.541385891013
2012,234.58256886103382
2013,234.11403950730414
2014,234.36902156464046
2015,234.61921374177282
2016,234.49173044701143
