year,rlut
2015,238.7946568319242
2016,239.0331668383455
2017,239.3893179697533
2018,239.6502048022126
2019,238.52430687473245
2020,239.07953955245347
2021,239.24506693800834
2022,239.9522920373368
2023,239.38541105087486
2024,239.17182868016909
2025,239.57946330031308
2026,239.44135432831226
2027,239.1606095405474
2028,239.3302684209118
2029,239.26797527156464
2030,239.17518996147257
2031,239.8966040206282
2032,239.5902520166684
2033,239.4881973057577
2034,239.3762964954115
2035,239.95148031156356
2036,240.05307688255832
2037,239.35962495150633
2038,239.61123561075289
2039,239.7684130524936
2040,239.57149428276168
2041,239.51689490749408
2042,239.81373027644744
2043,239.69006101007326
2044,239.81122816948042
2045,239.76869686597013
2046,239.6923363672544
2047,240.27100930409887
2048,239.53875565202273
2049,239.26159237378266
2050,239.5956147494381
2051,239.9040207536253
2052,240.04013496294414
2053,239.79056429928295
2054,240.0391079001231
2055,239.52167918584118
2056,239.33068003197238
2057,239.45654974114402
2058,239.47579161761556
2059,239.77076052312984
2060,239.5917458730201
2061,239.74624487471903
2062,240.11526773531142
2063,240.17372373816085
2064,239.6021975164544
2065,239.7470403801905
2066,239.29050752822667
2067,239.48254122799386
2068,239.9019995284407
2069,239.7223009083369
2070,239.71362660029163
2071,240.25822749725756
2072,239.7563848626124
2073,239.6860952298935
2074,240.5816000324406
2075,239.47657667186158
2076,239.78928657427224
2077,239.53622131347657
2078,239.59561834465967
2079,239.6896292072453
2080,240.0830025450824
2081,239.7011023116438
2082,239.92510814928028
2083,240.02669084104772
2084,240.12860951880887
2085,239.82167370939905
2086,239.93708274527768
2087,239.47021634872644
2088,239.7267906293477
2089,239.6558979191192
2090,239.71838249311054
2091,240.282056709185
2092,240.28714482555645
2093,239.69377152952433
2094,240.014991488522
2095,240.36580584800407
2096,239.5652215827001
2097,239.8067489833048
2098,239.79323333322188
2099,240.07137492976779
2100,240.1397629829302
