year,rlut
1850,239.02962434054837
1851,239.07685974118846
1852,239.08503468026663
1853,239.36950732354086
1854,238.83999151049824
1855,238.65522262591625
1856,238.77815354559706
1857,238.9631926512439
1858,239.15515806518738
1859,239.01026352487798
1860,238.79346534050427
1861,238.51870871530843
1862,238.8650358680233
1863,238.89925695052318
1864,238.73831719641385
1865,238.416399802542
1866,238.80090198150953
1867,239.09285029640398
1868,239.30430364049994
1869,238.78136175739695
1870,238.56436024338166
1871,238.83313202973983
1872,238.86461097583722
1873,239.03614935098597
1874,238.43305557406362
1875,238.56019555847382
1876,239.07032370892065
1877,238.68362276213114
1878,238.3039228873963
1879,238.27092623939402
1880,238.90099072929263
1881,238.98167826435952
1882,239.2392033152641
1883,238.28899437526144
1884,237.31205798594186
1885,238.46114781442012
1886,238.99658350335946
1887,238.84804798019957
1888,238.61561599642909
1889,238.26891991533134
1890,239.0291127495303
1891,238.79066611182014
1892,239.09467346208083
1893,238.74137743506077
1894,238.6275106390693
1895,239.23614457865312
1896,238.7239872777904
1897,238.76051477786874
1898,238.45359921734826
1899,238.79667602224555
1900,238.78179378260972
1901,238.44804180000895
1902,238.5631505960583
1903,238.235259298899
1904,238.18940116568115
1905,238.56304933158188
1906,238.32465653395897
1907,238.69047568212738
1908,238.70572162670928
1909,238.7276051906211
1910,238.68997140317197
1911,238.1517072243365
1912,237.9022323033999
1913,238.40610180408848
1914,238.51615767634507
1915,238.12962253709586
1916,238.43108905196544
1917,238.44824629007945
1918,238.82767389183167
1919,238.96331265081074
1920,238.7099194731321
1921,238.57670975403823
1922,238.13717524340856
1923,238.87593163339378
1924,238.47592495638253
1925,238.2193992006132
1926,238.15332506635758
1927,238.8521789583342
1928,238.40022615024932
1929,238.23906195750217
1930,238.2526199238784
1931,238.4105946874327
1932,238.96699847291558
1933,238.20376792703263
1934,238.3601140623276
1935,238.6148272484519
1936,238.7838661355958
1937,238.5344205933176
1938,238.73125870327164
1939,239.0440469179458
1940,238.53461724633718
1941,238.35163463688048
1942,237.98797515622218
1943,238.1377578950226
1944,238.27887494458574
1945,238.0969600081313
1946,238.21596555272438
1947,239.09990783767103
1948,238.3621680854807
1949,238.11289127999027
1950,238.18573424711064
1951,238.26352537867783
1952,238.32230644510346
1953,238.1007974567838
1954,237.9107612879051
1955,238.43673433670588
1956,237.94457536080105
1957,238.28227499923088
1958,238.42407627440468
1959,238.11452914677537
1960,238.25678873048474
1961,237.94308065380102
1962,237.83700305148346
1963,237.03069572542705
1964,236.78224140286187
1965,237.85107441367896
1966,237.66681272796555
1967,237.22019354099208
1968,237.708546062672
1969,237.833465057995
1970,237.86252061436934
1971,237.3649326143537
1972,237.2740956914676
1973,237.68423726927986
1974,237.189028005561
1975,237.12822268364985
1976,237.1704595358271
1977,237.37939001510446
1978,237.14553221824943
1979,237.0124563538595
1980,237.4093189267044
1981,237.78635661470176
1982,236.92161036251053
1983,236.52050031343103
1984,236.3537209204992
1985,237.16527169252691
1986,236.77429707317256
1987,236.8528982907147
1988,237.1151210014216
1989,237.1838149041788
1990,236.87798720851373
1991,236.2990383576795
1992,235.51298399936567
1993,236.31498236711164
1994,236.91241624283774
1995,236.50275576349736
1996,236.496208310098
1997,237.02842361571106
1998,237.21961054399986
1999,236.7766810043824
2000,236.63305620734687
2001,237.06830106369966
2002,237.49478011951328
2003,236.9316750991436
2004,236.6537840099872
2005,236.48352943117268
2006,237.04587238567981
2007,236.84545558411622
2008,236.89857336473347
2009,236.58961150194958
2010,236.720303169493
2011,236.81679527392603
2012,236.30666738180864
2013,236.48296498875862
2014,237.15708919601
