year,rlut
2015,236.99099199455716
2016,236.81215911992572
2017,237.42127077560647
2018,237.36191436866181
2019,237.2371673353386
2020,237.35844579046628
2021,237.6829614300828
2022,237.5057961764108
2023,237.489992184588
2024,237.37501188912978
2025,237.8642977839593
2026,237.76593921455964
2027,237.30308260105934
2028,237.13982895173083
2029,237.47170095913967
2030,237.27504251469313
2031,237.32075761157606
2032,237.1938667058964
2033,237.57854161206745
2034,237.0889317240751
2035,237.313379478103
2036,237.71974680569522
2037,237.65146480423823
2038,237.37456145378056
2039,237.59911490586828
2040,237.37402621911568
2041,237.0314058509497
2042,237.70547319405517
2043,237.75077429416007
2044,237.44145070251173
2045,237.25309802052715
2046,237.83719214032752
2047,237.65055678955287
2048,237.4493220550582
2049,237.83678128808367
2050,237.97502358661126
2051,237.2924577209325
2052,237.63891111375654
2053,237.25332222453636
2054,237.22919788307766
2055,237.58246781225535
2056,237.63173955377067
2057,237.11881771513544
2058,237.58452131867276
2059,237.28870256623202
2060,237.00832132730358
2061,237.5030510497873
2062,237.47147670206317
2063,237.44873097746472
2064,237.29079465593105
2065,236.95420236672788
2066,237.30332345754834
2067,237.70544705565243
2068,237.43871766172776
2069,237.2987638781539
2070,236.9524742928057
2071,237.53976017568965
2072,237.7043114975322
2073,237.17907194525972
2074,236.96732195354437
2075,237.49932647730105
2076,237.1316961687336
2077,237.57530455964937
2078,237.38814287926724
2079,236.7706095865005
2080,237.48313712528517
2081,237.58078379420994
2082,237.15646133445063
2083,237.05714293642632
2084,237.5291222766305
2085,236.75049325945594
2086,237.11391841661552
2087,237.18161968407549
2088,237.38977475817177
2089,237.11721357518738
2090,237.1409759034438
2091,237.58508109527813
2092,236.98895183999667
2093,236.99991545646583
2094,237.19835558503894
2095,237.11414057632368
2096,236.60501976256202
2097,237.2960068321734
2098,237.00486253601323
2099,237.21044246709866
2100,237.16300837294668
2101,236.04100548810527
2102,235.66644092461854
2103,236.2577021851457
2104,235.9535240631317
2105,236.0148323759995
2106,235.81644318123074
2107,236.16346700415144
2108,235.60431450150796
2109,236.01231840467088
2110,236.06611542246355
2111,235.73279269742184
2112,235.5787705834297
2113,236.03458951401646
2114,235.94759221574162
2115,235.67818686539766
2116,236.3005312115112
2117,235.97610374044467
2118,235.79751389566718
2119,235.75882255168486
2120,235.62841909587797
2121,236.5566015027894
2122,235.8698490187336
2123,235.9338986397647
2124,236.24547907571295
2125,235.83326476397107
2126,235.96384092854544
2127,236.42532612285478
2128,235.87440026032442
2129,235.93670369105493
2130,236.06302292756294
2131,235.97873582635333
2132,235.63673382565239
2133,235.76239466001897
2134,236.03152924032065
2135,235.64793167861865
2136,235.83688637357326
2137,236.0525504324
2138,236.09759812363896
2139,235.51254565893498
2140,235.77065795199954
2141,236.31980411864586
2142,235.48830011747384
2143,235.844637506672
2144,235.87946709954025
2145,235.67350701012387
2146,236.03763594267178
2147,235.65181700132734
2148,235.7811820625274
2149,235.72156568403278
2150,235.7143860100596
2151,236.0083452340495
2152,235.2281425471335
2153,235.79053177644704
2154,236.38407919891483
2155,235.58349377203325
2156,235.77175823678783
2157,235.65607428539008
2158,236.1773008250306
2159,235.63806242756854
2160,235.705142602052
2161,236.0646001385357
2162,235.40866385881628
2163,235.8266631351086
2164,235.960101439536
2165,235.69559598158088
2166,235.60185683796226
2167,235.76171200610736
2168,235.87260682203214
2169,236.19983688832048
2170,235.71772308810523
2171,236.1482985211167
2172,235.41463865526902
2173,235.795431835622
2174,236.16887462812198
2175,235.86389065928765
2176,235.73220596163566
2177,236.3510422544371
2178,235.68145776060308
2179,235.94521551562204
2180,235.97536533143366
2181,235.88648644940574
2182,235.78112976198878
2183,235.90577326600624
2184,235.99401296901095
2185,236.32724747803877
2186,235.83234143784142
2187,236.13624101175574
2188,235.90769927273584
2189,235.86973280757806
2190,236.41615784149303
2191,236.1088484123226
2192,236.47935258582865
2193,235.5086609951873
2194,236.20402894052899
2195,236.1371622922344
2196,236.1676407483074
2197,236.28431358627174
2198,236.0398116724756
2199,236.27907803878196
2200,236.27724631658572
2201,236.00054486921988
2202,236.2017768740711
2203,236.06124829907068
2204,236.31796350687273
2205,236.10461291246403
2206,236.27053270105546
2207,236.2951202006581
2208,236.4264436374946
2209,235.91678850912993
2210,236.8690507268282
2211,236.22093975688796
2212,236.1093718635054
2213,236.70329692207832
2214,236.00830650699734
2215,236.48411616048475
2216,236.39501476374778
2217,236.07382358362304
2218,236.01489903228065
2219,236.07233556627799
2220,236.6265069576243
2221,236.43820467499063
2222,236.31616998147973
2223,236.51890833234552
2224,236.4231115108736
2225,235.83180638162338
2226,236.6534470581443
2227,236.85345671900564
2228,236.81109415747787
2229,236.56542857603037
2230,236.68887652905786
2231,236.37530886940723
2232,236.4853478525875
2233,236.8127657819943
2234,236.4981550599519
2235,236.39930308881162
2236,236.59990758340152
2237,236.9711517169942
2238,237.10729819077764
2239,236.84260203002927
2240,236.63045377656326
2241,236.69137246272845
2242,236.6193627816264
2243,236.71736350182667
2244,236.811846483505
2245,236.86345435890652
2246,236.82180438649883
2247,236.65527762951726
2248,236.67423569513986
2249,236.67427073951512
2250,236.78835535194472
2251,236.6021989863074
2252,237.17661353286456
2253,236.61282202329534
2254,236.844452947958
2255,237.25774721976586
2256,236.47817703194997
2257,237.1042985485249
2258,236.50792369878653
2259,236.99929629409445
2260,237.12526020434726
2261,237.12119022308156
2262,236.64398761647533
2263,237.08375322364415
2264,237.45316529731576
2265,237.16460677081898
2266,236.99236949952345
2267,236.75353383723584
2268,237.23720338431062
2269,236.94632467467326
2270,236.94587198354523
2271,237.21160318090577
2272,237.21693987933992
2273,236.84211513904884
2274,237.07751787601336
2275,237.58583644814644
2276,237.14384505334985
2277,237.204571295821
2278,237.30164816905025
2279,236.77218847022453
2280,237.38289919351442
2281,237.21646033507275
2282,236.99288318991756
2283,237.28152534960327
2284,236.90765004538034
2285,237.15811892869488
2286,237.04873121489538
2287,236.95177425302847
2288,237.27146611945864
2289,236.97736884497354
2290,237.3752903813407
2291,237.4233550776739
2292,237.0545533855238
2293,237.24466585532474
2294,237.43396762529244
2295,237.05682310019745
2296,237.18514583571923
2297,237.19892777324867
2298,237.26995560189644
2299,237.6663599829901
2300,236.99581132200765
2301,237.47044650413645
2302,237.30624676604728
2303,237.25144035315697
2304,237.43841289613007
2305,237.11042531343276
2306,237.22534158266066
2307,237.31735706259138
2308,237.24874169080164
2309,237.26075860456407
2310,237.63166878979405
2311,237.39754330773175
2312,237.30729180506333
2313,237.2131138650198
2314,237.22814709944257
2315,237.4333493407561
2316,237.35934884634426
2317,237.65294315163084
2318,236.98897008514018
2319,237.8718475901492
2320,237.57708020890942
2321,237.16844277331901
2322,237.44750517762571
2323,237.45465640418172
2324,237.19863605771027
2325,237.27992980176097
2326,237.7822351500619
2327,237.42017673737533
2328,237.87108109576124
2329,237.08868372114412
2330,237.61837213646442
2331,237.73941117360772
2332,237.22888855563542
2333,237.52492142252032
