year,rlut
1850,233.09270414291174
1851,234.78464096290426
1852,234.9880370738035
1853,235.1102960591577
1854,236.09133847576098
1855,236.30759797360375
1856,236.41455012833677
1857,236.59529497469694
1858,236.27406719796645
1859,236.7139641819474
1860,237.4390490854234
1861,236.95218416190454
1862,236.77280247651754
1863,237.51802071938442
1864,237.2494690487775
1865,237.3449427417206
1866,237.37451676111007
1867,237.55869634608848
1868,237.71466484082933
1869,237.4177905512308
1870,237.571441605881
1871,238.21579241495493
1872,237.68816153806952
1873,237.51163597539949
1874,237.90168952074302
1875,237.62635607588203
1876,237.41081930185146
1877,238.1650379448477
1878,237.74611452746535
1879,237.62418167582098
1880,237.70621377975112
1881,238.02460662067801
1882,238.1956712775101
1883,237.6400624901472
1884,238.33277494889066
1885,237.73814984023977
1886,237.51359753222155
1887,238.30670257777268
1888,237.9851799242786
1889,237.89883778778835
1890,238.36418931940827
1891,238.19166366716325
1892,237.32940340670402
1893,238.25329777780289
1894,238.52923583309232
1895,238.45224227597274
1896,238.17135178902583
1897,238.07130279408716
1898,238.51901804734985
1899,238.08536300823457
1900,238.14167834921602
1901,238.33196616059217
1902,237.9977917502552
1903,237.9432567378013
1904,238.92082188352614
1905,238.00403173563436
1906,238.0381700528854
1907,238.7103250408503
1908,238.02943687601368
1909,238.06937707965807
1910,238.58081445636395
1911,238.0688217529959
1912,237.7035885231078
1913,238.20862886763217
1914,238.47976224532925
1915,238.32915160123864
1916,238.2315279000531
1917,238.58974293559535
1918,238.31922711314766
1919,237.91830743705788
1920,238.9020587831092
1921,237.98490629883068
1922,238.47064152186118
1923,238.49046807169142
1924,238.23474141837698
1925,238.3856362740939
1926,238.5253201471281
1927,238.48278025758728
1928,238.11134224161702
1929,239.17893827202735
1930,238.35473043339732
1931,238.901315280133
1932,238.45957545966536
1933,238.53029353452175
1934,238.02604202759295
1935,238.92394855857208
1936,238.61949171705612
1937,238.1743625254072
1938,239.14483617634014
1939,238.6021817110403
1940,238.36204797121835
1941,239.1360240848993
1942,238.39868635712892
1943,238.31096588365497
1944,239.02497107768247
1945,238.52447722554365
1946,238.4702321614366
1947,238.47621439215737
1948,238.9023509688461
1949,238.53920965254613
1950,238.51726729819825
1951,239.21032932909716
1952,238.74555047658606
1953,238.42502721684016
1954,239.38078200497284
1955,238.41623947581448
1956,239.33283859625328
1957,238.8272550542453
1958,238.71176405463746
1959,238.95964376129828
1960,238.9993314534466
1961,238.835107231164
1962,238.7380723758057
1963,238.79779090588397
1964,238.61508013455716
1965,238.59642727523226
1966,239.259735008942
1967,238.9587708090745
1968,239.13480708031398
1969,238.9020594628952
1970,238.89307571557256
1971,238.94854399013246
1972,238.8463770885099
1973,238.6213381539402
1974,239.11742610563985
1975,238.82737348725368
1976,238.66761647689282
1977,239.2551039283337
1978,239.0591061472632
1979,238.7181441097901
1980,239.40781649291887
1981,238.80167731075903
1982,238.8482436646803
1983,239.15799234883656
1984,238.83680463765785
1985,238.57778572163795
1986,239.22498125410743
1987,238.91436626836673
1988,238.40837473849595
1989,239.48342201247863
1990,239.0876230662812
1991,238.36409260429167
1992,239.4470189104216
1993,239.17571943567356
1994,238.90894863385148
1995,239.21975016802256
1996,238.87448894401706
1997,239.15994331448277
1998,239.34819447051402
1999,238.89820662497476
2000,239.47878186644454
