year,rlut
1850,239.63722558900002
1851,239.37102662025643
1852,239.95186808925342
1853,239.36056285968314
1854,239.4794942864588
1855,239.42218236065906
1856,239.5515489810901
1857,239.42040746302519
1858,239.47153665394023
1859,239.34599692638045
1860,239.84280152775438
1861,239.61741016101817
1862,239.02172883286298
1863,239.4882821167416
1864,239.46162817723874
1865,239.43931195176557
1866,239.13783915253316
1867,239.7995533038061
1868,239.40371411524015
1869,239.54200689491404
1870,239.37605863418872
1871,239.91786391120857
1872,239.51418087276383
1873,239.20401803901566
1874,239.10669642186343
1875,239.39311033725238
1876,239.60952015346464
1877,239.80222163847094
1878,239.40750504825243
1879,239.50328659064584
1880,238.99919101540272
1881,239.20054661780873
1882,239.59171825882362
1883,239.1906248967586
1884,238.37921735424172
1885,238.96385853484387
1886,239.3398789315638
1887,239.48608808049124
1888,239.4629295290823
1889,239.42709120841278
1890,239.303373814966
1891,239.29498103190735
1892,239.59581943456223
1893,239.72318671621758
1894,239.79201024810112
1895,239.20446473623355
1896,239.60043043836666
1897,239.57875659421956
1898,239.4831832647926
1899,239.34460059475137
1900,239.42583210736086
1901,239.70582605840724
1902,238.95440025070693
1903,238.93579488489792
1904,239.04266206730597
1905,239.48023246137663
1906,239.4609145208858
1907,238.94683841657937
1908,239.1693939243419
1909,239.47773645710677
1910,239.39157276857648
1911,239.1213643589631
1912,238.6546280485771
1913,239.14164530241226
1914,239.0120631399733
1915,239.01886590926227
1916,239.96078668523023
1917,239.46514695815105
1918,238.793337232164
1919,239.41672864574815
1920,239.1427220772134
1921,238.90079661909505
1922,239.1320790749495
1923,239.2879701403609
1924,239.32705558519163
1925,238.7521608272599
1926,238.6672416800257
1927,239.26123173806104
1928,239.31115883360775
1929,238.86923033735053
1930,239.0288335578154
1931,238.74006002984044
1932,239.1977305555298
1933,239.03538721057052
1934,238.87428173904974
1935,239.07921120733448
1936,238.84707474454092
1937,238.9217484299037
1938,239.11658291378544
1939,239.35417613823043
1940,239.12448237878039
1941,238.90391670315182
1942,238.91149740263666
1943,239.0346339454089
1944,239.31173726428656
1945,239.04830046242535
1946,239.21079760075
1947,238.97466823207213
1948,239.09969986420666
1949,238.93680774113307
1950,238.8830992986576
1951,239.1227431020933
1952,238.8233448362607
1953,238.6133939899928
1954,238.77370287511596
1955,238.88656317394532
1956,238.61921646002506
1957,238.88329757687177
1958,238.89071152717472
1959,238.81951138576767
1960,238.69713155394743
1961,238.92872355447804
1962,238.83799083024417
1963,238.05816884786472
1964,237.93465750528154
1965,238.13578731762664
1966,238.46256117830873
1967,238.46078288552815
1968,238.50479672316087
1969,238.61871661864137
1970,238.19499397611304
1971,238.6078505373028
1972,238.37172563056404
1973,237.90255556624987
1974,237.67729277801487
1975,238.13457390667926
1976,237.96298680278005
1977,238.24096638881772
1978,237.75531698313384
1979,237.90886605441912
1980,237.9473463561548
1981,237.7366737974826
1982,237.86750858442224
1983,237.40489965268492
1984,237.6068194795183
1985,237.78351614054344
1986,237.92255695391805
1987,237.921243910964
1988,237.307554061036
1989,237.85458466942677
1990,238.19444709723638
1991,237.2714521381978
1992,236.41656994106185
1993,236.83579108350426
1994,237.50122233050877
1995,237.79766982963451
1996,237.24457739683166
1997,237.82127785885737
1998,237.57329331691759
1999,237.7939534181774
2000,237.8081030246646
2001,237.94752376814975
2002,237.82688090654176
2003,238.0810251164989
2004,237.58080738813143
2005,237.796096056653
2006,237.96356543570573
2007,237.97022256100902
2008,237.5984374929915
2009,238.0586675746679
2010,237.8002358410669
2011,237.7113471790535
2012,237.70153490332126
2013,237.60089512113328
2014,238.07565879563285
