year,rlut
2015,237.1030318160911
2016,236.94875147131776
2017,237.2255112658478
2018,237.1128181054506
2019,237.64344943404706
2020,236.9676076388369
2021,237.1198934234543
2022,237.49976819898535
2023,237.68772863878476
2024,237.66444514076557
2025,237.33925806643578
2026,237.51830279140455
2027,237.88549860116393
2028,237.81354580109388
2029,237.61014625486456
2030,237.77469010581376
2031,237.98799370256688
2032,238.74427237244845
2033,238.235077518624
2034,238.02952218543552
2035,238.76195636477811
2036,238.14651748676616
2037,238.137254474604
2038,238.66269322841532
2039,238.533748326106
2040,238.60929127526757
2041,238.45221573236793
2042,238.78711317089832
2043,238.36436026675327
2044,238.60838525535945
2045,238.52467287745807
2046,238.2961251041543
2047,238.75194383590778
2048,238.95020240404654
2049,238.40009344927677
2050,238.56245747060098
2051,238.50407344762118
2052,238.70990260807991
2053,238.4170243527613
2054,238.94453468668848
2055,238.9188061608534
2056,238.3960427718491
2057,238.64731468675936
2058,238.7379503194971
2059,239.12201894391018
2060,238.92215766392212
2061,238.6795701551232
2062,239.44003198375324
2063,239.0012096675144
2064,238.7142426459404
2065,238.80979317123837
2066,239.02368208099458
2067,239.20032100025477
2068,239.6783052606334
2069,238.81918570229936
2070,238.7616906469022
2071,239.40444656058068
2072,239.23679497330394
2073,238.91171235438904
2074,239.06803660837568
2075,239.24410983921229
2076,238.86932622776968
2077,238.93147946121513
2078,239.12873390328483
2079,239.72254894647506
2080,239.39104256640545
2081,238.98864958474945
2082,239.05590302281206
2083,239.8998731142919
2084,239.53261011141552
2085,239.178627236215
2086,239.4755798700609
2087,239.58590610292725
2088,239.0512706015668
2089,239.3353647755925
2090,239.5288172804248
2091,239.27902092127718
2092,239.5970194806315
2093,239.4342963128678
2094,239.60402860307224
2095,239.25253758633352
2096,239.99141681937644
2097,239.33186005114132
2098,239.63868273486315
2099,239.54502632701798
2100,239.3283256252408
