year,rlut
1850,233.78280384592267
1851,233.81060448082553
1852,233.50522945881306
1853,233.35696991888017
1854,233.45079868215615
1855,233.575360700578
1856,233.61271471118772
1857,233.60015513048901
1858,233.71315990499434
1859,233.59034608926947
1860,233.4299076095914
1861,233.69149067111596
1862,233.5229535981131
1863,233.5665293417592
1864,233.5730464548548
1865,233.3513278166054
1866,233.40395546932058
1867,233.49735120997826
1868,233.41697952062577
1869,233.74714366802988
1870,233.20230536799127
1871,233.58372490283494
1872,233.25123187292778
1873,233.09156923162774
1874,233.2887725607052
1875,233.31777586243606
1876,233.63086675571225
1877,233.32694518470333
1878,233.44969349387378
1879,233.37932040320445
1880,233.225464969849
1881,233.18866692860735
1882,233.24123068323806
1883,233.55651248195372
1884,233.56676659954633
1885,233.46710386898707
1886,233.8872654831145
1887,233.35256699464816
1888,233.54213677073494
1889,233.45468069003488
1890,233.0451021635019
1891,232.35373108530788
1892,232.95354307483834
1893,232.72870112627274
1894,232.8153030095238
1895,233.0457961449724
1896,232.31237607871523
1897,232.87961193332143
1898,232.48115151952513
1899,233.11697999092203
1900,232.94895742674692
1901,232.525381760487
1902,232.59058749656265
1903,232.19526958483863
1904,232.39405508740225
1905,232.33910372986213
1906,233.02003791868088
1907,232.37733978061016
1908,232.71015577263455
1909,232.2824392007716
1910,232.41086467765382
1911,233.0338370580343
1912,232.18811989468998
1913,232.80631675785827
1914,232.45479501933707
1915,232.83865085460096
1916,232.23406735838725
1917,232.35066606345916
1918,232.19986188325882
1919,232.68275713529493
1920,232.22149649473337
1921,232.91874675071952
1922,233.2292962477507
1923,232.43424794585957
1924,233.15480753797812
1925,232.83599761368657
1926,232.48689930273696
1927,233.1745971771749
1928,232.99971655659343
1929,233.46360680418377
1930,233.54022835980575
1931,233.4397383320904
1932,233.56819811232805
1933,233.08765833546656
1934,233.52167181013508
1935,233.0302992077394
1936,232.98193246125516
1937,233.49346951974823
1938,233.2235410437437
1939,232.95468271835645
1940,233.4151415936081
1941,233.2622741796205
1942,233.5139360681529
1943,233.09868549065365
1944,233.8813168562075
1945,233.3483496187536
1946,233.7113644017472
1947,233.18700170821663
1948,233.84778987885727
1949,233.17827639637179
1950,233.59405209979965
1951,233.27636526401201
1952,233.20528209775097
1953,233.42476464636542
1954,233.0020367919719
1955,233.1917464573147
1956,233.31888646203024
1957,233.38950270322513
1958,232.65774625206143
1959,233.39436930937572
1960,233.10210341996384
1961,233.33385722230804
1962,233.34469295413842
1963,233.00937776735444
1964,233.18514514410438
1965,232.73898906052295
1966,233.29353156636216
1967,233.05278827722523
1968,233.15678837243166
1969,233.2072289654669
1970,233.58106204797895
1971,233.4931874157115
1972,233.32747476953648
1973,233.58375849040542
1974,233.3347891849601
1975,233.52744271543364
1976,233.3908385103723
1977,233.56309149420366
1978,233.53463992202012
1979,232.9027981342561
1980,233.58246508830484
1981,233.18559365716698
1982,233.53907581182145
1983,232.95041118390776
1984,233.63511376648427
1985,233.10075223558232
1986,233.67679832962227
1987,233.30418519407806
1988,233.57480471925172
1989,233.29948653102716
1990,233.3847654213222
