year,rlut
2015,233.653211021861
2016,233.6419644354505
2017,233.5929115389138
2018,233.58535935408938
2019,233.5734725982598
2020,233.2803988689694
2021,233.17426783162384
2022,233.65815924275944
2023,233.76833883003405
2024,233.81392027345993
2025,233.65281599266706
2026,233.71222937674645
2027,233.73275240770647
2028,233.65797081515132
2029,233.5152820848472
2030,233.6784884255212
2031,233.999728001512
2032,233.56231345693638
2033,233.67133941941833
2034,233.5316125079303
2035,233.64037058084648
2036,233.49023610540698
2037,234.0354660272271
2038,233.56023139597994
2039,234.09552983811767
2040,233.83874447757023
2041,233.586978189564
2042,233.7457003777036
2043,233.8188452249599
2044,233.77859988453582
2045,233.65705614401665
2046,233.9254513092824
2047,233.9873932952944
2048,233.79316683720452
2049,233.71769588493964
2050,233.30818290113166
2051,234.0695071060557
2052,234.0777449501744
2053,234.07358532149152
2054,233.47514897546446
2055,234.0764887078539
2056,233.5719789245816
2057,233.94327409224132
2058,233.58771364601503
2059,233.87689804676396
2060,233.39238617248725
2061,233.74495847426292
2062,233.72089225630708
2063,233.71534068084
2064,233.5961008355216
2065,233.9326247165477
2066,233.2249556147465
2067,233.73172704106318
2068,233.88330982560237
2069,233.5788724393713
2070,233.76629190261957
2071,234.08725610574626
2072,233.78661687793007
2073,233.9106847635015
2074,233.8155788310329
2075,233.85816463586494
2076,233.93529959962083
2077,233.6693764562306
2078,233.80034810208696
2079,234.00271775181895
2080,233.8750737028386
2081,233.87151098570098
2082,233.60017979118737
2083,233.6753847305062
2084,233.90547378990925
2085,233.88556483497356
2086,233.61972008591266
2087,233.41370995341038
2088,233.57107011213787
2089,234.0534140787238
2090,233.72247847846927
2091,233.108596405443
2092,233.59566843816873
2093,233.71725258648215
2094,233.68178074235604
2095,233.75184605159643
2096,233.34678067275863
2097,233.83507442298418
2098,233.33998169988922
