year,rlut
1850,235.2580622842867
1851,236.38656549323093
1852,237.00820120197452
1853,237.2989311322774
1854,237.67901899781947
1855,238.0063762089978
1856,238.09603940362805
1857,238.45052490234377
1858,238.4349187145494
1859,238.73999366237692
1860,238.73276078733682
1861,238.69841049403362
1862,239.0637437794306
1863,239.13898052058806
1864,239.2955869491786
1865,239.3121233378371
1866,239.3842141347389
1867,239.40886134317475
1868,239.67800585603058
1869,239.3472958081389
1870,239.31343918891804
1871,239.431306478422
1872,239.52735336512737
1873,239.7581928827991
1874,239.53409214803617
1875,239.62399179118955
1876,240.02306623066943
1877,239.65348456395816
1878,239.72053623983305
1879,240.0267111582299
1880,240.0578063128746
1881,239.96069361020434
1882,239.66849260722122
1883,239.5607942764073
1884,239.98133703780496
1885,239.8804386922758
1886,239.9554533657962
1887,239.97016334011127
1888,239.6915421577349
1889,240.0884169905153
1890,240.4036359813115
1891,240.0780464067851
1892,239.9108997501739
1893,239.89453141721958
1894,240.1250418049015
1895,239.89978779831978
1896,239.8349576349128
1897,239.6262704509578
1898,240.20348142859052
1899,239.83319940436374
1900,239.92520935894692
1901,239.85599001531733
1902,239.83124870404805
1903,239.84299659206442
1904,239.96462197499733
1905,239.99711383140252
1906,240.25768420075715
1907,240.21214210823788
1908,239.93172427660798
1909,240.0840531858679
1910,240.14915955425943
1911,240.56944726395284
1912,240.36555276113012
1913,240.34417072452914
1914,240.11335904892178
1915,239.95145422530504
1916,240.0812916376819
1917,240.3003882839255
1918,240.29159173834813
1919,240.1421443573416
1920,240.16389164336738
1921,240.18550552995237
1922,239.9211669085777
1923,240.17826613334762
1924,240.21284585195045
1925,240.31272127334387
1926,240.26095539249783
1927,240.13519700977898
1928,240.40721009136877
1929,240.53310379655392
1930,240.55773833810468
1931,240.1798081071409
1932,240.3240975993953
1933,240.30824292326628
1934,240.47827307296126
1935,240.33786269932577
1936,240.5495541925299
1937,240.81233758795747
1938,240.39523010253907
1939,240.3239965569483
1940,240.44705283805112
1941,240.73983171018835
1942,240.27311576947776
1943,240.3767421774668
1944,240.40719654658068
1945,240.55942278300247
1946,240.63680996829515
1947,240.46203855749678
1948,240.1772542457058
1949,240.26661920416845
1950,240.09729125140464
1951,240.54777698255563
1952,240.28304363930062
1953,240.3793413554153
1954,240.53337611368252
1955,240.36673926784567
1956,240.17137363381582
1957,240.14950072406089
1958,240.4480170681052
1959,240.53209650745129
1960,240.57825350826735
1961,240.67131347656246
1962,240.45238087275254
1963,240.31682822867617
1964,240.88064838566189
1965,240.531805796166
1966,240.8964896006127
1967,240.59391692697184
1968,240.77731511364243
1969,240.8107946526514
1970,240.73776504307577
1971,240.76825770547947
1972,240.98415251431402
1973,241.0289462990957
1974,240.73691602733035
1975,240.92306142310574
1976,240.89675782086098
1977,240.89429137347489
1978,240.72552506956336
1979,240.75865265310628
1980,240.58228667794845
1981,240.68454731980415
1982,240.9094105341663
1983,240.94300549650848
1984,240.66177664978864
1985,240.71470587743468
1986,240.8164449613388
1987,240.58070808306127
1988,240.67011881789114
1989,240.67790523163256
1990,240.84204364933376
1991,240.48374157213186
1992,240.41963028581173
1993,240.61157648792002
1994,240.93031561864566
1995,241.06219892109908
1996,240.83027281042646
1997,240.83134615127358
1998,240.85613553817956
1999,240.4406439794253
