year,rlut
1850,237.92600034948896
1851,237.9809490047089
1852,238.25223150383934
1853,238.17748446529862
1854,237.76539365167488
1855,237.8971219833583
1856,237.94074301523705
1857,237.73068408704785
1858,237.77464591248395
1859,237.90156734936855
1860,238.04743125601993
1861,237.84223674617405
1862,237.6875211114753
1863,238.03948121789384
1864,238.29484829837327
1865,238.27303487699322
1866,238.10788089281888
1867,237.95229684490047
1868,238.05032716515944
1869,238.12434537704675
1870,238.03564486568922
1871,238.1318993137307
1872,238.44081609020492
1873,238.05385666938676
1874,237.8480169426905
1875,238.48157912998983
1876,238.18645479385165
1877,238.04676170871687
1878,238.40268199345837
1879,238.27614219351986
1880,237.89941870284406
1881,238.42416085021136
1882,238.3569927894906
1883,238.08313790935358
1884,238.150846632866
1885,238.04335582158336
1886,237.96829056413208
1887,237.98544859167646
1888,238.07812123755883
1889,238.35685382999785
1890,238.2867919921875
1891,237.91505018260378
1892,238.10263500474903
1893,238.3283800517043
1894,237.98954601549121
1895,238.04580638310676
1896,238.01300278755085
1897,237.94574426102312
1898,237.8867351793263
1899,238.18688801804632
1900,238.16064152129704
1901,238.14700467880456
1902,238.14492969251654
1903,238.0178691707245
1904,238.17903400577907
1905,238.1924698085001
1906,238.28119402323685
1907,238.5651254314266
1908,238.49486794667703
1909,238.57357825710352
1910,238.5707572205426
1911,238.34188470709813
1912,238.81171189399612
1913,238.7905632123555
1914,238.59099279952378
1915,238.69353913607662
1916,238.99669026414008
1917,238.64542842499196
1918,238.77803720970678
1919,238.5537829255404
1920,238.68994090459114
1921,238.72508866819615
1922,238.57222336024455
1923,238.8794546885033
1924,238.87084697566618
1925,238.78607127568495
1926,239.07930711720084
1927,238.97168558199112
1928,238.79385171132546
1929,238.91469279250055
1930,239.11198906049333
1931,239.04896654102902
1932,238.82512006367722
1933,239.12436640491222
1934,239.17289470515843
1935,239.48349776594603
1936,239.46527103789862
1937,239.33948163594286
1938,239.47309825322395
1939,239.42313295129227
1940,239.20024422423478
1941,239.24664315001607
1942,239.3253858174363
1943,239.59756185453236
1944,239.5165571238897
1945,239.58021202609962
1946,239.36331536279965
1947,239.40992394016212
1948,239.695885687005
1949,239.59851291604238
1950,239.71470729880133
1951,239.3474069255672
1952,239.50176266186855
1953,239.82342759223835
1954,239.71902495083742
1955,239.64732118371413
1956,239.66085940844394
1957,239.63309928162457
1958,239.61137114224366
1959,239.79662429600543
1960,239.48386163580903
1961,239.71260083342253
1962,239.7810060265946
1963,239.9574390150096
1964,239.98439912142814
1965,240.49613016206925
1966,240.17486497016802
1967,239.97773993505186
1968,240.64340247585352
1969,240.3005450105014
1970,240.03757825877568
1971,240.12080462730097
1972,240.25500375408015
1973,240.23933899761877
1974,240.0060769277076
1975,240.26732357495453
1976,241.06978621809452
1977,240.39261081643303
1978,240.16866266956066
1979,240.6773032828553
1980,240.93741187526751
1981,240.84931214215004
1982,240.52584128183858
1983,240.86055657373717
1984,240.7693182958315
1985,240.9103603415293
1986,240.8789059991706
1987,241.0271882357663
1988,241.10426869849636
1989,241.4662738120719
1990,241.34737134959602
1991,241.60336934964948
1992,241.26887629260756
1993,241.27964908129547
1994,242.0870128892872
1995,241.6745581639956
1996,241.57510254742348
1997,241.68778795216178
1998,241.91810641354076
1999,242.08872977478862
