year,rlut
1850,234.0765001270869
1851,235.5959530347014
1852,236.25996352940388
1853,236.85862861528787
1854,237.25822553242725
1855,237.6722305506876
1856,237.72281059369652
1857,238.01576638417703
1858,238.4050995291096
1859,238.46021515310628
1860,238.59128438871198
1861,238.86600906163045
1862,239.25426359829834
1863,239.1434656430597
1864,239.40569441285857
1865,239.89675435105414
1866,239.73440346913796
1867,239.65911718917218
1868,239.85114959298747
1869,240.40537009043234
1870,240.39743853007278
1871,240.3416041962088
1872,240.59431846305114
1873,240.59653441546718
1874,240.59631920383404
1875,240.42157868685788
1876,240.58961164918662
1877,240.93217129642017
1878,241.0533228207941
1879,241.52505526607987
1880,241.37920072372646
1881,241.27576080740312
1882,241.26451395113173
1883,241.30326232910159
1884,241.11542132651974
1885,241.05262120913153
1886,241.33925279591182
1887,241.33886944496467
1888,241.41475733926848
1889,241.40797102418662
1890,241.7066539189587
1891,241.98705891648385
1892,241.42298968589472
1893,241.65523443352683
1894,241.788707534581
1895,241.57302162483947
1896,241.60726113515358
1897,242.07390078191887
1898,241.95142333148277
1899,241.82590323670266
1900,241.72383686222435
1901,241.79931151507654
1902,241.49728326666843
1903,241.4400878070152
1904,241.44383273190016
1905,242.33575205345673
1906,242.02155352030712
1907,241.86254540012305
1908,241.88550172570632
1909,242.19571353442046
1910,242.06459062132117
1911,242.4268425510354
1912,242.21431571228862
1913,242.01705021270334
1914,242.41129455566403
1915,242.5104899367241
1916,242.1724342659728
1917,242.02305055383135
1918,242.25484255437976
1919,242.40148390678505
1920,242.82803624819402
1921,242.37892347361944
1922,242.0878295898437
1923,242.11481553169148
1924,243.0882467191513
1925,242.6682707486087
1926,242.22245688242455
1927,242.3432424048855
1928,242.81378800901646
1929,242.76989353127675
1930,242.38808209144904
1931,242.03571785704733
1932,242.7094456084787
1933,243.0170042691165
1934,242.55220224040826
1935,242.8039966321971
1936,242.43028844545964
1937,242.90541022313786
1938,242.80943645320522
1939,242.37550575569884
1940,242.51909188048478
1941,242.74992525283605
1942,242.88239336405712
1943,242.93619004341022
1944,242.89996856271404
1945,242.64390743725917
1946,242.75111568921236
1947,242.86625061035156
1948,243.2033762474582
1949,243.11386664403628
1950,242.579167363415
1951,242.8092018859027
1952,243.0718288055838
1953,243.02863180082136
1954,242.71049503692208
1955,242.9617130645334
1956,243.64111992822933
1957,243.27888275564533
1958,242.84832190944726
1959,242.77185184008454
1960,243.0243004367776
1961,243.38448891835668
1962,243.26095823523116
1963,242.91799119923215
