year,rlut
1850,237.72772333850597
1851,237.8805744327911
1852,238.1040691637013
1853,238.25907759993044
1854,238.1076798530474
1855,238.2817330138324
1856,238.0843852840058
1857,238.15034656263379
1858,238.2707923366599
1859,238.30993506026593
1860,238.14029582820524
1861,238.31742018608202
1862,237.9128357351643
1863,237.72883635220455
1864,237.9486487819724
1865,238.2108960713426
1866,238.43572362612372
1867,238.29156163881902
1868,238.1478158193092
1869,237.87833118177437
1870,238.08910902885543
1871,238.32670413500642
1872,238.45126229900202
1873,238.4840704930972
1874,238.2440298838158
1875,238.04861847341877
1876,238.255119720877
1877,238.27852118505191
1878,238.21542542340006
1879,237.97519823884312
1880,237.82442279972446
1881,237.86663897788682
1882,237.64675234441887
1883,237.3905722422142
1884,237.15311212409034
1885,237.3395020785397
1886,237.5242863067209
1887,237.57767267096534
1888,237.56146273678297
1889,237.55597187199007
1890,237.82260545704466
1891,237.6556068733947
1892,237.9058624685627
1893,237.74436223278306
1894,237.73787988114032
1895,238.20615811282636
1896,237.93856932757652
1897,237.85029932309507
1898,237.7699496752595
1899,237.9252582706817
1900,238.12810727472174
1901,238.08731961184984
1902,237.782973407066
1903,237.79808596258295
1904,237.77850279089523
1905,237.6360161350198
1906,237.6380883203794
1907,237.62982967847014
1908,237.769320218857
1909,238.01265994555328
1910,237.9151277306962
1911,237.91161139501284
1912,237.69349365234376
1913,237.44908631207193
1914,237.5055190831015
1915,237.6635513514688
1916,238.11437704007923
1917,237.96435220796764
1918,237.68405535972278
1919,237.82363080586472
1920,237.73439331054686
1921,237.90841411433811
1922,237.60527126364514
1923,237.43813806821223
1924,237.75592500869536
1925,237.77894717699866
1926,237.69419225405338
1927,237.83138072392708
1928,237.76521430864724
1929,237.6526632648625
1930,237.57062503344395
1931,237.72705379120293
1932,237.6351100973887
1933,237.88951884230522
1934,237.92171664303294
1935,237.8632430821249
1936,237.98327812299337
1937,237.93595012508024
1938,238.25165121000106
1939,237.91923518768726
1940,237.9603438285932
1941,237.78342435653892
1942,238.15303921634202
1943,238.26267608224532
1944,238.16751734067313
1945,238.07430984288047
1946,238.12318604351725
1947,238.1584555848004
1948,238.23829282995771
1949,238.3275313703981
1950,238.07378159614458
1951,238.20927471004117
1952,238.30761885969605
1953,238.45087965873824
1954,238.14799257043288
1955,237.9424213984241
1956,238.40082159173
1957,238.63723658731539
1958,238.49914801610657
1959,238.09256060874623
1960,238.30440197252247
1961,238.06470416343376
1962,238.20448023129813
1963,238.1730799426771
1964,237.68239917493844
1965,237.9466416450396
1966,238.08160270795432
1967,238.0474833449272
1968,237.85095306814534
1969,238.00003770802115
1970,237.82378251585243
1971,237.7879534159621
1972,237.86904480816565
1973,237.97988059684022
1974,237.7392142517926
1975,237.6749602435386
1976,237.6695553714282
1977,237.73114849769908
1978,237.62563225733086
1979,237.69937635447883
1980,237.82956028768464
1981,237.6454372876311
1982,237.21525644798803
1983,236.86848019116545
1984,237.3588440777504
1985,237.26256709686692
1986,237.41511017263753
1987,237.619073528133
1988,237.90617705044684
1989,238.14654219117884
1990,237.78454192697185
1991,237.09735997866278
1992,236.9252707285424
1993,237.12519957659995
1994,237.37711507718856
1995,237.5735863672544
1996,237.57583145768672
1997,237.5884323747191
1998,237.51918832439262
1999,237.57270361495344
2000,237.57186726609325
2001,237.74997876311002
2002,237.38788243123926
2003,237.60485175145814
2004,237.68778548567263
2005,237.7159867796179
2006,237.57776188262517
2007,237.56557851294951
2008,237.4706549657534
2009,237.81447862598992
2010,238.15939427205961
2011,237.88582341442367
2012,237.96303171654267
2013,237.866559548574
2014,237.9838511009739
