year,rlut
1850,239.37938061021777
1851,239.19742477626016
1852,239.28151880551692
1853,239.19842035999037
1854,239.21296487050515
1855,239.19101311670593
1856,239.06200829074803
1857,239.5736871170671
1858,239.41687199840806
1859,239.3358507966342
1860,239.50278265966125
1861,239.64683306968374
1862,239.24632957144956
1863,239.26828922637523
1864,239.47135176985233
1865,239.1284586449192
1866,239.11116905734966
1867,239.29897059610448
1868,239.46293481278093
1869,239.45783578533016
1870,239.3459899484295
1871,239.7104167781464
1872,239.58437153019312
1873,239.4236951436082
1874,239.30224371087064
1875,239.44949687800994
1876,239.30685529316938
1877,239.54731407688087
1878,239.3956461031143
1879,239.32117865575503
1880,239.01263093295165
1881,239.22408305128957
1882,239.37184005110228
1883,239.27233807289437
1884,239.415028444055
1885,239.59405860378314
1886,239.5656546396752
1887,239.57375931413202
1888,239.6489710141535
1889,239.72072093388806
1890,239.54553557095463
1891,239.64634286540831
1892,240.00983117508568
1893,239.6655089495933
1894,239.6250979488843
1895,239.69946828345726
1896,239.692345856967
1897,239.68788268206873
1898,239.75527883033226
1899,240.01125634598407
1900,239.9494033186403
1901,239.63609025511025
1902,239.82907359502087
1903,239.92602401106322
1904,239.93314999097012
1905,239.78179789503957
1906,240.03491144049656
1907,239.99400087121415
1908,240.303713487599
1909,240.33944965519316
1910,239.97522340539382
1911,240.32405922249572
1912,240.12529472455583
1913,240.1080951429393
1914,240.15045910142868
1915,240.14338914008988
1916,240.5579457740261
1917,240.46168346666306
1918,240.38572947880988
1919,240.5283667995505
1920,240.4771674587302
1921,240.64721315984852
1922,240.3186358308139
1923,240.41169722047567
1924,240.7284213967519
1925,240.87774403193225
1926,240.89651142277128
1927,241.0682021049604
1928,240.9070148206737
1929,240.69015557276057
1930,240.75806675741114
1931,240.63882830894158
1932,240.88591793530605
1933,241.1632573794012
1934,241.16311377956444
1935,240.73287692135327
1936,240.74001343609538
1937,240.85011605040665
1938,240.88613013698628
1939,240.85949502187233
1940,241.0709361037163
1941,241.17990802085563
1942,241.28002515818974
1943,241.2321723833476
1944,241.11956979411923
1945,241.3163740184209
1946,241.36525126418022
1947,241.4044519293798
1948,241.61909597736513
1949,241.20053021156627
1950,241.25741974295002
1951,240.9931622230843
1952,241.36317142852363
1953,241.54219765859105
1954,241.8281500829409
1955,241.70135046553938
1956,241.51671004621952
1957,241.69907050981914
1958,241.92386273945843
1959,241.88652498428138
1960,241.94448802373182
1961,242.01616340532695
1962,241.89990664965484
1963,242.23250005016587
1964,242.08292165259792
1965,241.85599344331922
1966,242.26211263578227
1967,242.5561734552253
1968,242.49705823088345
1969,242.28012971224848
1970,242.47208929192527
1971,242.4529693185467
1972,242.1543684449914
1973,242.44863732742937
1974,242.55689153801904
1975,242.85982594947296
1976,242.84734162631102
1977,242.4291260601723
1978,242.35975028260114
1979,243.08044421052278
1980,242.84967964903953
1981,242.82417192851028
1982,242.97251248294359
1983,243.29186409728163
1984,243.24909751578554
1985,243.03363074733784
1986,243.08932549463557
1987,243.02123964910638
1988,243.4784353177841
1989,243.52745323703715
1990,243.52915954589844
1991,243.55758788226404
1992,243.54586850519047
1993,243.4042922764608
1994,243.45469640444404
1995,243.60272526153145
1996,243.4741620207486
1997,243.76968956516214
1998,243.95044768869062
1999,243.6971061811055
