year,rlut
1850,239.23680917400205
1851,239.13323635989673
1852,239.29947877648758
1853,239.47775590452432
1854,239.5894774972576
1855,239.53261936135488
1856,239.53672125829405
1857,239.29410513263855
1858,239.56966130504873
1859,239.54584020327215
1860,239.11682609662614
1861,239.28479589174876
1862,239.201622364619
1863,239.64338759330855
1864,239.69579329817262
1865,239.77780389655123
1866,239.3913146136558
1867,239.5424239485231
1868,239.5849038738094
1869,239.45683497598725
1870,239.24023245197452
1871,239.2383517748689
1872,239.06045089094602
1873,239.19509996388055
1874,239.33894134939533
1875,239.60651211673266
1876,239.41544578238708
1877,239.25855946998072
1878,239.3862145828874
1879,239.2402105044012
1880,239.41013919360014
1881,239.8496449509712
1882,239.1971596077697
1883,239.26310337014394
1884,238.91670126719018
1885,239.08127754943013
1886,239.43647381508185
1887,239.11411329295538
1888,239.5164873933139
1889,239.0675164627702
1890,238.73214592084494
1891,238.86387195325878
1892,238.9807754307577
1893,239.08412655347013
1894,238.96123251719013
1895,239.10324895153306
1896,239.32711077128366
1897,238.9331498237505
1898,239.04154249217413
1899,239.3999731612532
1900,238.99189620344603
1901,238.83767574780612
1902,238.96200051503638
1903,239.10395946763964
1904,239.24267770427548
1905,239.20373025136448
1906,239.1460643193493
1907,239.10228129347712
1908,239.4454131662029
1909,238.93843262554844
1910,238.83794380083478
1911,239.18862869053672
1912,239.24022087201683
1913,239.24798730301532
1914,239.15810935660588
1915,239.19058892236995
1916,239.16312226595946
1917,238.84313672209436
1918,238.87837909019157
1919,238.99492271109804
1920,239.09935821115153
1921,239.0328962352178
1922,239.2846631611863
1923,239.10684421487048
1924,239.0211870585402
1925,238.79889279718265
1926,238.85691883661974
1927,239.08192025798644
1928,239.2215388885916
1929,239.01344015043077
1930,239.11706915032374
1931,239.19890600753155
1932,239.2019099823416
1933,239.35447074158552
1934,239.02482007170374
1935,238.93070181232608
1936,238.7870757220543
1937,239.04298170951944
1938,238.69515071503105
1939,238.826359119154
1940,238.86670569850975
1941,238.97078351582567
1942,238.94339892243684
1943,238.5834296239566
1944,238.70779519277073
1945,238.68272897380666
1946,238.8071237224422
1947,238.89572218803505
1948,238.84310892183487
1949,238.86069908664652
1950,238.74471393741976
1951,239.14241036193013
1952,238.84958583884043
1953,239.13177594746628
1954,239.29859368311216
1955,238.9995314506635
1956,238.95319677901594
1957,238.99014365836362
1958,239.12532737418394
1959,239.36169412691302
1960,239.16660795864993
1961,238.87958357301474
1962,238.9335040366813
1963,238.9742684978328
1964,239.26610872451573
1965,239.28281425580582
1966,239.41922532173052
1967,239.11018647494382
1968,239.05767930958365
1969,239.06955048025472
1970,239.1228443720569
1971,239.2717475368552
1972,239.41498588666525
1973,239.14353044065714
1974,238.83631010708743
1975,239.16957610665935
1976,239.18656018400844
1977,239.13946608451946
1978,239.12151142277128
1979,239.0218945646939
1980,239.24472221479022
1981,239.1442055062072
1982,239.19562821061646
1983,239.23295977866812
1984,238.98546924329784
1985,239.03790111803025
1986,238.9335782403815
1987,239.11186343676428
1988,239.05735895862313
1989,239.2973583064667
1990,239.33849671246256
1991,239.15836578787187
1992,239.51026966669787
1993,239.2926377387896
1994,239.10137634277348
1995,238.94565045082405
1996,239.1516544707834
1997,238.9667709141561
1998,238.91907402979183
1999,238.98678601408656
2000,239.0670005484803
2001,238.8474119839603
2002,238.74925089796926
2003,239.20051169199485
2004,239.3882900290293
2005,239.4521006544975
2006,239.13426012013056
2007,239.6179363093964
2008,239.30151613836418
2009,239.34217809389713
2010,239.1367318767391
2011,239.3581790035718
2012,239.33209224335135
2013,239.2825645969338
2014,239.27838193292484
2015,239.4728735936831
2016,238.91374662216393
2017,238.8061902607957
2018,238.94228615956763
2019,239.35155806868042
2020,239.37540626003317
2021,239.2645392430972
2022,239.24897954235334
2023,239.44201856639285
2024,239.36793396832192
2025,239.6434463291952
2026,239.43138975378585
2027,239.40454423460244
2028,239.292918207874
2029,239.29882871026865
2030,239.14578130016588
2031,239.34342475786596
2032,239.4363496127194
2033,239.19032007504816
2034,239.67174059724152
2035,239.27034460616437
2036,239.38712843803512
2037,239.40188364525363
2038,239.40870649781945
2039,239.3732978716288
2040,239.20592488328072
2041,239.30732660162943
2042,239.13557668189478
2043,239.01853917788156
2044,239.24436143848996
2045,239.36917703706922
2046,239.32154904718266
2047,239.22834150758507
2048,239.60606417721266
2049,239.50942203051423
2050,238.95584386538152
2051,238.93182230910207
2052,239.3130940476509
2053,239.44316126157156
2054,239.54859100759845
2055,239.54457489431718
2056,239.5969301406651
2057,239.4341927306293
2058,239.31526606311536
2059,239.24798211920753
2060,239.2971912122753
2061,239.1168722492375
2062,239.24948655219927
2063,239.17352512307363
2064,239.33598574285634
2065,239.15061377956445
2066,238.97529033504122
2067,238.8564443091824
2068,239.10529459078018
2069,239.11492915741383
2070,239.05361432637253
2071,239.23606049002032
2072,239.22853498066942
2073,238.95614611481963
2074,239.20839739237746
2075,239.31409857763003
2076,239.35098471445576
2077,239.27327588225063
2078,239.20410030835296
2079,239.0940892885809
2080,239.10043226268192
2081,239.4359640879174
2082,239.31907001652132
