year,rlut
2000,239.4161901005998
2001,239.12477394233923
2002,239.45420713803423
2003,239.7076512105474
2004,239.67062586811767
2005,239.59930318086518
2006,239.51558217359874
2007,239.61719619877653
2008,239.31405856245468
2009,239.62810836269585
2010,239.25491460736185
2011,239.4777862256148
2012,239.5390724372238
2013,239.7033970297972
2014,239.6411963572472
2015,239.26927476070784
2016,239.68667473885495
2017,239.50771512247087
2018,239.6325606074662
2019,239.28177276919672
2020,239.44400289000552
2021,239.56848096354406
2022,240.05168883658789
2023,239.58158548605041
2024,239.93147564077145
2025,239.39035896934962
2026,239.5596584157288
2027,240.24540316609577
2028,239.7155263208596
2029,239.60609138880244
2030,239.61751228062022
2031,240.0469440058228
2032,239.91861384078922
2033,239.9543373162529
2034,239.97810894028368
2035,239.66198679711252
2036,239.57329980382178
2037,239.67681512671803
2038,239.8385104551932
2039,239.5850556893184
2040,240.0930208818349
2041,239.8159477243123
2042,239.87008096842604
2043,240.10211947047864
2044,239.6281778343356
2045,239.58881034536327
2046,240.00338360552962
2047,239.73806649633963
2048,239.81749135282286
2049,239.707742353643
2050,240.09336439296393
2051,239.57629554562942
2052,239.7790587250386
2053,239.77487764811508
2054,239.5276910017437
2055,239.62394354625414
2056,239.6662134890497
2057,239.52171989665766
2058,239.52413899306617
2059,239.61760088476547
2060,239.44808302588547
2061,239.59252558456123
2062,239.30306381392626
2063,239.57527981018455
2064,239.56649747493125
2065,239.75136531318796
2066,239.98149557558466
2067,239.6107349779765
2068,239.9389760621551
2069,239.9766190024145
2070,240.0999525518476
2071,239.92944294490772
2072,239.9707462501171
2073,239.6983765297997
2074,239.72194671464706
2075,240.12496573440558
2076,240.0011139186107
2077,239.89671382289163
2078,239.83408995092998
2079,240.0243433842081
2080,240.17909889339973
2081,239.87909519021343
2082,240.10965969338292
2083,239.8234310981836
2084,239.95769358620458
2085,239.84387179739232
2086,239.90200284601852
2087,240.0733186185524
2088,240.20648855937915
2089,239.9631778779649
2090,239.84017377978358
2091,239.85719965960826
2092,240.1287220360258
2093,240.60396301405183
2094,239.72882530881847
2095,239.68503306264796
2096,239.65215525940292
2097,239.77987223981302
2098,240.15157644235285
2099,240.15344879046432
2100,240.38579028184807
2101,240.34043737863692
2102,240.47905041449658
2103,240.06780070481284
2104,240.35151217095682
2105,240.10901304226525
2106,240.31415501533021
2107,240.47657135265555
2108,239.96847842444805
2109,240.18431834625636
2110,240.20392859044023
2111,239.92696977663263
2112,240.485949403094
2113,240.216841000047
2114,240.2412315620843
2115,240.25099191743072
2116,240.190510307327
2117,240.2539174945958
2118,239.92986368593662
2119,240.48694343399936
2120,240.1686425856017
2121,240.1936687578773
2122,239.92585369772792
2123,240.24966831422103
2124,240.37943679100795
2125,240.00437785699407
2126,240.30921519109432
2127,240.0059983168833
2128,240.11614232486872
2129,240.08542595272044
2130,240.40033168173449
2131,240.6442271628426
2132,240.15798931850077
2133,240.3165480729483
2134,240.4085560834784
2135,240.6199684364039
2136,240.97528903114096
