year,rlut
2015,241.91590458753996
2016,242.17057461871244
2017,241.74612289830804
2018,241.96722042546253
2019,242.3854988597857
2020,242.00475279169282
2021,242.2981046410521
2022,242.33993780255219
2023,242.29782562687924
2024,242.6004750933589
2025,242.9697023133517
2026,242.98078941809973
2027,242.9362671998006
2028,242.72371608431138
2029,242.98281407995572
2030,242.98199464789624
2031,243.1232758744425
2032,243.3166820321662
2033,243.50748877106506
2034,243.1959611940637
2035,243.4386809957307
2036,243.31431821735188
2037,243.71604639998407
2038,243.6448025678604
2039,243.6984179782478
2040,243.7782900475888
2041,243.6706729918601
2042,243.70557434160008
2043,243.9079684129275
2044,243.69074308402867
2045,244.2184327277203
2046,244.15262274632656
2047,244.11327386744034
2048,244.2343601857582
2049,244.286374315859
2050,244.06771430402574
2051,244.3680356928796
2052,244.61405709134894
2053,244.23521147453224
2054,244.47153681318372
2055,244.82470943761697
2056,244.92644562503335
2057,244.81855270861527
2058,244.82972304920182
2059,244.77634057996855
2060,244.66816990841394
2061,244.4318071251314
2062,244.80647120635874
2063,244.81846830961655
2064,244.960378303608
2065,244.74648819341314
2066,244.8224666644325
2067,244.97532089471912
2068,245.05727703213915
2069,245.64981172182746
2070,245.24947264272006
2071,245.47955597586963
2072,245.90939481971145
2073,245.28938656205364
2074,245.32908502641214
2075,245.7470928805055
2076,245.89060215164332
2077,245.58745812856822
2078,245.95885616319404
2079,246.0260219218482
2080,246.27913508494163
2081,246.2563525921624
2082,246.43672937134568
2083,246.3877705436626
2084,246.53791939457741
2085,246.61292909130003
2086,246.7489764438708
2087,246.56070405767053
2088,246.43166258511272
2089,246.52688057680544
2090,246.82623257283785
2091,247.34933626306187
2092,246.96921683409096
2093,247.02045508020345
2094,247.3422466609614
2095,247.26794904176438
2096,247.3780023256447
2097,247.3843319636838
2098,247.05953720763998
2099,247.6976404666365
2100,247.66540531610377
