year,rlut
1850,231.4763308809104
1851,231.0204784275845
1852,230.96597654446197
1853,230.62594856675028
1854,230.21081874394562
1855,230.82789582896982
1856,230.97071028415104
1857,229.40300099932023
1858,229.8538823362183
1859,230.01376423817038
1860,230.02857110616628
1861,230.45814064380906
1862,230.19034550016386
1863,229.65966184385246
1864,229.58822051729305
1865,230.45272650807186
1866,229.2905885807688
1867,229.91354533748648
1868,230.6567178945067
1869,230.04513176548804
1870,230.25451443579206
1871,230.46686508743406
1872,229.85331387782057
1873,230.5132683432056
1874,230.18713317828553
1875,229.94351136752283
1876,230.58789280841188
1877,229.41944084371528
1878,230.08438100466165
1879,230.50910428252055
1880,230.18079271524567
1881,229.9187063852914
1882,229.97986192244517
1883,229.93270005685963
1884,228.92962933402924
1885,228.4375849979679
1886,229.1476195527197
1887,229.23744465550843
1888,229.48919435078795
1889,229.23512929577674
1890,229.30904706735132
1891,229.32752425318222
1892,229.62065455836486
1893,229.0273885488271
1894,229.74497298725555
1895,229.80530301452612
1896,230.0572057319533
1897,230.17485241446462
1898,230.03471478641364
1899,229.88538532111767
1900,230.22503351280764
1901,230.22756146668908
1902,229.58002386926395
1903,228.99254325227417
1904,229.28281951537085
1905,230.02741457538272
1906,230.1463821043267
1907,229.97220453147492
1908,229.9005607519918
1909,230.74290318981207
1910,230.08692660065856
1911,229.77589836230283
1912,229.80525588095813
1913,229.47841011585967
1914,229.80230666915048
1915,230.14551868019484
1916,230.42785758701487
1917,229.89206561278243
1918,230.22096122342714
1919,230.1695489695571
1920,230.68109443638158
1921,229.9596666367081
1922,230.04779080047246
1923,230.32887765187232
1924,230.39192114548646
1925,230.18097835248534
1926,230.49803498104683
1927,230.49766827334534
1928,229.88513588457218
1929,230.0723989438389
1930,230.24632469155844
1931,229.78860834670903
1932,230.25275797862773
1933,230.16072129637433
1934,229.82594487565555
1935,229.32799205591115
1936,230.0610305756205
1937,230.1030264862851
1938,229.91976569743738
1939,230.22298853443903
1940,230.70569054898414
1941,230.25002500401277
1942,230.21723764154987
1943,230.4361142851658
1944,229.87578668643985
1945,230.2913355924979
1946,230.1559681524694
1947,230.37449327918046
1948,230.6667877505611
1949,230.66106317411612
1950,230.34527643783872
1951,230.14165736607285
1952,229.55285677587588
1953,229.88574329442298
1954,230.1125716344954
1955,230.36058539750678
1956,229.92459300511632
1957,230.2902447674934
1958,230.48094983755362
1959,230.25819711992293
1960,230.6557276454515
1961,230.1742071448149
1962,229.47172172008615
1963,230.0335214583974
1964,229.81048739527915
1965,228.6961067458975
1966,229.6638192523671
1967,230.23457348682885
1968,229.86842319584343
1969,229.5784979310517
1970,229.53930985365156
1971,230.1306252533907
1972,230.19766535469887
1973,230.22279514779393
1974,229.93339615086344
1975,230.0786984006395
1976,230.32386980833647
1977,230.141718573836
1978,230.06172257759337
1979,230.44902004621565
1980,230.1971110750814
1981,230.33344460684253
1982,229.87536571594268
1983,229.75834397214203
1984,229.412155180271
1985,230.08017050839763
1986,229.86686108891132
1987,230.2056628514456
1988,230.88954184431128
1989,230.13103748668945
1990,230.46160752170417
1991,230.5457312382818
1992,228.74216530819228
1993,229.52509737743318
1994,229.36735303439838
1995,229.78781686025073
1996,230.1948169802326
1997,229.9606579379022
1998,230.24252874084522
1999,230.25600778011417
2000,230.04707896708183
2001,230.67295168382458
2002,230.0312649870329
2003,230.45292131030612
2004,230.7479376534792
2005,230.64961623704295
2006,230.45517577827863
2007,230.24884197868337
2008,230.75983901982508
2009,231.0364965529638
2010,230.45839491683444
2011,230.83187132223833
2012,231.07761844087068
2013,230.98648172138593
2014,231.24477882619382
