year,rlut
2015,231.04991559562544
2016,231.27356593392918
2017,230.97818900898605
2018,230.7374255569221
2019,230.78707398527044
2020,231.064906500528
2021,231.35287030065416
2022,231.17318851234387
2023,231.33460329705596
2024,231.30262702681685
2025,231.20425713929342
2026,231.0795837237563
2027,231.02800666105196
2028,230.59925129819652
2029,230.54566363140714
2030,231.3169042906089
2031,231.096160743567
2032,231.1517652822265
2033,231.1225855886966
2034,231.1665593790061
2035,231.0766998172292
2036,231.07906090012366
2037,231.29461878064686
2038,231.0002055413857
2039,231.20410056293912
2040,231.1089437760312
2041,231.25620353615867
2042,231.52086365468477
2043,231.29023050596516
2044,231.2356872309035
2045,231.38257860731557
2046,231.15073901406606
2047,231.4859635780376
2048,231.63115505991672
2049,231.0699808402977
2050,231.11199953068757
2051,231.00947456612658
2052,231.12115287361354
2053,231.27695919590744
2054,231.1631784819442
2055,231.37295554984527
2056,231.39078880887382
2057,231.3690737967623
2058,231.47886187010775
2059,231.47861111082395
2060,231.39751239241116
2061,231.3057398686479
2062,231.17109128529924
2063,230.93907630410453
2064,231.24873389013288
2065,230.95367927561855
2066,231.10831512726512
2067,231.61204656904636
2068,231.48052774730817
2069,231.80018093000749
2070,231.6888771276021
2071,231.43320819800303
2072,231.57872266134547
2073,231.68880851788006
2074,231.402151054114
2075,231.20905565564163
2076,231.14197745026843
2077,231.70868101241484
2078,231.427370320085
2079,231.68797108365396
2080,231.268833526909
2081,230.99412502088663
2082,231.3504343981393
2083,231.4735041241175
2084,231.20719914913238
2085,231.4621385359397
2086,230.78196388982414
2087,231.16460869810942
2088,231.09796817442347
2089,231.25086001762617
2090,231.54471730943163
2091,231.3617550078034
2092,231.40762203246067
2093,231.27385323501775
2094,231.59212021887777
2095,231.61692604739758
2096,231.17804494150695
2097,231.10158371186947
2098,231.50707741143722
2099,231.39945145122482
2100,231.34621923054735
