year,rlut
1850,230.44552729358412
1851,230.64332062185628
1852,230.96679507738924
1853,230.20571406116224
1854,230.50221825168558
1855,230.6169404748368
1856,230.3725192553376
1857,230.65666257257334
1858,230.55554052901593
1859,230.50962745980038
1860,230.79394042132654
1861,231.05639004642018
1862,230.45247485017123
1863,230.13165508949595
1864,230.27771535376985
1865,231.0538571292407
1866,230.85352628524987
1867,230.38302231880084
1868,230.4754550463533
1869,230.2584347659594
1870,230.2824241742696
1871,230.38861602365154
1872,231.2895290008963
1873,230.5486295935226
1874,230.04724560045213
1875,230.36355958703444
1876,230.3872909754923
1877,230.7695523196704
1878,230.55892885809075
1879,230.0447650648143
1880,230.3088268959359
1881,230.21362889956123
1882,230.47301184249253
1883,230.68582475218057
1884,230.39904877127037
1885,229.95743888959495
1886,230.33314522521135
1887,230.73589853783176
1888,230.43618544487106
1889,230.16371886370933
1890,230.7873533066005
1891,231.06068888625055
1892,230.3325992113923
1893,230.06486812225762
1894,230.1355000953152
1895,230.57802295423537
1896,230.95850299155876
1897,230.70551636578284
1898,230.21922059777665
1899,230.13504337676582
1900,230.33921684369645
1901,230.68800115715965
1902,231.09030749177276
1903,230.10990901581226
1904,229.85876264180223
1905,230.1895723525792
1906,230.48894197646888
1907,231.03671511297355
1908,230.06392575616704
1909,229.92253083529533
1910,230.33373688998284
1911,231.26846865301263
1912,230.69016794701147
1913,230.1218593649668
1914,230.32204991170806
1915,231.19923689332728
1916,230.25768892471103
1917,230.26375477411975
1918,230.63783790901914
1919,231.1682392695178
1920,230.14258205466075
1921,229.9491428741037
1922,230.25416811590327
1923,230.7165098007411
1924,230.9054117699192
1925,231.50059020159995
1926,230.35654393026272
1927,230.19268134130186
1928,230.7662360622458
1929,230.7892150460857
1930,231.3996609622485
1931,230.88871664804955
1932,230.7519932159006
1933,230.71538671206122
1934,231.27653616291198
1935,230.64012676918344
1936,230.32252531704833
1937,231.31436441499886
1938,231.31154622117137
1939,230.56050281263376
1940,230.28017904203233
1941,230.77014553122322
1942,231.38377647922465
1943,230.86494286942155
1944,230.6253985261264
1945,230.51564728201248
1946,231.2152383046607
1947,231.2134199168584
1948,230.7238308841235
1949,230.64915641889183
1950,230.62429433326196
1951,230.6627955606539
1952,231.56750780915564
1953,231.04689268347335
1954,230.55341228328336
1955,230.68698023965914
1956,231.7194494796126
1957,230.8612230274775
1958,230.48528471646242
1959,230.84420755464737
1960,231.656152761799
1961,231.39401571195418
1962,230.4636274781945
1963,230.69612138303992
1964,231.15455560553562
1965,231.7693097676316
1966,230.9701870016856
1967,230.93429239351454
1968,231.43705423433485
1969,231.66168714549445
1970,230.9496421082379
1971,230.70817139507972
1972,231.04593413888588
1973,231.7753485274641
1974,231.21599773250213
1975,230.49195799109054
1976,231.054532947279
1977,231.86536204716927
1978,230.9886655624599
1979,230.9717646768648
1980,231.5928525741786
1981,231.6093855766401
1982,231.39314976522363
1983,230.88600622725812
1984,231.56600918704518
1985,231.93396752762465
1986,231.30114068854343
1987,231.02488708496094
1988,231.56568912871896
1989,232.03876994929902
1990,231.19915336713402
1991,230.92774670744592
1992,231.21529302727683
1993,231.7926759902745
1994,231.44267791329995
1995,231.07208444255667
1996,231.3489400785263
1997,231.9111432219205
1998,231.34533611976937
1999,231.3410448884311
