year,rlut
1850,230.83905894658335
1851,230.96154195707138
1852,230.75366645708473
1853,230.4545382565015
1854,230.70914432055332
1855,230.8053864779538
1856,230.9297933500107
1857,230.6729513926049
1858,230.68753695553295
1859,230.80828861602367
1860,231.23060323636824
1861,230.63705682623873
1862,230.72883497264286
1863,230.6822290707941
1864,230.75655408885376
1865,231.0001571864298
1866,230.81037693807525
1867,230.85598775785266
1868,230.88831369060358
1869,230.83197807416525
1870,230.75658017511236
1871,230.99510556573736
1872,230.9619493458369
1873,230.52813536761562
1874,230.73153347903735
1875,230.86918301517017
1876,231.1735060600385
1877,230.57728229679472
1878,230.31009350084275
1879,230.7458774932443
1880,231.1168547747886
1881,230.4848520357315
1882,230.4687553092225
1883,229.97274174102364
1884,229.61961460897368
1885,230.1352266076493
1886,230.38484639206976
1887,230.40239015344073
1888,230.2968369575396
1889,230.49670552292912
1890,230.82104939499948
1891,230.84000444804153
1892,230.48990077188571
1893,230.6974805021939
1894,230.38887943633614
1895,230.79416942857716
1896,231.01081438456498
1897,230.79451097462274
1898,231.18846013317372
1899,230.96969491618955
1900,230.7865525337115
1901,230.49655209894047
1902,230.49656326084923
1903,230.17194138618365
1904,230.12187441473137
1905,230.3234538457165
1906,230.64846755772425
1907,230.7254193449673
1908,231.19800766200237
1909,230.3377311811055
1910,230.1948794430249
1911,230.4149495582058
1912,230.02536746508454
1913,230.299653102927
1914,230.56304643186803
1915,230.49576115020335
1916,230.54994335435836
1917,230.69845179727633
1918,230.88352105127623
1919,230.65817595181397
1920,230.4257787835108
1921,230.37146819650306
1922,230.50431898979286
1923,230.76577880023277
1924,230.60875022574646
1925,230.32885299055542
1926,230.30687272581335
1927,230.39819632752295
1928,230.8938070636906
1929,229.95226432068708
1930,230.22791618451677
1931,230.4066341870452
1932,230.4866595124545
1933,230.61264623354555
1934,230.5480987548828
1935,230.44229899367244
1936,230.38078366632328
1937,230.6804805807871
1938,230.4818364809637
1939,230.31700782253313
1940,230.3257723037511
1941,230.5676704302226
1942,230.64807266862422
1943,230.537453721974
1944,229.82696876003317
1945,230.2068039985552
1946,230.34511806540291
1947,230.25549788801638
1948,230.49676806306186
1949,230.76209332191783
1950,230.3212419065711
1951,230.1283466913929
1952,230.09134876826036
1953,230.59207805476777
1954,230.18145768675083
1955,229.96057367194192
1956,230.0223905798507
1957,230.49881106860013
1958,230.85770376545108
1959,230.05777867983463
1960,229.8646519073068
1961,230.27232189439746
1962,230.79058758461312
1963,229.53436400531086
1964,228.90560574466235
1965,229.23205716903897
1966,229.67109759605094
1967,230.00559918129284
1968,229.72385542360067
1969,229.5473504053403
1970,229.6633777775176
1971,229.94849272427493
1972,230.1653464121361
1973,229.8406859097415
1974,229.51385928637364
1975,229.155660258254
1976,229.31164333395765
1977,229.67915866799552
1978,229.4268402517658
1979,229.49340352097602
1980,229.61257763170218
1981,229.93934585362263
1982,229.32963624719073
1983,228.97022500234107
1984,229.32501203981164
1985,229.25180885628475
1986,229.58079441018302
1987,229.43738181754335
1988,229.20229529811908
1989,229.07637086633133
1990,229.22669468709864
1991,229.4098958472683
1992,228.38734707767014
1993,228.69104610077324
1994,228.67362361542166
1995,228.7764591582834
1996,229.00610543865045
1997,229.2991956318894
1998,229.3830797587355
1999,229.30845876197287
2000,229.44995986729455
2001,229.59202989552116
2002,229.58135580820579
2003,229.68444728067476
2004,229.48629142029645
2005,229.5541069971372
2006,229.40244069556667
2007,229.4747522223486
2008,229.56720840245077
2009,229.07856758849263
2010,228.99877131213879
2011,229.34464295269692
2012,229.75183092927278
2013,229.30586188329409
2014,228.9439320603462
