year,rlut
2015,229.5026488003665
2016,229.72290808272686
2017,230.1488067208904
2018,229.48147796212814
2019,229.0569642367428
2020,229.12932304486833
2021,229.6198723779966
2022,230.4006458439239
2023,229.7453833593081
2024,229.35799288815014
2025,229.65924038821706
2026,230.34384656932258
2027,230.5136179884819
2028,229.7022385270628
2029,229.33811816907905
2030,229.8820975525738
2031,229.95652323683646
2032,229.4887148504388
2033,229.83661235652556
2034,230.632562841128
2035,230.4636483806453
2036,229.5990618143996
2037,229.57648043697827
2038,229.6616351401969
2039,230.88863316366115
2040,230.35118567061753
2041,229.45538706322242
2042,229.7036000290962
2043,230.51718637126763
2044,230.0599544577403
2045,230.03621926503638
2046,230.14497743371413
2047,231.42575353335027
2048,230.54905048527127
2049,229.9830679279484
2050,230.22892489498608
2051,231.15701707813838
2052,230.37718982435254
2053,229.74983390912618
2054,229.87645756969712
2055,230.82460318787457
2056,231.33596049269585
2057,230.49669235438517
2058,230.25583475191297
2059,230.41325265544737
2060,230.89929136511398
2061,231.2559110876632
2062,230.27892221947238
2063,229.8156634605094
2064,230.50411606880084
2065,231.26561718248342
2066,230.63685306914866
2067,230.335085766936
2068,230.7367404885488
2069,231.49610344873716
2070,230.54759580011233
2071,230.170608018849
2072,230.6377696416149
2073,231.10000163039118
2074,231.4076776791925
2075,230.4057292781464
2076,229.82790105114245
2077,230.8204808065336
2078,231.51991740187552
2079,231.03234273832138
2080,230.71257687921394
2081,230.826291604238
2082,231.5277867983465
2083,231.1399771912457
2084,230.65892614077214
2085,230.71942665413633
2086,231.3200931078767
2087,231.73823823275632
2088,230.950143516227
2089,230.80468357033922
2090,231.0553060453232
2091,231.67351375214042
2092,231.31852793236303
2093,231.0158416329998
2094,231.10832318867722
2095,231.62777526019372
2096,231.80008089248452
2097,231.3229541099235
2098,231.1845628712275
2099,231.40435594532585
2100,231.7004078068145
