year,rlut
1850,230.74748965746736
1851,231.1218281367054
1852,231.1657337345489
1853,230.71759848398702
1854,230.3865728508936
1855,230.88969379581815
1856,230.98253729833317
1857,231.02916824131796
1858,231.14084903246737
1859,230.6778485023812
1860,231.1542298199379
1861,230.95980023945847
1862,230.8645289172865
1863,230.67942375287618
1864,230.66958216837006
1865,231.15241172476988
1866,231.2339009324165
1867,230.33509772313784
1868,230.64291444543292
1869,230.998166604238
1870,230.90406452335722
1871,230.87386169433594
1872,231.61114652450772
1873,230.96121002615314
1874,230.48697350906997
1875,231.23601763999622
1876,231.538487180945
1877,231.28822100913686
1878,230.82129675460186
1879,230.72211073783976
1880,230.72419776393943
1881,230.81668249678944
1882,230.85936224950504
1883,230.47344703151757
1884,229.21678462616387
1885,229.83367384819132
1886,230.03258294928565
1887,230.5468325680249
1888,230.81944199653515
1889,230.67223899527772
1890,230.14299220254975
1891,230.07222264956124
1892,230.593046047263
1893,230.90389512989617
1894,230.41739309650578
1895,230.24066028333692
1896,230.3346769568038
1897,230.52744291122644
1898,231.03735765431026
1899,230.87335656571062
1900,230.46822969619544
1901,230.56388227906945
1902,230.99595738241112
1903,229.73642900022736
1904,230.28319083435895
1905,230.4122732084091
1906,230.45646128197237
1907,230.5678226418691
1908,230.66646761959544
1909,230.28216272641535
1910,230.2843234127515
1911,230.61968567730628
1912,230.79705020434233
1913,230.07050246147259
1914,229.92893710201733
1915,230.7071866806239
1916,230.95513644283767
1917,230.97668925246148
1918,230.2571610124144
1919,230.13262266394207
1920,230.5239034156277
1921,230.64553506929582
1922,230.71170930209223
1923,229.9542505551691
1924,230.10465878003265
1925,230.43473385327485
1926,230.27379580981116
1927,230.59552537055865
1928,230.85096050941777
1929,230.76850606839952
1930,230.15297053088878
1931,230.6194879819269
1932,230.5960697957914
1933,230.5628834345569
1934,230.5354219201493
1935,230.73297211111407
1936,230.57112857348298
1937,230.25180241832993
1938,230.4937714877194
1939,230.53983099950506
1940,230.84685041871785
1941,230.8613692192182
1942,230.46234310620451
1943,229.91793739632382
1944,230.53679103067478
1945,231.00726046627517
1946,230.54995978368473
1947,230.2406630424604
1948,230.338588223392
1949,230.3248240013645
1950,231.0911454710242
1951,230.25636885133503
1952,230.0099664139421
1953,230.6627112401675
1954,230.35631488120717
1955,230.18692568426258
1956,230.48069855154375
1957,230.72017454382492
1958,230.302090245077
1959,230.26173124966556
1960,230.5055361813062
1961,230.77985969438947
1962,229.97498825282264
1963,228.9834363545457
1964,229.1315109880003
1965,229.4537141146725
1966,230.1829040527344
1967,229.78414691245723
1968,229.42068535791685
1969,229.814054431654
1970,230.3047202332379
1971,229.46684164804955
1972,229.63820993083795
1973,229.68643535457244
1974,229.3399950001338
1975,229.73875193138642
1976,229.80352737217734
1977,229.20321241404912
1978,229.25422844037615
1979,229.5186818998154
1980,229.74571646076362
1981,230.1162793721238
1982,229.283791612599
1983,228.75943578432683
1984,229.13199262227096
1985,229.58288992267765
1986,229.95455907534247
1987,229.1818465141401
1988,228.97691140370824
1989,229.3562798905046
1990,229.54308521845567
1991,229.6529858314828
1992,228.01817200543127
1993,228.1319274902344
1994,228.55327244588776
1995,229.19011531464037
1996,229.3152155209894
1997,229.86860589850437
1998,228.95815609448573
1999,228.8217575700316
2000,229.1830100281598
2001,229.6449079539678
2002,229.4802892815577
2003,229.13356377588556
2004,229.6792948683647
2005,230.14263272220145
2006,229.01022514447772
2007,229.04383223024132
2008,229.15734750408015
2009,229.32077548928459
2010,229.9356070740582
2011,229.6016548052226
2012,229.31090890544735
2013,229.33339166510595
2014,229.58605931948307
