year,rlut
2015,230.1870848355228
2016,229.12429011096694
2017,229.1006600157855
2018,229.51332685914755
2019,229.62805719244972
2020,229.48474886123444
2021,229.8756827158471
2022,229.7488517865743
2023,229.9449135976295
2024,230.07546625006688
2025,229.45485973619435
2026,229.4136942406223
2027,229.51883854278148
2028,230.07903927319666
2029,229.61917916911918
2030,229.2614069272394
2031,229.1833807958316
2032,230.36317920423534
2033,230.056447026501
2034,229.1939936389662
2035,229.20078074834117
2036,230.10807415687876
2037,230.33002904604555
2038,230.00969037617722
2039,229.5496427353114
2040,229.49395170864992
2041,229.6046473254896
2042,230.47143161721422
2043,229.65539575864187
2044,229.34714058653947
2045,229.90652419834925
2046,230.7626817677119
2047,230.16240209292062
2048,229.34184699907695
2049,229.8361733632545
2050,230.58095581890782
2051,230.08011608385058
2052,229.45489301289598
2053,229.5992639829035
2054,229.74021200937767
2055,230.82395571355949
2056,230.46748565255777
2057,229.77601623535156
2058,230.09061893828928
2059,230.8995064931373
2060,230.42817274119756
2061,229.60368255197181
2062,229.9390821064988
2063,230.68233186904695
2064,229.8002362813035
2065,229.54778488368203
2066,230.0402032303483
2067,230.9010324974583
2068,230.26193856017227
2069,229.79135566606908
2070,230.13812540132707
2071,231.10800446810788
2072,230.58376159667972
2073,229.75968586124782
2074,230.07045263002993
2075,230.2529630896163
2076,231.2308032310172
2077,230.31488873207402
2078,229.78733449439477
2079,230.28586634805757
2080,230.74891148397364
2081,231.37137484615795
2082,230.60159030025955
2083,230.2990615635702
2084,230.43236961887308
2085,231.35608353288205
2086,230.9505658711472
2087,230.1829316857743
2088,230.3671689386237
2089,231.42048624117078
2090,230.94202538059182
2091,230.41146532868683
2092,230.66943267404216
2093,231.3049471502435
2094,230.67915202101614
2095,230.5501909229853
2096,230.64673541343373
2097,231.29809578673482
2098,230.82317534146244
2099,230.2217714910638
2100,230.56737859020495
