year,rlut
1850,230.3095559316139
1851,230.1254958897421
1852,230.1256396149936
1853,230.07762133454622
1854,230.32244856324914
1855,231.22168319911174
1856,229.94294617535314
1857,229.95052724341824
1858,230.22300005351025
1859,230.36780964054475
1860,230.51612038808324
1861,230.0456327255458
1862,229.99515222000747
1863,230.85686900517712
1864,230.1977824589977
1865,229.5321805353034
1866,229.84822717954034
1867,229.85605029798532
1868,230.08980666905234
1869,230.71671698583316
1870,230.53340859609102
1871,230.48382087603008
1872,230.37366583837223
1873,230.43785446376017
1874,230.84033428871473
1875,230.30586869749305
1876,230.47790439553458
1877,230.04785164610976
1878,229.8516246220837
1879,230.31165591723297
1880,230.29536546681027
1881,230.29088072058272
1882,230.05722250742457
1883,230.39841099569242
1884,229.03178635688678
1885,229.50070027390572
1886,229.83200445305812
1887,229.80360145046285
1888,230.28717078640037
1889,230.12368264394266
1890,229.7872317379468
1891,230.1993243073764
1892,230.0312823987987
1893,230.02661621929846
1894,230.329370326212
1895,230.2885404403895
1896,229.908282094459
1897,230.11054432490099
1898,230.32151058667324
1899,230.0909777079543
1900,230.45704065610286
1901,230.46299777096266
1902,230.07024598840164
1903,229.0689123284327
1904,229.28674174269588
1905,229.59536538320043
1906,229.8139569844285
1907,229.84966560259255
1908,229.83296061476617
1909,230.46356138464523
1910,230.2982785577643
1911,229.7179172463613
1912,229.3865335960911
1913,229.42217591168125
1914,229.88834082198468
1915,229.57201441934663
1916,229.89045288922037
1917,230.2531004187179
1918,230.72093890464464
1919,229.80600648644852
1920,229.35640739545428
1921,229.72398752708955
1922,230.11554807898116
1923,229.873627294253
1924,230.16117599696332
1925,230.2745260578312
1926,230.08484438543448
1927,229.76279125474906
1928,230.08083859796392
1929,229.787512750495
1930,229.71621959111465
1931,229.84778279343698
1932,229.92061107060678
1933,229.65452124190656
1934,230.093851460496
1935,229.9926364010327
1936,230.01955198523115
1937,230.54026786072612
1938,230.28101254815925
1939,229.93173840666466
1940,229.64114476034086
1941,229.6459396571329
1942,229.9310382163688
1943,230.2027311560226
1944,230.36628087710025
1945,230.51662848485657
1946,229.96230560720784
1947,229.48185077824002
1948,229.95266522969283
1949,230.02803144063037
1950,230.1741267374117
1951,229.88559988361513
1952,229.7399326690256
1953,229.74669168550673
1954,229.4342915156116
1955,229.84830552192585
1956,230.26269711011076
1957,230.31559464964147
1958,230.2408667577456
1959,229.68573737993634
1960,229.70241080506204
1961,229.33044742950023
1962,229.52718000020064
1963,229.73817707218538
1964,228.89849832613177
1965,228.60326237090646
1966,228.6719702733706
1967,229.03838153995883
1968,229.69297807249302
1969,229.18921563135433
1970,228.8635559082031
1971,229.2188618281116
1972,228.9528352084225
1973,229.12848849361887
1974,229.04861337322077
1975,229.50517578125002
1976,229.1859329850706
1977,228.79885809911437
1978,229.25808201620026
1979,229.40194476401967
1980,228.84323985478648
1981,228.6345164677868
1982,229.02551783731542
1983,228.65009276507652
1984,229.3423521695072
1985,229.30921727010644
1986,228.59091420630884
1987,228.83076368358033
1988,229.02676027898923
1989,228.7737514548106
1990,228.91302201780553
1991,228.59014198616757
1992,227.40089583723514
1993,228.25953682677385
1994,228.73069570881046
1995,228.2141475729746
1996,227.7583681289464
1997,228.41740906597815
1998,228.43282880391155
1999,229.2892363247806
2000,229.39454684322823
2001,228.7253198074968
2002,228.75708396598077
2003,228.86563825215376
2004,229.46465830345676
2005,229.00297575650148
2006,228.5959881926236
2007,228.58903641374144
2008,229.13219922209436
2009,229.49966622966608
2010,228.6287711365582
2011,228.41934325335777
2012,228.73450773056243
2013,229.45502269170058
2014,229.63715385541525
