year,rlut
1850,239.19964219184772
1851,239.37273325462863
1852,239.56191034186378
1853,239.29069029925623
1854,239.21810482495448
1855,239.18046097428834
1856,238.9878389959466
1857,239.00790146083048
1858,239.06124497505084
1859,239.24420738742776
1860,239.27512399333793
1861,239.22860922617454
1862,238.89775833756954
1863,239.1369232177734
1864,239.23739841408926
1865,239.27928692543347
1866,239.1666751391267
1867,239.10507515685197
1868,239.4834363963506
1869,239.39806372237527
1870,239.40740937533442
1871,239.6599312560199
1872,239.2123376297624
1873,239.07893777089575
1874,239.20997343716556
1875,239.431825319055
1876,239.20411657045966
1877,239.52022399902341
1878,239.56447398564583
1879,239.23835821282373
1880,239.15819735592356
1881,238.98357397628155
1882,239.30007073389342
1883,238.46172920122538
1884,237.82719622050246
1885,238.45351997270976
1886,238.53465785196383
1887,238.7922485351562
1888,239.09005670416843
1889,239.18878713111354
1890,239.08394813015033
1891,238.81620119695793
1892,239.34187053523652
1893,239.2039848432149
1894,238.75751238261182
1895,238.82765979505567
1896,238.793812832767
1897,239.00443131956334
1898,239.04648863909995
1899,238.93594172229504
1900,238.68837426590594
1901,239.06355001371205
1902,238.59843469907156
1903,238.4847734425166
1904,239.17900344639608
1905,239.45444177078875
1906,239.4119095893755
1907,238.8370260160263
1908,238.66816945533228
1909,238.88206093148008
1910,238.80740410791685
1911,238.86353224662884
1912,238.1961105555704
1913,238.36043337469232
1914,238.62339573690338
1915,238.7902824088318
1916,239.02521228529002
1917,238.73788506494807
1918,238.7395215178189
1919,238.89571604271455
1920,238.71906153012634
1921,238.79199076613332
1922,238.7013708245264
1923,238.8574594158016
1924,238.79859665126014
1925,238.9485791350064
1926,239.16189571014823
1927,238.8953609518809
1928,238.86337652337062
1929,239.0545977030715
1930,238.90287354351725
1931,238.9971376183915
1932,238.92955196850917
1933,238.92011254715592
1934,238.873733854947
1935,238.56444689606968
1936,238.7533936801022
1937,238.73090113809664
1938,238.79878046741223
1939,238.97735888337436
1940,238.77833364826364
1941,238.5342219940604
1942,238.72114960134843
1943,238.92472638691942
1944,238.8652729609241
1945,238.8692842666417
1946,238.89419421888377
1947,238.93441500729077
1948,238.99648905714898
1949,238.7537703422651
1950,238.8062662203018
1951,238.70239232729557
1952,238.60102923667597
1953,238.46826301470196
1954,238.32868351348458
1955,238.51963981732928
1956,238.90559282694778
1957,239.1725364371522
1958,238.49015456944295
1959,238.41564569342628
1960,238.42384794052327
1961,238.2843976164517
1962,238.21129944683753
1963,237.7383595087757
1964,237.4951721609455
1965,237.6018266233679
1966,237.72689359482018
1967,238.24919588271885
1968,238.21138167707886
1969,238.02713384758937
1970,238.25075361696003
1971,237.8380110231164
1972,237.86915003110283
1973,237.512673239512
1974,237.9559182363014
1975,237.86650394805494
1976,237.81520891581494
1977,237.4693845147956
1978,237.71971636210404
1979,237.84487751999944
1980,237.59600177921658
1981,237.8034947225492
1982,237.49734944382757
1983,237.14555643160048
1984,237.4936320265678
1985,237.51710079663417
1986,237.35593173928459
1987,237.4074247595382
1988,237.211625775899
1989,237.4436477034059
1990,237.50769720208157
1991,237.01726090940707
1992,236.08618895648277
1993,236.8198130150364
1994,237.32210446710457
1995,237.2396033300112
1996,237.27546817309238
1997,237.53489212663197
1998,237.27855174443494
1999,237.69694761511397
2000,237.74307025230095
2001,237.75378041724636
2002,237.69570228890194
2003,238.05820249792652
2004,237.7698789413661
2005,237.61730994655665
2006,237.80141446884366
2007,237.78581129100223
2008,237.44803086372266
2009,237.3930394838934
2010,237.61503024166578
2011,237.9260248053564
2012,237.49325323235493
2013,237.90240319657
2014,237.83720063510003
