year,rlut
1850,241.8829968178109
1851,241.90185680650686
1852,241.87767455218588
1853,241.75699061563571
1854,242.19036702195257
1855,241.43342611234485
1856,241.6907222800059
1857,241.9523952536387
1858,241.86403854579137
1859,241.75652210810412
1860,241.73783251618687
1861,241.74026882223885
1862,241.38434995886396
1863,241.60741317958045
1864,241.7145856465379
1865,241.68846548420106
1866,242.19373022628162
1867,241.87364104806556
1868,241.8406655925594
1869,241.7007977211312
1870,241.6242143186804
1871,241.3770190931346
1872,241.81699875086954
1873,241.7922878735686
1874,241.84237595649614
1875,241.6846656276755
1876,241.60325033109484
1877,241.59526408992403
1878,241.93825161032476
1879,241.44279546868307
1880,241.59719397139878
1881,241.6653938606994
1882,241.77534342726617
1883,241.48530837803668
1884,240.52495468348673
1885,241.1676241940015
1886,241.55485660082672
1887,241.34895157487423
1888,241.9222226077563
1889,241.5277889722014
1890,241.15125406343643
1891,241.02733233726184
1892,241.35728931165718
1893,241.55510939506635
1894,241.75063606157693
1895,241.26836627280878
1896,241.7300911263244
1897,241.9099308797758
1898,241.1153923975278
1899,241.563132633575
1900,241.4045035166283
1901,241.60483553115634
1902,241.5469053921634
1903,240.6442026634739
1904,240.7840560286012
1905,241.20623306901487
1906,241.79593560205745
1907,241.56261078298908
1908,241.58333790400255
1909,241.28383580037993
1910,241.4462053272822
1911,241.05009874317744
1912,240.53844533423853
1913,240.83901776875535
1914,241.3273656557684
1915,241.09509369314534
1916,241.69611711893995
1917,241.50341851221367
1918,241.3180664480549
1919,240.99439078553078
1920,241.58922336526112
1921,241.37255813389604
1922,241.1235708576359
1923,240.9932732569028
1924,240.9076907641267
1925,241.098264260488
1926,241.46084987692637
1927,241.30229095040937
1928,241.01618397333849
1929,241.0326966168129
1930,241.29078444389447
1931,241.29601950449486
1932,241.41134865120665
1933,241.69047696884365
1934,240.92158424690976
1935,241.21662413714682
1936,241.61267867414918
1937,241.19757435419788
1938,241.270143942637
1939,241.49248753377833
1940,241.00488193459708
1941,241.06892206897473
1942,241.00749670577372
1943,241.01267712736782
1944,241.03663890263803
1945,241.2233863308005
1946,241.31076162677923
1947,240.89929437506686
1948,240.79481339128054
1949,240.84081809684025
1950,240.86692613575553
1951,240.9152702854104
1952,241.1239857712837
1953,240.76483881702163
1954,240.50947779825293
1955,240.8819718870398
1956,240.7867754374465
1957,240.4507259839201
1958,240.79329319784082
1959,240.63335562928083
1960,240.04707695947934
1961,240.4434599575931
1962,240.09736403373822
1963,239.42421222843538
1964,239.8687502090245
1965,239.69350113542112
1966,240.04203027176533
1967,240.05795768842302
1968,239.83905071101776
1969,239.67413455492832
1970,240.03067677119006
1971,239.43426768681775
1972,239.81773765250426
1973,240.16668596659622
1974,239.72396031209865
1975,239.69349954683486
1976,239.63168727927007
1977,239.28829395869005
1978,239.57559020159994
1979,239.64538473886984
1980,240.0188884578339
1981,239.6379047132518
1982,239.30291643534622
1983,239.2375961094686
1984,239.4704832312179
1985,239.20491470963987
1986,239.32225943787455
1987,239.66993475090968
1988,239.3755560888003
1989,239.50152788554152
1990,239.67816425480254
1991,239.25553655755033
1992,238.1672050580586
1993,238.26372931493472
1994,238.86911905367083
1995,239.46384239719336
1996,239.49343809362963
1997,238.8190328101589
1998,239.12242686650526
1999,239.88280827770492
2000,239.77959055443333
2001,239.37511609221158
2002,239.383487607355
2003,239.595199125107
2004,239.91097428831335
2005,239.50682544446974
2006,239.2701547701065
2007,239.4105031052681
2008,239.09014081563035
2009,239.30864830539653
2010,239.53910723124463
2011,239.33536289162834
2012,239.32318788293287
2013,239.66303715117988
2014,239.36143071422836
