year,rlut
2015,239.40731531430598
2016,239.63894063871203
2017,239.49644386605036
2018,239.77765992047034
2019,239.6598548366599
2020,239.29712695814163
2021,239.35591589522687
2022,239.52266398390674
2023,239.62128354425298
2024,240.0606490879843
2025,239.50547322312445
2026,239.47718790132706
2027,239.36786846004117
2028,239.42289386906037
2029,239.73899051195954
2030,239.5774114321356
2031,239.65889850773223
2032,239.65043543985442
2033,239.94139563155503
2034,239.71456252842736
2035,239.99416942857718
2036,239.48370917333312
2037,239.77088903139716
2038,239.58224487304693
2039,239.88307060346207
2040,239.6710942934637
2041,240.0573811988308
2042,239.8647679159086
2043,239.94664636899344
2044,240.01624199854183
2045,240.1210175814694
2046,240.00990103107605
2047,240.14126892089843
2048,239.99512717887146
2049,240.13683271016163
2050,239.89046530527608
2051,240.18884507270707
2052,239.6185851214683
2053,239.99764839067848
2054,240.32600289958796
2055,239.73865498581978
2056,240.05928603916954
2057,240.3027541487184
2058,240.04341175654162
2059,240.01347238200984
2060,239.85412355187822
2061,240.04673583148275
2062,240.20779632150305
2063,240.64686617916578
2064,240.32167341676472
2065,240.15630062573575
2066,240.33552367327962
2067,240.18949526434076
2068,240.38272491873124
2069,240.3780032223218
2070,240.53671063984908
2071,240.66889192764074
2072,240.75403337870557
2073,240.49366396551264
2074,240.8504861910049
2075,240.50314280888807
2076,241.05035274975916
2077,240.85558346264983
2078,241.00777040246413
2079,240.97534476502298
2080,240.5607831144986
2081,240.73612365722656
2082,241.1772751481566
2083,240.72595265009633
2084,241.15534609441886
2085,241.30006776574538
2086,240.95329121628853
2087,241.0599123602044
2088,241.33064692249036
2089,241.49331518721908
2090,241.5179332994435
2091,241.24904571951248
2092,241.129366940015
2093,241.10862890792214
2094,241.17278270982717
2095,241.4280976177895
2096,241.11264460315445
2097,241.52281874565227
2098,241.33256100171232
2099,241.47489281223244
2100,240.85186922256258
