year,rlut
1850,233.4688283925678
1851,235.13360912549425
1852,236.08228203718323
1853,236.49345300737357
1854,236.7616921061229
1855,236.650275158043
1856,236.9367326085428
1857,237.22823492856645
1858,237.38275897142918
1859,237.3476745363546
1860,237.29252791001585
1861,237.8107340692532
1862,237.6256837409324
1863,238.05149824553018
1864,238.08279586616928
1865,238.35910277327795
1866,237.81492085188094
1867,237.9144331043669
1868,238.31145329695858
1869,238.2386275381821
1870,238.15566248392255
1871,238.66287349604627
1872,238.76739093002706
1873,238.50619604259444
1874,238.94727722434658
1875,238.68135059006394
1876,238.8727935683296
1877,239.0661108700544
1878,238.71103616577645
1879,239.25399123523513
1880,239.26400400262432
1881,239.10688529664816
1882,238.88454923920838
1883,239.2925345364028
1884,239.1461215521402
1885,239.5423071734224
1886,239.41197232925919
1887,239.19616654385504
1888,239.5027324011913
1889,239.6800283289749
1890,239.45751566084212
1891,239.56674781938221
1892,239.23506775567208
1893,239.96504582656908
1894,239.2667524208474
1895,239.31374178594706
1896,239.82021691047092
1897,239.54314956842876
1898,239.54427201109146
1899,239.75658738814687
1900,239.7071492209016
1901,239.66285161531698
1902,239.78323371046545
1903,240.18724450602303
1904,239.8596189784925
1905,239.93402544847396
1906,239.91749798565536
1907,239.7954274772604
1908,239.82077990697425
1909,239.80923941541272
1910,239.78260715630555
1911,239.7926157857152
1912,240.15115463349417
1913,240.03830442089932
1914,239.99428838685114
1915,239.45099219497502
1916,239.97272940149873
1917,239.6471392078585
1918,240.00188046882982
1919,239.78267950105018
1920,239.9978734510291
1921,240.13323209753753
1922,240.2006308398948
1923,240.26428321417865
1924,239.89117598142082
1925,239.83141114094883
1926,240.2866608931661
1927,240.18994623701084
1928,240.1423511465572
1929,240.48454046868673
1930,239.86733575161765
1931,240.03680393336546
1932,240.3169461247512
1933,240.22607501587345
1934,240.0615702040412
1935,240.1303744469444
1936,240.41720478636628
1937,240.07499335911618
1938,240.0641547089215
1939,240.1142816285547
1940,239.89057612930287
1941,240.08147418155383
1942,240.08365838600383
1943,240.14018732842328
1944,240.1912093446502
1945,239.95033995147912
1946,240.40365692171707
1947,240.12534183190868
1948,240.3842867493328
1949,240.05838549837847
1950,240.2471617098144
1951,240.32001661691905
1952,240.4375462116909
1953,240.36368072145103
1954,240.38072735067968
1955,240.31721384156643
1956,240.40374692535593
1957,240.15846035814414
1958,240.67973020414652
1959,240.35864996147794
1960,240.4930024989722
1961,240.71601434238863
1962,240.23286424192523
1963,240.2366450244525
1964,240.2201516308109
1965,240.29888374457076
1966,240.37063158051936
1967,240.3564404993552
1968,240.85075254734545
1969,240.61643899382054
1970,240.08925144232606
1971,240.42409689992488
1972,240.36024806530816
1973,240.42470477958932
1974,240.29123124898763
1975,240.08444690976006
1976,240.21683295347896
1977,240.31018727576225
1978,240.35742483864746
1979,240.36817617289057
1980,240.4760182541921
1981,240.30420281262278
1982,240.5029641306769
1983,240.3449248627475
1984,240.5382903298843
1985,240.4847927339576
1986,240.34843869553197
1987,240.50859509182004
1988,240.46335624928798
1989,240.5370452820629
1990,240.52693671659262
1991,240.55293531046178
1992,240.52902497393075
1993,240.5266468579777
1994,240.2345785449233
1995,240.41459601418177
1996,240.55045226826928
1997,240.44734118270287
1998,240.83368432462544
1999,240.4767388874592
