year,rlut
1851,239.37251812660526
1852,239.73579653387196
1853,238.99496673165936
1854,239.28370474201358
1855,239.17358883374357
1856,239.34219226575877
1857,239.88777988381577
1858,239.28139811476615
1859,239.25588826218694
1860,238.94928944208849
1861,239.0394716027665
1862,238.829157622873
1863,239.0389117933299
1864,238.95706628250747
1865,239.3053111037163
1866,239.50036997337864
1867,239.53457457659997
1868,239.05447768119913
1869,239.2201687329436
1870,239.0419921875
1871,238.97906853662778
1872,238.8405516742027
1873,238.81542387661864
1874,238.81465056954997
1875,239.36180294507167
1876,239.2170415172838
1877,238.94822324987962
1878,238.95908989057148
1879,239.07669920202807
1880,239.32240483532215
1881,239.27776267691831
1882,239.27356245485072
1883,239.50598182155662
1884,239.27794996287722
1885,239.30039610144203
1886,238.97199184469983
1887,239.08589460817103
1888,238.92256101843427
1889,238.7178471813463
1890,238.66110417614243
1891,238.99453091556074
1892,238.88519604826624
1893,238.976311545176
1894,238.84481744635593
1895,238.81281111207727
1896,238.6565469820206
1897,238.56431926570525
1898,238.90473883641906
1899,239.3885524802012
1900,239.1511533136237
1901,239.20102116832993
1902,239.2368161972255
1903,239.29965866297889
1904,238.68233358304795
1905,238.94462593810198
1906,239.0716578653414
1907,239.2655629615261
1908,239.4741309179019
1909,239.23660458081392
1910,238.9581628250749
1911,238.99324135976295
1912,238.90195830880782
1913,239.10962018574753
1914,239.24920403467465
1915,238.87582121548584
1916,239.0112428848057
1917,238.85380441325984
1918,239.06624655527614
1919,239.15967804373128
1920,238.98760045717836
1921,238.7400896882358
1922,238.57195865160799
1923,239.01524089656465
1924,238.79210146551262
1925,239.54956272072985
1926,239.00251569356
1927,238.6736118264394
1928,238.98845616170803
1929,239.02343637126765
1930,239.2333468920564
1931,239.33847936342843
1932,238.7405664731379
1933,238.97147350572556
1934,239.16118623916418
1935,239.11878106104183
1936,238.78573307403144
1937,239.11931210870614
1938,238.7592928533684
1939,239.04678984341558
1940,239.2433107977044
1941,239.02353335863927
1942,239.27050931747647
1943,239.57980706201838
1944,239.0896973074299
1945,239.516371426517
1946,238.99381634437876
1947,239.63660633661974
1948,238.84573644350647
1949,239.09691939680545
1950,239.1234536784969
1951,239.2813202740395
1952,239.3370462495987
1953,239.49647471806776
1954,239.89272544547302
1955,239.2211990983519
1956,239.12731001344443
1957,239.239784721479
1958,239.63168748829463
1959,239.227551812995
1960,238.9683621759284
1961,238.95654075309022
1962,239.37854472121143
1963,239.57055814560144
1964,239.4869662350171
1965,239.3396266153414
1966,239.24034139554794
1967,239.52873004234002
1968,239.18161466415614
1969,239.0627493244328
1970,239.24768647494378
1971,239.33737128270812
1972,239.4073730886799
1973,239.0287090562794
1974,238.98054905721585
1975,239.52470652959116
1976,239.73418708696758
1977,239.2696233461981
1978,239.31676063015033
1979,238.92379957225228
1980,238.95716272641533
1981,238.64699050694296
1982,238.5877127033391
1983,239.08612771230204
1984,238.86610717773436
1985,239.25361775437446
1986,238.95321993893137
1987,238.99608936048534
1988,239.60032511671926
1989,238.85752412978923
1990,238.77162692971424
1991,239.2780077790561
1992,239.10486759551583
1993,239.30808995913156
1994,239.11678993538635
1995,239.31816301737746
1996,239.26443376933062
1997,240.20885799878263
1998,239.05460088024404
1999,238.75388329910902
2000,238.78006215552762
2001,239.26496435714097
2002,239.5471184299417
2003,238.63635876799282
2004,239.66455772086366
2005,239.9007926209332
2006,239.38039366839683
2007,239.37279575295642
2008,239.25752902096264
2009,239.52498394691779
2010,239.35882915340056
2011,238.81872261778943
2012,239.32932893935947
2013,239.20654271792063
2014,239.57423572279
2015,239.94491000240794
2016,238.87816224816723
2017,239.48757524882276
2018,239.63015868304527
2019,238.95700303169144
2020,239.026113724382
2021,238.71691593535957
2022,238.92978983839896
2023,239.00444143634954
2024,238.94346551764502
2025,238.76422294721215
2026,239.39069748969928
2027,238.8173670520521
2028,238.90116928309607
2029,239.05758462148168
2030,239.86397755244008
2031,239.13821231371736
2032,238.78424854017283
2033,239.09074113401647
2034,238.64995982548962
2035,238.89015193573414
2036,238.9158692660397
2037,238.84828549737801
2038,238.95215002608626
2039,238.96844800139127
2040,238.70684475833423
2041,238.95780681453334
2042,239.22589462489296
2043,239.07061148865583
2044,239.01887181948308
2045,239.47853213793607
2046,239.10138282253317
2047,238.85401067864402
2048,239.09236809717459
2049,239.2753065971479
2050,239.75351641929316
2051,239.3607177316326
2052,239.10310179827968
2053,239.39767146698418
2054,239.5924782948951
2055,239.1565492394852
2056,239.2804829218616
2057,239.60674070593427
2058,239.28911396183378
2059,239.1044436938142
2060,239.367895716837
2061,239.49873055235977
2062,239.4377137066566
2063,239.0382669527237
2064,238.75593194830907
2065,239.40348736488656
2066,238.97102146932522
2067,238.43853818292482
2068,239.05697811597014
2069,239.42648206736945
2070,239.23243934944884
2071,239.16537952161815
2072,239.50570825028097
2073,238.91348563416364
2074,239.08326478722975
2075,238.6707114023705
2076,238.99068202188568
2077,239.1034239468509
2078,239.5099551684236
2079,239.22826065690555
2080,239.50888358338239
2081,239.54124726595944
2082,239.5731283109482
2083,239.06851957138264
2084,238.85547309770976
2085,239.08257559162297
2086,239.2335271129869
2087,238.877002371174
2088,239.13409624491652
2089,239.10917780627946
2090,239.13527163152827
2091,238.8445973435493
2092,239.18475730582458
2093,238.83345006655338
2094,238.81869891441025
2095,239.40281982421874
2096,239.1570939573523
2097,239.20542192851028
2098,239.34094213198307
2099,239.72052729358413
2100,238.9086533637896
