year,rlut
1,234.68124310219125
2,235.7121312807684
3,236.66772473478972
4,238.29075982080747
5,238.38009710442526
6,238.39758434556938
7,238.66419962007706
8,238.81341163948792
9,238.5001997856245
10,238.89074146845567
11,239.70875072740526
12,238.77221023350546
13,238.2656309781009
14,238.53713613013696
15,239.25016170135913
16,239.72105265578176
17,239.8938719448978
18,240.14268673413423
19,239.4059158116171
20,238.8636635976295
21,239.07206759518138
22,239.74919726228063
23,239.21426558821167
24,239.37839334566297
25,239.6041462519397
26,239.3011372187366
27,239.11041832492774
28,239.6597220642926
29,238.82290465472494
30,238.75991311269266
31,239.2194962592974
32,239.16072082519528
33,239.4597650397314
34,239.42704346539222
35,239.14960047055595
36,239.16065331027932
37,239.50914360986997
38,239.30450911848513
39,239.42478566626977
40,239.73910493197502
41,239.49426256989778
42,239.43545611655873
43,239.96388085770278
44,239.49934328680166
45,239.60125142972765
46,239.44120537744809
47,239.65380700516374
48,239.73085210094712
49,239.1916089201627
50,239.15349660376978
51,239.57996199098352
52,239.38760409420482
53,239.20124081128264
54,239.74270575536437
55,238.9151238428403
56,239.31399711713402
57,239.7833121521832
58,239.56993136471263
59,239.84182011852522
60,239.67658043430274
61,239.19487973565924
62,238.94752180543665
63,239.53122767618257
64,239.84291586679953
65,240.29815222335188
66,239.57894027918985
67,239.67154281825233
68,240.55445468850328
69,239.75448223793342
70,239.5591934413126
71,240.0331856087462
72,239.72465498414755
73,239.85377038407
74,240.07913876886235
75,239.3779952375856
76,239.5192956793798
77,239.9904889250455
78,240.4033418420243
79,239.7966960750214
80,239.9287160795029
81,240.0092688155501
82,240.29087829589844
83,239.8045166015625
84,240.03728641875804
85,240.3971601094285
86,239.43587575416043
87,239.66636381802496
88,239.85749883782373
89,240.53424532119539
90,239.32801287925403
91,239.58095644598134
92,240.53823024802008
93,240.49546659286707
94,240.19622560265947
95,240.46505912885272
96,240.41001327723671
97,240.7740506524909
98,239.97381458021192
99,240.26413745618845
100,240.05134707934235
101,240.23253792540666
102,240.29839665661115
103,240.57288947954572
104,240.00828815616973
105,239.93383262320742
106,240.39173119949967
107,240.52323788159512
108,239.76049374097013
109,240.04069677901595
110,240.59536070105145
111,240.2305038243124
112,240.0713592111248
113,240.11870246782695
114,241.04173362418393
115,240.22980584967627
116,239.7441435095382
117,240.10943269076412
118,240.89158371180702
119,239.83873006742294
120,240.06362308867986
121,240.7138402651434
122,240.11031117896508
123,240.09341698215434
124,240.45935250896298
125,240.92593726589251
126,240.22993732609166
127,240.40976675373233
128,240.5307134758936
129,239.93063408838555
130,239.9833423353221
131,240.67683874678934
132,240.2792073707058
133,240.05245938235765
134,240.64732352478862
135,240.71856313209014
136,240.554727423681
137,240.262551378224
138,240.53128695553295
139,241.3489663738094
140,240.41019124070255
141,240.2715415641053
142,240.17839083736888
143,240.63339153969127
144,240.65710156584439
145,240.8329608237907
146,240.71287879421283
147,241.21771796239565
148,240.33953405928935
149,239.90525324573258
150,240.5315598997351
