year,rlut
2015,238.6585787002354
2016,238.74387039811643
2017,238.4864128217305
2018,238.27184427339733
2019,238.27340493398168
2020,238.19646012815713
2021,238.35390792219602
2022,238.2677637387628
2023,238.3127849422089
2024,238.53095197285694
2025,239.23468498334495
2026,238.29233987886607
2027,238.0610813088613
2028,238.24321243077108
2029,238.30255741485178
2030,238.54799453526326
2031,239.17483896751924
2032,238.62431569556668
2033,238.49624153032693
2034,238.65392936811054
2035,239.18237471907105
2036,238.65710440857768
2037,238.2432397293718
2038,238.11812526755133
2039,238.45799882444615
2040,238.94275082104826
2041,239.01905776768513
2042,238.18227601769854
2043,238.52355610050566
2044,238.18413098478968
2045,238.5619464612987
2046,239.10027975840111
2047,239.54521839716662
2048,239.32786062580266
2049,239.2609189804286
2050,238.4376716091208
2051,238.05265135046557
2052,238.5423698111756
2053,239.11140329021293
2054,238.36001068533284
2055,238.14960728475495
2056,238.04679109756262
2057,238.14856069904485
2058,238.92700362532105
2059,239.66633998923106
2060,238.9456728582513
2061,239.36495244274406
2062,239.03424699339146
2063,238.86099594325233
2064,238.77282698121786
2065,238.38198710402395
2066,238.87727640230358
2067,238.99212441640356
2068,238.69081103181188
2069,238.935764678537
2070,239.08404453225333
2071,238.72321083382386
2072,239.00236883294096
2073,239.1949273514421
2074,239.20140840713293
2075,238.1820801617348
2076,239.14479265604933
2077,239.31503233191086
2078,238.90430138992934
2079,238.84432109675996
2080,239.2858719499144
2081,238.90362431774398
2082,239.06846660457245
2083,239.3266796373341
2084,239.49380497344555
2085,239.80227573342518
2086,239.4754501133749
2087,239.79718276768514
2088,239.50031571061643
2089,239.62638056506853
2090,239.91787402009314
2091,238.81591638016374
2092,239.31985941847705
2093,239.32966053583849
2094,239.91317376959813
2095,239.54933417333316
2096,239.21106404343695
2097,240.11379110257917
2098,239.6631298744515
2099,239.7592665162805
2100,239.6652695329222
2101,239.81484128351082
2102,239.81401655641318
2103,240.4873558566995
2104,239.5978135200396
2105,239.62754361923422
2106,239.8229600044146
2107,240.35695194610173
2108,240.26404519277074
2109,240.14122602906946
2110,240.18015316479827
2111,240.33608895915825
2112,240.0042258484723
2113,240.11860840679847
2114,240.27782496622163
2115,240.26528232522205
2116,240.48050779577804
2117,240.38179475967195
2118,240.36995561155553
2119,240.42526144785424
2120,240.66679244368038
2121,240.78124063570206
2122,240.61149852177869
2123,241.05417321610128
2124,240.24603622645546
2125,240.48644367374786
2126,240.92815911279965
2127,240.47064071028197
2128,240.35460401561164
2129,241.16564494093802
2130,241.4475874391321
2131,241.18646252775847
2132,241.51411254046715
2133,240.64469926389927
2134,240.8421570242268
2135,241.4517652537725
2136,241.0750456927574
2137,240.9975690031705
2138,241.71036611060575
2139,241.80682958315495
2140,241.42010982983732
2141,241.14527094592785
2142,241.4727257715512
2143,241.4345672607422
2144,241.63312411373607
2145,241.19627137902665
2146,241.5096728599235
2147,241.34527813637092
2148,241.6854304065443
2149,241.55952938550138
2150,241.81178818794146
2151,241.4045658895414
2152,242.2800703492883
2153,241.98682305322933
2154,241.96493220917165
2155,242.11297398397363
2156,242.04221893728595
2157,242.38610246214145
2158,242.1248565255779
2159,242.299430199192
2160,242.4395322616786
2161,242.53281454844017
2162,242.53090753424658
2163,242.2652348348539
2164,242.16487731933594
2165,242.1454392524615
2166,242.63682359669306
2167,242.69171284714793
2168,242.3765935192369
2169,242.3985246632197
2170,242.89508382718856
2171,242.4387073255565
2172,242.95817181312873
2173,243.08405059396404
2174,242.58166278159783
2175,242.78584360619118
2176,242.93147047905072
2177,242.73884824987957
2178,243.24739814653788
2179,242.96027535216444
2180,243.33835658243254
2181,242.7848549202697
2182,242.47388811503373
2183,243.08963526895604
2184,242.90537188804313
2185,243.22263120886396
2186,243.42292171112481
2187,243.12252644578075
2188,243.2624459044574
2189,243.32895144109858
2190,243.3850635685333
2191,243.50744465867135
2192,243.6842150544467
2193,243.61678755250696
2194,243.37843398002724
2195,243.55626341937335
2196,243.80097932162352
2197,243.847989978529
2198,243.7612878668798
2199,243.78432416523972
2200,244.09184277678187
2201,243.82351258160313
2202,243.78231794801476
2203,243.8320590502595
2204,244.21471486548856
2205,244.0991298309744
2206,244.09971121174013
2207,244.19690342733304
2208,244.07948783979023
2209,244.23400686603702
2210,244.17037098505727
2211,244.1833516996201
2212,244.40554604726293
2213,244.40427154122966
2214,243.9659665878505
2215,244.22682641434344
2216,244.3970683476696
2217,244.72494452489562
2218,244.62462948315766
2219,244.52589328713606
2220,244.72922785510755
2221,244.43965337047837
2222,244.7694796627515
2223,244.5758401949112
2224,244.89389134237211
2225,244.63618929092195
2226,245.2250408851937
2227,245.40160070968
2228,245.21680941647043
2229,245.0561928526996
2230,245.38412776581225
2231,244.68883566660423
2232,245.06195649447508
2233,245.39603003933004
2234,244.95956604840006
2235,244.86406224917056
2236,245.3087503511612
2237,245.6789522771966
2238,244.8228950395976
2239,245.4583243592145
2240,245.28203568131954
2241,245.2944929149053
2242,244.9721004956389
