year,rlut
1850,243.71998520942583
1851,243.81217003391214
1852,243.96746930684128
1853,243.81379193867724
1854,243.80748984976992
1855,243.6444468877087
1856,243.67012278935684
1857,243.80689897929147
1858,244.06168267236998
1859,243.86970808473347
1860,244.1505559633856
1861,244.5143401263511
1862,243.45660563429738
1863,243.51331891621626
1864,244.18187414718003
1865,244.118109716128
1866,244.23751417186165
1867,243.76655511725443
1868,243.8447302831362
1869,243.64728514788902
1870,243.9850764444429
1871,244.22651730890144
1872,244.41778593716552
1873,244.08709934182363
1874,243.76456089803622
1875,243.92552594746627
1876,244.230557919855
1877,243.94695296614134
1878,244.05917910223135
1879,243.9904484997057
1880,243.7198541928644
1881,243.85477437058543
1882,244.30598846853601
1883,243.331081442637
1884,242.6097090629682
1885,242.95866272808755
1886,242.82414554961738
1887,243.0291581245318
1888,243.97498465760114
1889,243.2227428279511
1890,243.34616816272472
1891,243.73659283363656
1892,243.3973359826493
1893,243.17991813764183
1894,243.46846451432737
1895,243.68460133173696
1896,243.402801889916
1897,243.20603591709914
1898,243.5505704696864
1899,243.36294041463768
1900,243.25069646965966
1901,243.54863122391373
1902,243.10720060165613
1903,242.79131641126656
1904,243.4070097622806
1905,243.07182964168186
1906,243.29283748260917
1907,242.98727571670324
1908,243.03743766889178
1909,242.5091154751712
1910,243.00780585302067
1911,243.50564817663744
1912,242.44514289751444
1913,242.60597224823414
1914,242.95045751284246
1915,243.25457537925408
1916,243.45428709265303
1917,243.7520534567637
1918,242.78022841362105
1919,243.06723181319566
1920,243.48339898096373
1921,242.84782075228753
1922,243.3465541055757
1923,243.47826630056724
1924,243.58105213740103
1925,243.0996635541524
1926,242.86050201834064
1927,243.145672983666
1928,243.4640785530822
1929,242.897469841944
1930,243.35641688516694
1931,243.38469271725174
1932,242.93422007103487
1933,242.81323743846318
1934,243.5309325335776
1935,243.1697240960108
1936,243.24416809082032
1937,243.30352967144688
1938,243.12982470368684
1939,243.1786706793798
1940,243.25519973545858
1941,242.98514901775206
1942,242.93928987685945
1943,243.3898210499385
1944,243.28491771123177
1945,242.78921880852687
1946,242.94567043356702
1947,243.22497562774242
1948,243.06545870010163
1949,242.9234031363709
1950,242.6261823680303
1951,242.93306504341024
1952,243.50201148464254
1953,242.87624419747965
1954,242.71274117247697
1955,243.1922943533283
1956,242.66850711352203
1957,242.53662719726566
1958,242.48889026380567
1959,242.79939859468644
1960,242.7689646681694
1961,242.45666687847813
1962,242.47381123581974
1963,241.724305369756
1964,241.61672835676637
1965,242.05198573282317
1966,241.8558030637976
1967,242.24828089883883
1968,242.2847720211499
1969,241.8413241033685
1970,242.1899195422865
1971,242.34840735866595
1972,241.66996196590054
1973,241.74574062399668
1974,241.9610568529939
1975,241.70392527123016
1976,241.63323778126335
1977,241.2282474465566
1978,241.08227978013963
1979,241.5895612742803
1980,242.0962808269344
1981,241.53769991103914
1982,240.92766067295864
1983,241.10216787677925
1984,241.71269736094015
1985,241.11626235752885
1986,241.000204216944
1987,241.23810203238708
1988,241.56509988863175
1989,241.40432664008992
1990,241.69539874351184
1991,241.34750278420648
1992,240.49270425038793
1993,240.89164052466822
1994,241.34986798012093
1995,241.0560760498047
1996,241.41646222676317
1997,241.53682338766856
1998,241.23357247130508
1999,241.45931567884475
2000,241.53466780153036
2001,241.27075299824753
2002,241.25191244883078
2003,241.67877569329247
2004,241.84046915132708
2005,241.80627378698898
2006,241.54982538092622
2007,241.5389617919922
2008,241.39568744816194
2009,241.65013678563784
2010,242.21723298373288
2011,242.33842480803187
2012,242.12095650450826
2013,241.8160021220168
2014,241.67231591629653
