year,rsdt
2015,341.61657790092573
2016,341.55360567275795
2017,341.5252404617936
2018,341.51730171099103
2019,341.5159669640946
2020,341.5350478080854
2021,341.5972907079409
2022,341.6748311918075
2023,341.7193454690176
2024,341.74631222241544
2025,341.6941284179687
2026,341.64479796527183
2027,341.5953912604345
2028,341.58425652490905
2029,341.5422163453821
2030,341.52438362853167
2031,341.5068608532213
2032,341.51970975692956
2033,341.55338661507386
2034,341.62800008695416
2035,341.6367907380404
2036,341.6798736154216
2037,341.63587002688894
2038,341.63576609990366
2039,341.58794346639553
2040,341.55152562807683
2041,341.50295502127034
2042,341.49196008133555
2043,341.497221479024
2044,341.53039977191247
2045,341.59191543370076
2046,341.6401468355361
2047,341.6936503371148
2048,341.70869642283816
2049,341.65517268768724
2050,341.5883706288795
2051,341.55491232676053
2052,341.5332170878371
2053,341.50210596372006
2054,341.51053274494325
2055,341.5512561536815
2056,341.6109966957406
2057,341.60351303309614
2058,341.6123644685092
2059,341.6181009370987
2060,341.5854796527183
2061,341.54050485271296
2062,341.51094728234693
2063,341.50063117040344
2064,341.505849174604
2065,341.5094852813303
2066,341.5650555336312
2067,341.6148743511879
2068,341.6521520327215
2069,341.6318448001391
2070,341.6010747204088
2071,341.55692381140307
2072,341.54438535089355
2073,341.519681998475
2074,341.49667199539806
2075,341.48720276715005
2076,341.48650571222174
2077,341.4900734261291
2078,341.5253014969499
2079,341.56327832365685
2080,341.5989084740208
2081,341.59246424844815
2082,341.5910048393354
2083,341.5630287483947
2084,341.5583579703553
2085,341.50729060760915
2086,341.4839731712864
2087,341.4820049965218
2088,341.49425124076953
2089,341.518029032668
2090,341.57224656196485
2091,341.6118888959493
2092,341.67298015437717
2093,341.642593425594
2094,341.59924374933115
2095,341.56475035784996
2096,341.53284836860547
2097,341.5103421145923
2098,341.4973891166792
2099,341.5160838505993
2100,341.558523266936
