year,rsdt
1850,340.2242092184824
1851,340.22411925433437
1852,340.23717450703657
1853,340.2217989150792
1854,340.22238861502035
1855,340.22487425085615
1856,340.23384064974846
1857,340.22782935573633
1858,340.2234408443921
1859,340.2234269651648
1860,340.2373864578874
1861,340.22507993097173
1862,340.2253977318332
1863,340.2275774393996
1864,340.23345905460724
1865,340.22478286534135
1866,340.22165502260805
1867,340.22185459920803
1868,340.23783042594175
1869,340.2247071148598
1870,340.22394952643407
1871,340.2266320633562
1872,340.23376640424334
1873,340.2270869842947
1874,340.2249925587276
1875,340.223194195473
1876,340.23719808500107
1877,340.2220512494649
1878,340.2224348512415
1879,340.2262745478382
1880,340.23423712743465
1881,340.2270490254441
1882,340.2233919326573
1883,340.2230675266214
1884,340.2374348679634
1885,340.2250283437232
1886,340.22515777169843
1887,340.2270851448791
1888,340.23308097107764
1889,340.2239674189319
1890,340.2212295323202
1891,340.22286811724103
1892,340.23695779042697
1893,340.2254428811269
1894,340.224068001525
1895,340.2272336358893
1896,340.2350198824111
1897,340.22653591208257
1898,340.2247689025043
1899,340.2231668550674
1900,340.2255850177922
1901,340.2222523310413
1902,340.22182575382595
1903,340.2265426844766
1904,340.23478418637626
1905,340.2260284005779
1906,340.2237563041792
1907,340.22293826586576
1908,340.23665503933006
1909,340.22508352619326
1910,340.2252893735284
1911,340.22714241759417
1912,340.2329866592198
1913,340.22395178389877
1914,340.2215894725225
1915,340.22345188088616
1916,340.23611349863546
1917,340.22401691593535
1918,340.2238403320313
1919,340.2265278019317
1920,340.2348873608733
1921,340.227232047303
1922,340.22400788607666
1923,340.22414007317525
1924,340.233615404939
1925,340.22194004842675
1926,340.22254195539915
1927,340.226642765411
1928,340.2352879354398
1929,340.2260284005779
1930,340.22352930356374
1931,340.2241182510167
1932,340.2359106612532
1933,340.2245907300139
1934,340.22431423239505
1935,340.22597973967254
1936,340.23249536801694
1937,340.2235361595676
1938,340.22261243846316
1939,340.224110893354
1940,340.23673998689
1941,340.22353565790877
1942,340.22409701412676
1943,340.2268548834814
1944,340.23433762641804
1945,340.22732343281785
1946,340.22388322386024
1947,340.2237772066299
1948,340.23398537831764
1949,340.22070212168234
1950,340.2229743016909
1951,340.22664987224414
1952,340.23398203392543
1953,340.22638382585086
1954,340.22278793543984
1955,340.2250883755619
1956,340.23648113093964
1957,340.2245770180062
1958,340.22490710950876
1959,340.22579655059394
1960,340.23158878692203
1961,340.2235642524615
1962,340.2224860204409
1963,340.2246211639822
1964,340.2362915039063
1965,340.2230466241706
1966,340.2238403320313
1967,340.2271272842198
1968,340.2340812787618
1969,340.2266037196329
1970,340.2240957599796
1971,340.2226352639394
1972,340.2344350318386
1973,340.22091114619
1974,340.2237318065068
1975,340.2280924757865
1976,340.23320245612155
1977,340.2260772287028
1978,340.22325163540773
1979,340.2240004448041
1980,340.23690018327267
1981,340.22329419279754
1982,340.22425988602305
1983,340.22627229037346
1984,340.23048948523115
1985,340.2244154002568
1986,340.22282104492183
1987,340.22464775189957
1988,340.23615898236835
1989,340.22271828847397
1990,340.22410830145014
1991,340.22803369809503
1992,340.23398186670596
1993,340.226651210001
1994,340.2240805429955
1995,340.2220469017551
1996,340.2332629060092
1997,340.2206573068279
1998,340.22311610391694
1999,340.22834698402716
2000,340.23329752046766
