year,rsdt
1850,338.3012215422708
1851,338.3011682910392
1852,338.30113196144885
1853,338.30109690174294
1854,338.30100246411905
1855,338.3009536550551
1856,338.3008810662078
1857,338.30084626668906
1858,338.3007984707357
1859,338.3007438948747
1860,338.30073927055184
1861,338.300663818979
1862,338.30063025074367
1863,338.30060175989047
1864,338.3005779900806
1865,338.3005396291728
1866,338.30051473323846
1867,338.30048347919063
1868,338.3004758005162
1869,338.30046402852736
1870,338.30045962974333
1871,338.3004559953863
1872,338.300438689768
1873,338.3004420175539
1874,338.3004495938052
1875,338.30044863514354
1876,338.30045357770734
1877,338.3004242166451
1878,338.3004367203786
1879,338.30041033096904
1880,338.3004490451468
1881,338.30037038767915
1882,338.3003750049598
1883,338.3003750686337
1884,338.30033703704265
1885,338.3003647602432
1886,338.30035042571626
1887,338.3003178518828
1888,338.3003194638583
1889,338.30027951969254
1890,338.300295989042
1891,338.30027384052113
1892,338.30027348085264
1893,338.3002591527558
1894,338.300292313924
1895,338.3002681431832
1896,338.3002900306656
1897,338.30029212950024
1898,338.3002855574136
1899,338.3002891042887
1900,338.30028802575845
1901,338.3002824432254
1902,338.30026479557233
1903,338.30023796095156
1904,338.3002454515448
1905,338.30023471465944
1906,338.3002497214027
1907,338.30023439030634
1908,338.30024076940157
1909,338.3002256789245
1910,338.3002373102353
1911,338.3002521809774
1912,338.30025064792864
1913,338.30023094686544
1914,338.3002218381161
1915,338.3002092766263
1916,338.30023350148076
1917,338.3002104338695
1918,338.30022993748105
1919,338.30023181881376
1920,338.3002024738272
1921,338.3001889654245
1922,338.30021042286165
1923,338.30023171216635
1924,338.3001882732319
1925,338.30020694672965
1926,338.30020081341604
1927,338.30019920915333
1928,338.3001663128361
1929,338.3001530222395
1930,338.30014336357374
1931,338.3001676111716
1932,338.3001852441193
1933,338.3001839690825
1934,338.3001667410597
1935,338.30015826274
1936,338.3001766532736
1937,338.30019295513176
1938,338.3001669671176
1939,338.3001774971934
1940,338.30017879500326
1941,338.3001681927878
1942,338.30018956929706
1943,338.3001942372587
1944,338.30015345177486
1945,338.3001788773501
1946,338.3001357057943
1947,338.3001584088872
1948,338.30011884335045
1949,338.3001141434493
1950,338.3000961983471
1951,338.30010754801305
1952,338.30010612306666
1953,338.30011724743235
1954,338.300120991932
1955,338.3001343342393
1956,338.300149806018
1957,338.3001265889331
1958,338.3001247894205
1959,338.30011851494623
1960,338.3001345543879
1961,338.3001325881565
1962,338.3001002719825
1963,338.3001308026652
1964,338.3001094979896
1965,338.3000771012458
1966,338.3000781033791
1967,338.30007590280576
1968,338.3000672768439
1969,338.30007521383607
1970,338.30005688721275
1971,338.3000921376699
1972,338.30005821525765
1973,338.3000835724317
1974,338.30009870864876
1975,338.3001168952728
1976,338.300083855132
1977,338.30009025628857
1978,338.30008334137796
1979,338.30010566944827
1980,338.30012727401805
1981,338.3001018415861
1982,338.30008904932953
1983,338.30007426194754
1984,338.3000291857639
1985,338.30005128185104
1986,338.3000641136309
1987,338.3000463747446
1988,338.30003039969506
1989,338.3000414323057
1990,338.30005552825423
1991,338.3000395214167
1992,338.3000541370416
1993,338.30005500900296
1994,338.3000233596552
1995,338.30002887237123
1996,338.30004946404375
1997,338.3000386201099
1998,338.3000652468575
1999,338.30002476656637
2000,338.30006997096564
