year,rsdt
1850,338.3281320530299
1851,338.32813150482633
1852,338.32816983330446
1853,338.3281822473854
1854,338.3281916313546
1855,338.3281774412049
1856,338.32820050231015
1857,338.3281979681428
1858,338.3282183843545
1859,338.32825997189354
1860,338.3282612428619
1861,338.328282063451
1862,338.3282706668809
1863,338.32827801299305
1864,338.3283205203299
1865,338.32829276699545
1866,338.32829501521286
1867,338.32831967862825
1868,338.32830199610135
1869,338.3283549200372
1870,338.32832794169155
1871,338.3283305307798
1872,338.3282830755124
1873,338.3282832824755
1874,338.3282985719891
1875,338.328271040695
1876,338.3283076642929
1877,338.32830922897057
1878,338.3283009373135
1879,338.32833740399775
1880,338.32828579845784
1881,338.3282678461228
1882,338.32830341803424
1883,338.32826330381596
1884,338.32826045554265
1885,338.32824870202995
1886,338.3282458490555
1887,338.32823554638895
1888,338.3282132905098
1889,338.32823150843353
1890,338.3282250042332
1891,338.32822045387456
1892,338.32826107152357
1893,338.32822631172013
1894,338.3282319679478
1895,338.32819970610257
1896,338.32818505998057
1897,338.32818054579207
1898,338.3281726666558
1899,338.3281818149872
1900,338.32818434317477
1901,338.3281935161853
1902,338.32818488677947
1903,338.3281510530568
1904,338.3282037285468
1905,338.3282166106133
1906,338.3281977355555
1907,338.3282153748322
1908,338.3281833553216
1909,338.3281893138724
1910,338.32816987978777
1911,338.32819098103994
1912,338.32818327858695
1913,338.32820559119403
1914,338.3282090147339
1915,338.32822390712874
1916,338.3282565543209
1917,338.3282690376158
1918,338.32823613753743
1919,338.3282518184387
1920,338.3282579018997
1921,338.3282421430684
1922,338.3282398674837
1923,338.3282508009956
1924,338.32826562335543
1925,338.3282407563209
1926,338.328308913283
1927,338.32829113155947
1928,338.3283473830742
1929,338.3283310151324
1930,338.32834592921245
1931,338.32836174538085
1932,338.32838034082414
1933,338.3283580640715
1934,338.32835977809526
1935,338.3283873900109
1936,338.32836905587965
1937,338.32840197790455
1938,338.3283961473303
1939,338.32836242686943
1940,338.3283560713403
1941,338.32837766613846
1942,338.3283619219589
1943,338.32839712226166
1944,338.3283960183812
1945,338.3283895317778
1946,338.3284156026814
1947,338.3284085038106
1948,338.328428539471
1949,338.3284344736138
1950,338.3284064533181
1951,338.328424448473
1952,338.3284150500732
1953,338.32842070402745
1954,338.3283873847661
1955,338.32837586158576
1956,338.3283779582662
1957,338.3283479263585
1958,338.32839287486144
1959,338.32832019548937
1960,338.328338539951
1961,338.3283035712049
1962,338.3283366408512
1963,338.32833325961633
1964,338.32833630292123
1965,338.3283615465584
1966,338.32831345418685
1967,338.32833210087085
1968,338.32835215727437
1969,338.32831998013114
1970,338.3283006376206
1971,338.32830612991273
1972,338.3282620481296
1973,338.3282342949389
1974,338.3282260947558
1975,338.3282150729521
1976,338.32822217251686
1977,338.32820723284294
1978,338.32820832336387
1979,338.328207635051
1980,338.3282092198511
1981,338.3282012177088
1982,338.32820055949054
1983,338.328179051847
1984,338.32818616064134
1985,338.32814815924246
1986,338.3281378275804
1987,338.328142713955
1988,338.32814318126924
