year,rsdt
2015,338.45934136654165
2016,338.40229947677494
2017,338.3786850412859
2018,338.37308017452636
2019,338.36860963021576
2020,338.3773450981091
2021,338.43424113370247
2022,338.50791685545306
2023,338.5409680763976
2024,338.5535160071448
2025,338.51186361545405
2026,338.4590654220217
2027,338.4136505335657
2028,338.39228954723717
2029,338.353972919297
2030,338.33906584244295
2031,338.3160308304773
2032,338.3154586259175
2033,338.35492301608247
2034,338.4211482941266
2035,338.41866432268944
2036,338.44662966279236
2037,338.4112799234517
2038,338.39955840220114
2039,338.35912657491946
2040,338.30528011349355
2041,338.26819681819745
2042,338.2572373950357
2043,338.25201606634096
2044,338.2758282614466
2045,338.33337094147805
2046,338.37515108520194
2047,338.419580399716
2048,338.416372660226
2049,338.3691123291317
2050,338.30739268236294
2051,338.2725733787712
2052,338.23807553577205
2053,338.2136443720593
2054,338.2195930713016
2055,338.250978117363
2056,338.28751092984646
2057,338.2926193074262
2058,338.2909541504324
2059,338.2890758940981
2060,338.24639135634095
2061,338.2081625810165
2062,338.17966715673396
2063,338.1657927522137
2064,338.15544153569397
2065,338.1658221521632
2066,338.2087389955008
2067,338.2506002478006
2068,338.2666271158351
2069,338.2560730619483
2070,338.2185680230771
2071,338.17213682348057
2072,338.14747025572206
2073,338.1280128177953
2074,338.10347250074585
2075,338.08385581806647
2076,338.0748262517812
2077,338.0800360303366
2078,338.11051126647754
2079,338.1377595683605
2080,338.153377966215
2081,338.1508613929952
2082,338.1402574582284
2083,338.11148571421154
2084,338.0886124919799
2085,338.0477556380603
2086,338.02290676462246
2087,338.01382702951656
2088,338.01377078674005
2089,338.038799340382
2090,338.08323508882415
2091,338.1064491013709
2092,338.15333869196246
2093,338.12110615132326
2094,338.07745776092645
2095,338.0409196476105
2096,337.99635220310296
2097,337.9807315032323
2098,337.95624424454246
2099,337.97571996856516
2100,338.0196302674287
