year,rsdt
1850,337.42012814844855
1851,337.4201183889499
1852,337.4200611105342
1853,337.4200054696111
1854,337.4199271154259
1855,337.41980246950794
1856,337.4196653142847
1857,337.41951760793717
1858,337.41940128524544
1859,337.4193158223948
1860,337.41921205909085
1861,337.4191255858237
1862,337.4190592163759
1863,337.4190142659037
1864,337.4189750109683
1865,337.41896067236695
1866,337.4189216196114
1867,337.4188459303783
1868,337.41883037330314
1869,337.4187951804132
1870,337.4187461356847
1871,337.418734843847
1872,337.4186946730461
1873,337.41866852443553
1874,337.4186655781396
1875,337.4186385053449
1876,337.41862752996815
1877,337.4185940461351
1878,337.418587228883
1879,337.41855188334955
1880,337.4185099620466
1881,337.41849771506566
1882,337.41849533444304
1883,337.41849830183156
1884,337.4184744320277
1885,337.4184688729258
1886,337.4184442174565
1887,337.4184285834178
1888,337.4183807036279
1889,337.4183924127292
1890,337.41839081567497
1891,337.41837152536385
1892,337.41839136937256
1893,337.41836743480405
1894,337.41839721964374
1895,337.41845515633855
1896,337.41848628930154
1897,337.4185256366671
1898,337.418566462865
1899,337.41855828219
1900,337.4185409158629
1901,337.41854207598317
1902,337.41851407867085
1903,337.4184725961327
1904,337.41842471184935
1905,337.4184356354127
1906,337.4183806981448
1907,337.41836075200706
1908,337.41835492661386
1909,337.41832040312966
1910,337.41832205076884
1911,337.4183131994453
1912,337.4183148846519
1913,337.4183232388608
1914,337.41832805082885
1915,337.4183755786276
1916,337.4183932543607
1917,337.4184183812999
1918,337.4184122269236
1919,337.4183873822145
1920,337.41837706583476
1921,337.418355327212
1922,337.4183565830523
1923,337.4183076789725
1924,337.41830011369564
1925,337.41827666091865
1926,337.41826461471226
1927,337.418245844808
1928,337.41824672090627
1929,337.41822470624584
1930,337.4182042650553
1931,337.41823433068873
1932,337.41828288610776
1933,337.4183134946382
1934,337.41833483616415
1935,337.41835981321617
1936,337.418366055208
1937,337.4183432089602
1938,337.41834671704606
1939,337.41831774805433
1940,337.4183082643892
1941,337.41831104245034
1942,337.4182889126463
1943,337.418305968373
1944,337.41830180909886
1945,337.4183046451768
1946,337.4182953622251
1947,337.418291033155
1948,337.4183053205609
1949,337.4182886825958
1950,337.41830341306206
1951,337.41829878946055
1952,337.41826817775143
1953,337.4182601765358
1954,337.4182756643554
1955,337.4183021973968
1956,337.41831304253907
1957,337.41829394238704
1958,337.4182936675938
1959,337.41827039244873
1960,337.41822574139286
1961,337.4182419144011
1962,337.41823945466524
1963,337.41823733490327
1964,337.418225230738
1965,337.4182028904304
1966,337.4182081186196
1967,337.4181667848826
1968,337.41818328289173
1969,337.4181661759445
1970,337.41816512845395
1971,337.4181761939982
1972,337.41822505262496
1973,337.41823295137596
1974,337.41825689189795
1975,337.41828877124595
1976,337.4182887641838
1977,337.4182922123659
1978,337.4182813646051
1979,337.41824422496
1980,337.41821950411713
1981,337.41818831406067
1982,337.4181677789047
1983,337.4181630841722
1984,337.4181432436609
1985,337.4181534927453
1986,337.41811104065323
1987,337.41811878949994
1988,337.41813050540054
1989,337.41815913070695
1990,337.4181797083934
1991,337.4182023723973
1992,337.4181863143003
1993,337.4182072357691
1994,337.4182336361961
1995,337.4182168797806
1996,337.41821642683885
1997,337.41816774541076
1998,337.4181581962692
1999,337.41812051055274
2000,337.41812641773186
