year,rsdt
1850,340.2302539564158
1851,340.2195065851081
1852,340.21803914945417
1853,340.1988057175728
1854,340.1721460629816
1855,340.15561841154755
1856,340.1509296574004
1857,340.1625835261932
1858,340.19505414570847
1859,340.2219517537992
1860,340.24269894116543
1861,340.2389288915347
1862,340.2152058640571
1863,340.201172293049
1864,340.1877511638485
1865,340.17677010314105
1866,340.1712553677494
1867,340.16286713064534
1868,340.18157532574384
1869,340.21561120438247
1870,340.21780922249565
1871,340.23861711057896
1872,340.2281118732609
1873,340.2097910423801
1874,340.19364272862265
1875,340.1635559082031
1876,340.1497101248127
1877,340.14091504240685
1878,340.12966760086687
1879,340.1321733030555
1880,340.1590892216931
1881,340.19645853957087
1882,340.18833409139563
1883,340.18270564667165
1884,340.2270863154163
1885,340.1997842030982
1886,340.1676221037564
1887,340.1481766374144
1888,340.1405396343911
1889,340.1379578472817
1890,340.1446810787671
1891,340.1938438938089
1892,340.2338743444991
1893,340.26544431921553
1894,340.3043195332566
1895,340.2680979271458
1896,340.2188745786066
1897,340.18624576934394
1898,340.1719016715272
1899,340.15416803229346
1900,340.1436421433541
1901,340.1261931954998
1902,340.1302790393568
1903,340.1658911300032
1904,340.23026725037454
1905,340.20095432229243
1906,340.24813742441677
1907,340.22258635220464
1908,340.2391662597657
1909,340.2060515939373
1910,340.18253123662237
1911,340.1474716395548
1912,340.13404432322875
1913,340.13713755150366
1914,340.16387237130783
1915,340.2407967345356
1916,340.3025319556667
1917,340.34275378919625
1918,340.35061921420163
1919,340.2872449901006
1920,340.227160310092
1921,340.19030611221103
1922,340.15623035169625
1923,340.1489008655286
1924,340.16379971438886
1925,340.2034799236141
1926,340.25868638966176
1927,340.3051300466877
1928,340.274860706068
1929,340.2583680035317
1930,340.2606585776969
1931,340.2172466957406
1932,340.18561016762095
1933,340.1719091964095
1934,340.18704064774187
1935,340.23801737746146
1936,340.3493577094927
1937,340.3562310205747
1938,340.33494036948844
1939,340.330836465914
1940,340.2930322934503
1941,340.2628479840005
1942,340.2265265477846
1943,340.1903192389501
1944,340.2010087522742
1945,340.26938200650153
1946,340.30096335215103
1947,340.38853425326414
1948,340.4200754662082
1949,340.3897812098673
1950,340.3258622678992
1951,340.2401217525952
1952,340.2362099843482
1953,340.21119000160525
1954,340.2114676697613
1955,340.26416642698524
1956,340.3790201265518
1957,340.4883012327429
1958,340.50097656249994
1959,340.43978522313785
1960,340.39887962863867
1961,340.3070779042701
1962,340.24180272768615
1963,340.21975398651546
1964,340.2094664691246
1965,340.2150752655448
1966,340.2643523751873
1967,340.3251979880137
1968,340.3579484495398
1969,340.3634910269959
1970,340.3671196088399
1971,340.31224289985545
1972,340.3084086378959
1973,340.25323837489293
1974,340.22597748220784
1975,340.226741257759
1976,340.21763924376603
1977,340.2763060687339
1978,340.36408984040565
1979,340.4395375709011
1980,340.42393171754605
1981,340.4297428496896
1982,340.3456395815497
1983,340.3427673339844
1984,340.2428092224957
1985,340.21093256702164
1986,340.2151664838399
1987,340.2361457720195
1988,340.3229767263752
1989,340.4416763932738
1990,340.4194943780769
1991,340.41470094445634
1992,340.37644143300514
1993,340.28221979010596
1994,340.22544196141905
1995,340.2146527016
1996,340.1910892016267
1997,340.2228949559878
1998,340.31348567596854
1999,340.3798680135648
2000,340.4299900838774
2001,340.40830044681076
2002,340.4192933801103
2003,340.2997104592519
2004,340.2481035624465
2005,340.1963541945366
2006,340.18494755993146
2007,340.1626922189373
2008,340.15803122324485
2009,340.1579451887574
2010,340.20076360833156
2011,340.26713733411816
2012,340.2949916055758
2013,340.3106834934182
2014,340.329596616144
