year,rsdt
2015,340.27847223151224
2016,340.20683844579406
2017,340.18806888110015
2018,340.18056046995395
2019,340.17933508468
2020,340.1893170918503
2021,340.25981035624466
2022,340.3364224368579
2023,340.37952722000745
2024,340.3975764026381
2025,340.3548006240636
2026,340.3069466368793
2027,340.2569984749572
2028,340.23772307095464
2029,340.20506650323733
2030,340.1873367936644
2031,340.1701888411012
2032,340.17393589803623
2033,340.21598092693176
2034,340.29012685279326
2035,340.2979718770066
2036,340.3315693058379
2037,340.2980925259525
2038,340.29805256046654
2039,340.2497312780929
2040,340.20582509498075
2041,340.16625023410745
2042,340.1554408243258
2043,340.1607396792059
2044,340.1848055904859
2045,340.2545961144852
2046,340.3017900022742
2047,340.3541148564587
2048,340.35970776701623
2049,340.31676719351987
2050,340.2499280119595
2051,340.21726818346
2052,340.1868870565336
2053,340.16544900136455
2054,340.17376065188887
2055,340.21390196917804
2056,340.26440371160635
2057,340.26545953619967
2058,340.2737055530287
2059,340.28015295577376
2060,340.2377446422839
2061,340.2033130384471
2062,340.1742472609428
2063,340.16419226241436
2064,340.16022012788954
2065,340.1728489705961
2066,340.227712302012
2067,340.2767045530554
2068,340.3051358157641
2069,340.293038815015
2070,340.2630411226455
2071,340.21955951011336
2072,340.1984948563248
2073,340.1829630812553
2074,340.1599411219767
2075,340.15056871388055
2076,340.1411012414383
2077,340.15362774574595
2078,340.18843158042586
2079,340.22496555276115
2080,340.25213873876277
2081,340.254971522501
2082,340.2536403708262
2083,340.22511839148115
2084,340.21242550366543
2085,340.17070630217245
2086,340.14750031771723
2087,340.145589332058
2088,340.1488960997699
2089,340.1811765905929
2090,340.234243816219
2091,340.2739058821168
2092,340.3246328693546
2093,340.30404905554366
2094,340.26050231097486
2095,340.227415069162
2096,340.18672284688034
2097,340.17378163794945
2098,340.16078633347604
2099,340.1790773156571
2100,340.221255534969
2101,340.27202984535535
2102,340.2685778474155
2103,340.26660055918234
2104,340.2451723699701
2105,340.2043151855469
2106,340.1808516828981
2107,340.1614116511933
2108,340.15967816914593
2109,340.17195785731485
2110,340.21190352766484
2111,340.2956944295805
2112,340.29844686429794
2113,340.3039969666363
2114,340.2560914758133
2115,340.24203081522904
2116,340.2008982201144
2117,340.17942672102424
2118,340.16575451158496
2119,340.16617816245713
2120,340.20419570713835
2121,340.2632579228649
2122,340.3265462796982
2123,340.2893744481753
2124,340.29953721973993
2125,340.2472276661494
2126,340.2009666965432
2127,340.1791092546019
2128,340.1602153621307
2129,340.16531004187175
2130,340.2034193065069
2131,340.3034310954891
2132,340.31802485217787
2133,340.3371725004013
2134,340.305008059985
2135,340.2553954242027
2136,340.1962260207085
2137,340.17862590633024
2138,340.1606976234749
2139,340.1522561269264
2140,340.1586199198684
2141,340.1982003825984
2142,340.23985461927435
2143,340.2451000474903
2144,340.2541707078072
2145,340.2473942168771
2146,340.211995582058
