year,rsdt
1850,340.2353084198416
1851,340.2271709285371
1852,340.22265123341185
1853,340.204698536494
1854,340.1800601488923
1855,340.16376016695204
1856,340.1596738214362
1857,340.1719888765518
1858,340.20117981793123
1859,340.22782358665984
1860,340.24594091128
1861,340.2426499458209
1862,340.22305205880775
1863,340.2081474408712
1864,340.19477271511124
1865,340.1842143855683
1866,340.1776262675246
1867,340.17305598846855
1868,340.19036539156144
1869,340.2183638899293
1870,340.2267107401809
1871,340.2413600137789
1872,340.2333183393086
1873,340.2165188724047
1874,340.1985200228756
1875,340.17230893487806
1876,340.1571528186537
1877,340.14732849957187
1878,340.1381146156624
1879,340.1419712850492
1880,340.16709736863226
1881,340.1973364425032
1882,340.1950312366224
1883,340.1953806419895
1884,340.22485928470144
1885,340.2053751906304
1886,340.1761773096372
1887,340.15653000923044
1888,340.14791092546017
1889,340.14575304005245
1890,340.1567465586205
1891,340.1993393989458
1892,340.23946967974103
1893,340.27323357569026
1894,340.30153097910426
1895,340.27304963412354
1896,340.2271185888003
1897,340.1953963606325
1898,340.1780509217145
1899,340.1617748521778
1900,340.14953103261456
1901,340.13563633748925
1902,340.1411121943226
1903,340.176487752836
1904,340.22519305503533
1905,340.2174400016052
1906,340.2460124812714
1907,340.2340342900525
1908,340.2392466923962
1909,340.2140355776434
1910,340.18757641935997
1911,340.1568479773116
1912,340.14285554232663
1913,340.146842726616
1914,340.1768344826894
1915,340.2453706088132
1916,340.3067090178189
1917,340.3454946021511
1918,340.34869142297197
1919,340.2940683025203
1920,340.23709524494325
1921,340.1976342606217
1922,340.1665983853275
1923,340.15841114619
1924,340.1737142484482
1925,340.21323526460833
1926,340.26508780701516
1927,340.30239508641904
1928,340.28353003933006
1929,340.2685655567743
1930,340.26189190590213
1931,340.2252502441406
1932,340.194347392043
1933,340.18212071248934
1934,340.19839243431613
1935,340.252886795671
1936,340.3434064473191
1937,340.3591274313731
1938,340.3438934744221
1939,340.33271375682256
1940,340.30034430516906
1941,340.26832074727093
1942,340.2329287176263
1943,340.2028340378852
1944,340.2151101308326
1945,340.2715184877996
1946,340.31467745010167
1947,340.38834144905826
1948,340.41866797878316
1949,340.39165080867406
1950,340.3291108431881
1951,340.2565967298533
1952,340.24016531330267
1953,340.221046176022
1954,340.22489690911283
1955,340.2789345937232
1956,340.3852146096425
1957,340.48245665667804
1958,340.4990021170002
1959,340.45012399333797
1960,340.39942810894695
1961,340.3167436991653
1962,340.25373702375856
1963,340.22782759993044
1964,340.21823128478167
1965,340.2274805356378
1966,340.2728572479666
1967,340.32916159433864
1968,340.3616200904323
1969,340.3702076533069
1970,340.3662109375
1971,340.3255539985552
1972,340.3089010996361
1973,340.26342974101027
1974,340.23617637320734
1975,340.23216494207514
1976,340.2330175112371
1977,340.28665018996145
1978,340.36959521149936
1979,340.4344580245344
1980,340.43308339576197
1981,340.4242394852311
1982,340.36130011571595
1983,340.3369113033765
1984,340.2584695058326
1985,340.2222922965272
1986,340.2239372357931
1987,340.2512535617776
1988,340.3339439914651
1989,340.4303865615636
1990,340.42896904096216
1991,340.4182619695794
1992,340.37627822666946
1993,340.2933933205801
1994,340.2380781617883
1995,340.2198277303617
1996,340.20476141106593
1997,340.2369661514073
1998,340.3170225378585
1999,340.38430911547516
2000,340.4260136016428
2001,340.41830553028683
2002,340.408662978917
2003,340.3149231793129
2004,340.25451835736834
2005,340.2081583101455
2006,340.1903861267926
2007,340.1716694034942
2008,340.1653166470462
2009,340.1701663500642
2010,340.21079160089363
2011,340.268952084894
2012,340.3003502414651
2013,340.3179177480201
2014,340.3262712870559
